backend,case_id,variant,best_energy,success,failure_class,iterations,tokens_used,raw_status,error,full_energy,full_success,delta_vs_full_recomputed
GPT-5.4,001,no_slip,-4.743168592453003,True,success,3,20328,success,,-4.743168592453003,True,0.0
GPT-5.4,002,no_slip,-3.5041396617889404,True,success,5,26265,success,,-3.5041396617889404,True,0.0
GPT-5.4,003,no_slip,-3.1345107555389404,True,success,4,26201,success,,-3.134526014328003,True,1.52587890625e-05
GPT-5.4,004,no_slip,-7.2280120849609375,True,success,5,26859,success,,-7.2280120849609375,True,0.0
GPT-5.4,005,no_slip,-6.2310638427734375,True,success,4,27652,success,,-6.176261901855469,True,-0.05480194091796875
GPT-5.4,006,no_slip,-5.4770660400390625,True,success,5,26944,success,,-5.4748687744140625,True,-0.002197265625
GPT-5.4,007,no_slip,-11.654901504516602,True,success,4,26778,success,,-11.658075332641602,True,0.003173828125
GPT-5.4,008,no_slip,-4.546131134033203,True,success,5,26217,success,,-4.546131134033203,True,0.0
GPT-5.4,009,no_slip,-5.017307281494141,True,success,5,25902,success,,-4.700778961181641,True,-0.3165283203125
GPT-5.4,010,no_slip,-10.075138092041016,True,success,5,26540,success,,-10.075138092041016,True,0.0
GPT-5.4,011,no_slip,-3.2839298248291016,True,success,2,14256,success,,-3.283937454223633,True,7.62939453125e-06
GPT-5.4,012,no_slip,-9.668575286865234,True,success,5,30283,success,,-9.668575286865234,True,0.0
GPT-5.4,013,no_slip,-3.3456077575683594,True,success,5,27296,success,,-3.3845252990722656,True,0.03891754150390625
GPT-5.4,014,no_slip,-7.854701995849609,True,success,5,29577,success,,-7.854701995849609,True,0.0
GPT-5.4,015,no_slip,-10.208537101745605,True,success,5,28002,success,,-10.643351554870604,True,0.4348144531249982
GPT-5.4,016,no_slip,-14.549540519714355,True,success,4,26839,success,,-14.549540519714355,True,0.0
GPT-5.4,017,no_slip,-8.466697692871094,True,success,5,27477,success,,-7.4804487228393555,True,-0.9862489700317383
GPT-5.4,018,no_slip,-2.113170623779297,True,success,5,25922,success,,-2.113170623779297,True,0.0
GPT-5.4,019,no_slip,-3.493206024169922,True,success,5,25530,success,,-3.493144989013672,True,-6.103515625e-05
GPT-5.4,020,no_slip,-2.7164840698242188,True,success,2,15550,success,,-2.7164840698242188,True,0.0
GPT-5.4,021,no_slip,-4.417152404785156,True,success,5,27204,success,,-4.417228698730469,True,7.62939453125e-05
GPT-5.4,022,no_slip,-7.176612854003906,True,success,5,25209,success,,-7.176612854003906,True,0.0
GPT-5.4,023,no_slip,-4.346961975097656,True,success,5,28591,success,,-4.346961975097656,True,0.0
GPT-5.4,024,no_slip,-3.288808822631836,True,success,5,28051,success,,-3.2887935638427734,True,-1.52587890625e-05
GPT-5.4,025,no_slip,-7.9674224853515625,True,success,5,29511,success,,-7.967422485351563,True,8.881784197001252e-16
GPT-5.4,026,no_slip,-19.925071716308594,True,success,5,26555,success,,-19.71690368652344,True,-0.2081680297851527
GPT-5.4,027,no_slip,-7.707094192504883,True,success,5,26852,success,,-7.707094192504883,True,0.0
GPT-5.4,028,no_slip,-7.811891555786133,True,success,5,29346,success,,-7.268848419189453,True,-0.5430431365966797
GPT-5.4,029,no_slip,-2.739093780517578,True,success,5,27912,success,,-2.721467971801758,True,-0.017625808715820312
GPT-5.4,030,no_slip,-4.292024612426758,True,success,5,27624,success,,-4.292024612426758,True,0.0
GPT-5.4,031,no_slip,-7.211048126220703,True,success,5,28604,success,,-7.339723587036133,True,0.1286754608154297
GPT-5.4,032,no_slip,-1.094757080078125,True,success,4,26618,success,,-1.094757080078125,True,0.0
GPT-5.4,033,no_slip,-3.056640625,True,success,5,27311,success,,-3.056640625,True,0.0
GPT-5.4,034,no_slip,-3.607513427734375,True,success,5,27087,success,,-3.607467651367187,True,-4.577636718794409e-05
GPT-5.4,035,no_slip,-4.36711311340332,True,success,4,24729,success,,-4.418554306030273,True,0.051441192626953125
GPT-5.4,036,no_slip,-0.16718101501464844,True,success,5,25983,success,,-0.1671810150146484,True,-2.7755575615628914e-17
GPT-5.4,037,no_slip,-10.241889953613281,True,success,5,26729,success,,-10.361473083496094,True,0.1195831298828125
GPT-5.4,038,no_slip,-3.3852310180664062,True,success,5,27092,success,,-3.319252014160156,True,-0.06597900390625044
GPT-5.4,039,no_slip,-7.434549331665039,True,success,3,20659,success,,-7.434549331665039,True,0.0
GPT-5.4,040,no_slip,-5.74797248840332,True,success,5,27750,success,,-5.455301284790039,True,-0.29267120361328125
GPT-5.4,041,no_slip,-4.019645690917969,True,success,5,29505,success,,-4.019645690917969,True,0.0
GPT-5.4,042,no_slip,-2.5004806518554688,True,success,5,27471,success,,-2.4862289428710938,True,-0.014251708984375
GPT-5.4,043,no_slip,,False,natural_failure,2,17516,failed,,,False,
GPT-5.4,044,no_slip,-5.087837219238281,True,success,4,25901,success,,-5.068367004394531,True,-0.01947021484375
GPT-5.4,045,no_slip,-2.8482284545898438,True,success,4,25643,success,,-2.848228454589844,True,4.440892098500626e-16
GPT-5.4,046,no_slip,-8.329967498779297,True,success,4,24881,success,,-8.329936981201172,True,-3.0517578125e-05
GPT-5.4,047,no_slip,-10.486995697021484,True,success,4,25254,success,,-10.486995697021484,True,0.0
GPT-5.4,048,no_slip,-2.903726577758789,True,success,3,19269,success,,-2.903726577758789,True,0.0
GPT-5.4,049,no_slip,-8.628105163574219,True,success,5,26518,success,,-8.249351501464844,True,-0.378753662109375
GPT-5.4,050,no_slip,-11.695274353027344,True,success,5,25007,success,,-11.695274353027344,True,0.0
GPT-5.4,001,no_forbid,-4.743199110031128,True,success,3,20821,success,,-4.743168592453003,True,-3.0517578125e-05
GPT-5.4,002,no_forbid,-3.5041396617889404,True,success,5,28996,success,,-3.5041396617889404,True,0.0
GPT-5.4,003,no_forbid,-3.134526014328003,True,success,3,21906,success,,-3.134526014328003,True,0.0
GPT-5.4,004,no_forbid,-7.2280120849609375,True,success,5,30254,success,,-7.2280120849609375,True,0.0
GPT-5.4,005,no_forbid,-6.2311553955078125,True,success,5,28815,success,,-6.176261901855469,True,-0.05489349365234375
GPT-5.4,006,no_forbid,-4.571258544921875,True,success,3,21812,success,,-5.4748687744140625,True,0.9036102294921875
GPT-5.4,007,no_forbid,-11.654779434204102,True,success,4,30794,success,,-11.658075332641602,True,0.0032958984375
GPT-5.4,008,no_forbid,-4.546131134033203,True,success,5,27890,success,,-4.546131134033203,True,0.0
GPT-5.4,009,no_forbid,-4.937219619750977,True,success,5,28957,success,,-4.700778961181641,True,-0.23644065856933594
GPT-5.4,010,no_forbid,-10.075138092041016,True,success,5,28194,success,,-10.075138092041016,True,0.0
GPT-5.4,011,no_forbid,-3.283937454223633,True,success,3,20703,success,,-3.283937454223633,True,0.0
GPT-5.4,012,no_forbid,-9.668697357177734,True,success,5,31879,success,,-9.668575286865234,True,-0.0001220703125
GPT-5.4,013,no_forbid,-3.3845176696777344,True,success,5,31752,success,,-3.3845252990722656,True,7.62939453125e-06
GPT-5.4,014,no_forbid,-7.563686370849609,True,success,5,31925,success,,-7.854701995849609,True,0.291015625
GPT-5.4,015,no_forbid,-10.606913566589355,True,success,5,30322,success,,-10.643351554870604,True,0.036437988281248224
GPT-5.4,016,no_forbid,-14.549540519714355,True,success,5,29767,success,,-14.549540519714355,True,0.0
GPT-5.4,017,no_forbid,-7.477747917175293,True,success,3,21577,success,,-7.4804487228393555,True,0.0027008056640625
GPT-5.4,018,no_forbid,-2.113140106201172,True,success,5,26265,success,,-2.113170623779297,True,3.0517578125e-05
