dataset,backend,variant,case_id,source,class_,best_energy_eV
OCD24,Grok-4,no_forbid,008,extra14,invalid_energy,-398501376.7336807
OCD24,Grok-4,single_shot,009,extra14,external_failure,
OCD24,Grok-4,single_shot,010,extra14,external_failure,
OCD24,Grok-4,single_shot,011,extra14,external_failure,
OCD24,Grok-4,single_shot,014,extra14,external_failure,
OCD24,Grok-4,single_shot,017,extra14,external_failure,
OCD24,Grok-4,single_shot,018,extra14,external_failure,
OCD24,Grok-4,single_shot,020,extra14,external_failure,
OCD24,Grok-4,single_shot,021,extra14,external_failure,
OCD24,Grok-4,single_shot,022,extra14,external_failure,
OCD24,Grok-4,full,008,rerun-fallback,invalid_energy,-1124687200.7336826
OCD24,Grok-4,no_forbid,008,rerun-fallback,invalid_energy,-45282420.73368263
OCD24,Grok-4,no_termination,002,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,006,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,007,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,008,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,009,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,010,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,011,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,014,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,017,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,018,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,020,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,021,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,022,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,001,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,002,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,006,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,007,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,008,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,009,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,010,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,011,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,014,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,018,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,020,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,021,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,022,rerun-fallback,external_failure,
rep50-full,Grok-4,full,039,rerun,external_failure,
rep50-full,Grok-4,full,040,rerun,external_failure,
rep50-full,Grok-4,full,041,rerun,external_failure,
rep50-full,Grok-4,full,042,rerun,external_failure,
rep50-full,Grok-4,full,043,rerun,external_failure,
rep50-full,Grok-4,full,044,rerun,external_failure,
rep50-full,Grok-4,full,045,rerun,external_failure,
rep50-full,Grok-4,full,046,rerun,external_failure,
rep50-full,Grok-4,full,047,rerun,external_failure,
rep50-full,Grok-4,full,048,rerun,external_failure,
rep50-full,Grok-4,full,049,rerun,external_failure,
rep50-full,Grok-4,full,050,rerun,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,008,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,010,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,011,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,012,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,013,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,014,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,015,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,017,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,018,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,021,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,022,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,023,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,017,original,external_failure,
