backend,variant,n,mean,median,worse_gt_0p05,better_lt_minus0p05,within_0p05
Claude Sonnet 4.6,no_forbid,24,-0.004833221435546875,0.0,1,2,21
Claude Sonnet 4.6,no_slip,24,-0.007644494374593099,0.0,3,3,18
Claude Sonnet 4.6,no_termination,24,-0.02425543467203776,0.0,1,4,19
Claude Sonnet 4.6,single_shot,22,0.4285546216097745,0.11053466796875,12,0,10
GPT-5.4,no_forbid,24,0.10959291458129883,0.0,5,0,19
GPT-5.4,no_slip,24,0.10982139905293782,6.103515625e-05,5,0,19
GPT-5.4,no_termination,23,0.02424347918966542,0.0,2,0,21
GPT-5.4,single_shot,19,0.31695877878289475,0.01499176025390625,9,0,10
Gemini 2.5 Pro,no_forbid,24,0.01678466796875,0.0,4,1,19
Gemini 2.5 Pro,no_slip,24,-0.024507522583007812,0.0,2,4,18
Gemini 2.5 Pro,no_termination,24,0.028070767720540363,0.0,3,0,21
Gemini 2.5 Pro,single_shot,20,0.2549869537353516,0.04223823547363281,10,0,10
Grok-4,no_forbid,24,-0.06151580810546875,0.0,0,3,21
Grok-4,no_slip,24,-0.024856011072794598,0.0,4,4,16
Grok-4,no_termination,24,-0.07686996459960938,0.0,1,3,20
Grok-4,single_shot,21,0.21159408206031435,0.000244140625,9,0,12
