dataset,backend,variant,case_id,delta_variant_minus_full_eV,variant_energy_eV,full_energy_eV
OCD24,Claude Sonnet 4.6,no_slip,001,-3.0517578125e-05,-4.743199110031128,-4.743168592453003
OCD24,Claude Sonnet 4.6,no_slip,002,0.0,-7.2280120849609375,-7.2280120849609375
OCD24,Claude Sonnet 4.6,no_slip,003,0.0,-11.654779434204102,-11.654779434204102
OCD24,Claude Sonnet 4.6,no_slip,004,6.103515625e-05,-11.384395599365234,-11.384456634521484
OCD24,Claude Sonnet 4.6,no_slip,005,0.0,-10.643351554870605,-10.643351554870605
OCD24,Claude Sonnet 4.6,no_slip,006,0.0,-7.403881072998047,-7.403881072998047
OCD24,Claude Sonnet 4.6,no_slip,007,0.01861572265625,-10.713722229003906,-10.732337951660156
OCD24,Claude Sonnet 4.6,no_slip,008,0.0,-4.346961975097656,-4.346961975097656
OCD24,Claude Sonnet 4.6,no_slip,009,0.46148681640625,-8.408592224121094,-8.870079040527344
OCD24,Claude Sonnet 4.6,no_slip,010,6.103515625e-05,-7.707033157348633,-7.707094192504883
OCD24,Claude Sonnet 4.6,no_slip,011,0.000152587890625,-4.284423828125,-4.284576416015625
OCD24,Claude Sonnet 4.6,no_slip,012,0.05250358581542969,-2.6935501098632812,-2.746053695678711
OCD24,Claude Sonnet 4.6,no_slip,013,-0.35003662109375,-9.669624328613281,-9.319587707519531
OCD24,Claude Sonnet 4.6,no_slip,014,-0.01500701904296875,-5.222894668579102,-5.207887649536133
OCD24,Claude Sonnet 4.6,no_slip,015,-0.2189807891845703,-1.5704517364501953,-1.351470947265625
OCD24,Claude Sonnet 4.6,no_slip,016,0.0,-12.998695373535156,-12.998695373535156
OCD24,Claude Sonnet 4.6,no_slip,017,-0.0001220703125,-5.363460540771484,-5.363338470458984
OCD24,Claude Sonnet 4.6,no_slip,018,0.0,-6.991722106933594,-6.991722106933594
OCD24,Claude Sonnet 4.6,no_slip,019,0.16607666015625,-3.3380630016326904,-3.5041396617889404
OCD24,Claude Sonnet 4.6,no_slip,020,0.0,-6.2419586181640625,-6.2419586181640625
OCD24,Claude Sonnet 4.6,no_slip,021,0.0,-3.6018409729003906,-3.6018409729003906
OCD24,Claude Sonnet 4.6,no_slip,022,0.0,-3.3845176696777344,-3.3845176696777344
OCD24,Claude Sonnet 4.6,no_slip,023,0.0,-14.549540519714355,-14.549540519714355
OCD24,Claude Sonnet 4.6,no_slip,024,-0.298248291015625,-3.715871810913086,-3.417623519897461
OCD24,Claude Sonnet 4.6,no_forbid,001,0.0,-4.743168592453003,-4.743168592453003
OCD24,Claude Sonnet 4.6,no_forbid,002,0.0,-7.2280120849609375,-7.2280120849609375
OCD24,Claude Sonnet 4.6,no_forbid,003,0.0,-11.654779434204102,-11.654779434204102
OCD24,Claude Sonnet 4.6,no_forbid,004,6.103515625e-05,-11.384395599365234,-11.384456634521484
OCD24,Claude Sonnet 4.6,no_forbid,005,0.0,-10.643351554870605,-10.643351554870605
OCD24,Claude Sonnet 4.6,no_forbid,006,0.0,-7.403881072998047,-7.403881072998047
OCD24,Claude Sonnet 4.6,no_forbid,007,0.0213623046875,-10.710975646972656,-10.732337951660156
OCD24,Claude Sonnet 4.6,no_forbid,008,0.0,-4.346961975097656,-4.346961975097656
OCD24,Claude Sonnet 4.6,no_forbid,009,-0.12230682373046875,-8.992385864257812,-8.870079040527344
OCD24,Claude Sonnet 4.6,no_forbid,010,0.0,-7.707094192504883,-7.707094192504883
OCD24,Claude Sonnet 4.6,no_forbid,011,0.00018310546875,-4.284393310546875,-4.284576416015625
OCD24,Claude Sonnet 4.6,no_forbid,012,0.0,-2.746053695678711,-2.746053695678711
OCD24,Claude Sonnet 4.6,no_forbid,013,0.2421722412109375,-9.077415466308594,-9.319587707519531
OCD24,Claude Sonnet 4.6,no_forbid,014,0.0,-5.207887649536133,-5.207887649536133
OCD24,Claude Sonnet 4.6,no_forbid,015,0.0,-1.351470947265625,-1.351470947265625
OCD24,Claude Sonnet 4.6,no_forbid,016,0.0,-12.998695373535156,-12.998695373535156
OCD24,Claude Sonnet 4.6,no_forbid,017,-9.1552734375e-05,-5.363430023193359,-5.363338470458984
OCD24,Claude Sonnet 4.6,no_forbid,018,0.0,-6.991722106933594,-6.991722106933594
OCD24,Claude Sonnet 4.6,no_forbid,019,0.0,-3.5041396617889404,-3.5041396617889404
OCD24,Claude Sonnet 4.6,no_forbid,020,0.001953125,-6.2400054931640625,-6.2419586181640625
OCD24,Claude Sonnet 4.6,no_forbid,021,0.0,-3.6018409729003906,-3.6018409729003906
OCD24,Claude Sonnet 4.6,no_forbid,022,0.03891754150390625,-3.345600128173828,-3.3845176696777344
OCD24,Claude Sonnet 4.6,no_forbid,023,0.0,-14.549540519714355,-14.549540519714355
OCD24,Claude Sonnet 4.6,no_forbid,024,-0.298248291015625,-3.715871810913086,-3.417623519897461
OCD24,Claude Sonnet 4.6,no_termination,001,-0.237060546875,-4.980229139328003,-4.743168592453003
OCD24,Claude Sonnet 4.6,no_termination,002,0.0,-7.2280120849609375,-7.2280120849609375
OCD24,Claude Sonnet 4.6,no_termination,003,6.103515625e-05,-11.654718399047852,-11.654779434204102
OCD24,Claude Sonnet 4.6,no_termination,004,6.103515625e-05,-11.384395599365234,-11.384456634521484
OCD24,Claude Sonnet 4.6,no_termination,005,0.0,-10.643351554870605,-10.643351554870605
OCD24,Claude Sonnet 4.6,no_termination,006,0.0,-7.403881072998047,-7.403881072998047
OCD24,Claude Sonnet 4.6,no_termination,007,0.02154541015625,-10.710792541503906,-10.732337951660156
OCD24,Claude Sonnet 4.6,no_termination,008,0.0,-4.346961975097656,-4.346961975097656
OCD24,Claude Sonnet 4.6,no_termination,009,0.46148681640625,-8.408592224121094,-8.870079040527344
OCD24,Claude Sonnet 4.6,no_termination,010,0.0,-7.707094192504883,-7.707094192504883
OCD24,Claude Sonnet 4.6,no_termination,011,0.0003662109375,-4.284210205078125,-4.284576416015625
OCD24,Claude Sonnet 4.6,no_termination,012,0.0,-2.746053695678711,-2.746053695678711
OCD24,Claude Sonnet 4.6,no_termination,013,-0.35302734375,-9.672615051269531,-9.319587707519531
OCD24,Claude Sonnet 4.6,no_termination,014,-0.01499176025390625,-5.222879409790039,-5.207887649536133
OCD24,Claude Sonnet 4.6,no_termination,015,-0.20131683349609375,-1.5527877807617188,-1.351470947265625
OCD24,Claude Sonnet 4.6,no_termination,016,0.0,-12.998695373535156,-12.998695373535156
OCD24,Claude Sonnet 4.6,no_termination,017,9.1552734375e-05,-5.363246917724609,-5.363338470458984
OCD24,Claude Sonnet 4.6,no_termination,018,0.0,-6.991722106933594,-6.991722106933594
OCD24,Claude Sonnet 4.6,no_termination,019,0.0,-3.5041396617889404,-3.5041396617889404
OCD24,Claude Sonnet 4.6,no_termination,020,0.0,-6.2419586181640625,-6.2419586181640625
OCD24,Claude Sonnet 4.6,no_termination,021,0.0,-3.6018409729003906,-3.6018409729003906
OCD24,Claude Sonnet 4.6,no_termination,022,0.03890228271484375,-3.3456153869628906,-3.3845176696777344
OCD24,Claude Sonnet 4.6,no_termination,023,0.0,-14.549540519714355,-14.549540519714355
OCD24,Claude Sonnet 4.6,no_termination,024,-0.298248291015625,-3.715871810913086,-3.417623519897461
OCD24,Claude Sonnet 4.6,single_shot,001,0.0,-4.743168592453003,-4.743168592453003
OCD24,Claude Sonnet 4.6,single_shot,002,0.6513595581054688,-6.576652526855469,-7.2280120849609375
OCD24,Claude Sonnet 4.6,single_shot,003,4.671255111694336,-6.983524322509766,-11.654779434204102
OCD24,Claude Sonnet 4.6,single_shot,004,1.246734619140625,-10.13772201538086,-11.384456634521484
OCD24,Claude Sonnet 4.6,single_shot,005,0.434814453125,-10.208537101745605,-10.643351554870605
OCD24,Claude Sonnet 4.6,single_shot,006,0.0,-7.403881072998047,-7.403881072998047
OCD24,Claude Sonnet 4.6,single_shot,007,0.0213623046875,-10.710975646972656,-10.732337951660156
OCD24,Claude Sonnet 4.6,single_shot,008,0.0,-4.346961975097656,-4.346961975097656
OCD24,Claude Sonnet 4.6,single_shot,010,6.103515625e-05,-7.707033157348633,-7.707094192504883
OCD24,Claude Sonnet 4.6,single_shot,012,0.4730072021484375,-2.2730464935302734,-2.746053695678711
OCD24,Claude Sonnet 4.6,single_shot,013,0.2421722412109375,-9.077415466308594,-9.319587707519531
OCD24,Claude Sonnet 4.6,single_shot,014,0.0,-5.207887649536133,-5.207887649536133
OCD24,Claude Sonnet 4.6,single_shot,015,0.0,-1.351470947265625,-1.351470947265625
OCD24,Claude Sonnet 4.6,single_shot,016,0.084930419921875,-12.913764953613281,-12.998695373535156
OCD24,Claude Sonnet 4.6,single_shot,017,0.0007343292236328125,-5.362604141235352,-5.363338470458984
OCD24,Claude Sonnet 4.6,single_shot,018,0.0,-6.991722106933594,-6.991722106933594
OCD24,Claude Sonnet 4.6,single_shot,019,0.247467041015625,-3.2566726207733154,-3.5041396617889404
OCD24,Claude Sonnet 4.6,single_shot,020,0.136138916015625,-6.1058197021484375,-6.2419586181640625
OCD24,Claude Sonnet 4.6,single_shot,021,0.23480224609375,-3.3670387268066406,-3.6018409729003906
OCD24,Claude Sonnet 4.6,single_shot,022,0.6487274169921875,-2.735790252685547,-3.3845176696777344
OCD24,Claude Sonnet 4.6,single_shot,023,0.29351806640625,-14.256022453308105,-14.549540519714355
OCD24,Claude Sonnet 4.6,single_shot,024,0.04111671447753906,-3.376506805419922,-3.417623519897461
OCD24,Gemini 2.5 Pro,no_slip,001,0.0,-4.980229139328003,-4.980229139328003
OCD24,Gemini 2.5 Pro,no_slip,002,0.0,-7.2280120849609375,-7.2280120849609375
OCD24,Gemini 2.5 Pro,no_slip,003,0.0,-11.654779434204102,-11.654779434204102
OCD24,Gemini 2.5 Pro,no_slip,004,0.0,-10.13772201538086,-10.13772201538086
