backend,variant,total,valid_success,natural_failure,external_failure,invalid_energy
Claude Sonnet 4.6,full,24,24,0,0,0
Claude Sonnet 4.6,no_forbid,24,24,0,0,0
Claude Sonnet 4.6,no_slip,24,24,0,0,0
Claude Sonnet 4.6,no_termination,24,24,0,0,0
Claude Sonnet 4.6,single_shot,24,22,2,0,0
GPT-5.4,full,24,24,0,0,0
GPT-5.4,no_forbid,24,24,0,0,0
GPT-5.4,no_slip,24,24,0,0,0
GPT-5.4,no_termination,24,23,1,0,0
GPT-5.4,single_shot,24,19,5,0,0
Gemini 2.5 Pro,full,24,24,0,0,0
Gemini 2.5 Pro,no_forbid,24,24,0,0,0
Gemini 2.5 Pro,no_slip,24,24,0,0,0
Gemini 2.5 Pro,no_termination,24,24,0,0,0
Gemini 2.5 Pro,single_shot,24,20,4,0,0
Grok-4,full,24,24,0,0,0
Grok-4,no_forbid,24,24,0,0,0
Grok-4,no_slip,24,24,0,0,0
Grok-4,no_termination,24,24,0,0,0
Grok-4,single_shot,24,21,3,0,0
