dataset,backend,variant,case_id,source,status,best_energy_eV,iterations,class_,external_failure,natural_failure,invalid_energy
rep50-full,Claude Sonnet 4.6,full,001,original,success,-4.980229139328003,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,002,original,success,-3.5041396617889404,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,003,original,success,-3.1345107555389404,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,004,original,success,-7.2280120849609375,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,005,original,success,-6.2375946044921875,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,006,original,success,-5.4569244384765625,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,007,original,success,-11.654596328735352,4,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,008,original,success,-4.546131134033203,3,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,009,original,success,-5.017307281494141,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,010,original,success,-10.075138092041016,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,011,original,success,-3.2839298248291016,2,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,012,original,success,-9.668636322021484,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,013,original,success,-3.3456153869628906,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,014,original,success,-7.570980072021484,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,015,original,success,-10.643351554870605,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,016,original,success,-14.549540519714355,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,017,original,success,-8.466651916503906,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,018,original,success,-2.113170623779297,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,019,original,success,-3.493175506591797,4,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,020,original,success,-2.7164688110351562,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,021,original,success,-4.241325378417969,4,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,022,original,success,-7.159950256347656,4,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,023,original,success,-4.346961975097656,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,024,original,success,-3.288808822631836,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,025,original,success,-7.8810882568359375,3,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,026,original,success,-19.925071716308594,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,027,original,success,-7.707094192504883,3,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,028,original,success,-7.268787384033203,3,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,029,original,success,-2.739093780517578,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,030,original,success,-4.292024612426758,4,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,031,original,success,-7.339601516723633,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,032,original,success,-1.094757080078125,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,033,original,success,-3.2235107421875,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,034,original,success,-3.4394569396972656,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,035,original,success,-4.418554306030273,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,036,original,success,-0.16718101501464844,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,037,original,success,-9.236335754394531,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,038,original,success,-3.3192520141601562,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,039,original,success,-7.434549331665039,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,040,original,success,-5.74797248840332,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,041,original,success,-4.055267333984375,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,042,original,success,-2.2634506225585938,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,043,original,success,-3.145526885986328,4,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,044,original,success,-5.087837219238281,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,045,original,success,-2.8482284545898438,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,046,original,success,-8.329967498779297,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,047,original,success,-10.486995697021484,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,048,original,success,-2.9037342071533203,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,049,original,success,-8.627952575683594,5,valid_success,False,False,False
rep50-full,Claude Sonnet 4.6,full,050,original,success,-11.695304870605469,5,valid_success,False,False,False
rep50-full,Gemini 2.5 Pro,full,001,original,success,-4.980229139328003,5,valid_success,False,False,False
rep50-full,Gemini 2.5 Pro,full,002,original,success,-3.3380630016326904,3,valid_success,False,False,False
rep50-full,Gemini 2.5 Pro,full,003,original,success,-3.134342908859253,5,valid_success,False,False,False
rep50-full,Gemini 2.5 Pro,full,004,original,success,-7.2280120849609375,5,valid_success,False,False,False
rep50-full,Gemini 2.5 Pro,full,005,original,success,-6.176261901855469,5,valid_success,False,False,False
