case_id,surface,adsorbate,random_best_energy,adsmind_best_of_4_full,delta_random_minus_best_of_4,outcome_vs_best_of_4_0p01,gpt54_full_energy,delta_random_minus_gpt54,outcome_vs_gpt54_0p01,new_extra5_case,source
01,Mo3Pd(111),[H],-3.631718397140503,-3.6317179203033447,-4.76837158203125e-07,tie,-3.627323865890503,-0.00439453125,tie,False,/Users/nagato/workspace/AdsMind/research/results/random_baseline_n20/summary.csv
02,Mo3Pd(111),[N]=[NH],-4.761686325073242,-4.769039154052734,0.0073528289794921875,tie,-4.769039154052734,0.0073528289794921875,tie,False,/Users/nagato/workspace/AdsMind/research/results/random_baseline_n20/summary.csv
03,CuPd3(111),[H],-3.323246717453003,-3.351963758468628,0.028717041015625,adsmind_lower,-3.351963758468628,0.028717041015625,adsmind_lower,True,/Users/nagato/workspace/AdsMind/research/results/random_baseline_cmu_extra5_n20/summary.csv
04,CuPd3(111),[N]=[NH],-3.293546676635742,-2.2848472595214844,-1.0086994171142578,random_lower,-2.2549095153808594,-1.0386371612548828,random_lower,False,/Users/nagato/workspace/AdsMind/research/results/random_baseline_n20/summary.csv
05,Cu3Ag(111),[H],-2.965336561203003,-2.961643934249878,-0.003692626953125,tie,-2.961643934249878,-0.003692626953125,tie,False,/Users/nagato/workspace/AdsMind/research/results/random_baseline_n20/summary.csv
06,Cu3Ag(111),[N]=[NH],-2.678739547729492,-2.1646385192871094,-0.5141010284423828,random_lower,-2.164623260498047,-0.5141162872314453,random_lower,True,/Users/nagato/workspace/AdsMind/research/results/random_baseline_cmu_extra5_n20/summary.csv
07,Ru3Mo(111),[H],-7.041508436203003,-7.051090955734253,0.00958251953125,tie,-7.030705213546753,-0.01080322265625,random_lower,True,/Users/nagato/workspace/AdsMind/research/results/random_baseline_cmu_extra5_n20/summary.csv
08,Ru3Mo(111),[N]=[NH],-7.188383102416992,-7.190608978271484,0.0022258758544921875,tie,-7.190608978271484,0.0022258758544921875,tie,True,/Users/nagato/workspace/AdsMind/research/results/random_baseline_cmu_extra5_n20/summary.csv
09,Pt(111),[OH],-1.9895267486572266,-1.9912567138671875,0.0017299652099609375,tie,-1.9912567138671875,0.0017299652099609375,tie,False,/Users/nagato/workspace/AdsMind/research/results/random_baseline_n20/summary.csv
10,Pt(100),[OH],-2.7149600982666016,-2.7176666259765625,0.0027065277099609375,tie,-2.7095260620117188,-0.0054340362548828125,tie,False,/Users/nagato/workspace/AdsMind/research/results/random_baseline_n20/summary.csv
11,Pd(111),[OH],-2.4397830963134766,-2.4184722900390625,-0.021310806274414062,random_lower,-2.3813095092773438,-0.05847358703613281,random_lower,True,/Users/nagato/workspace/AdsMind/research/results/random_baseline_cmu_extra5_n20/summary.csv
12,Au(111),[OH],-2.3599796295166016,-2.3513641357421875,-0.008615493774414062,tie,-2.0813217163085938,-0.2786579132080078,random_lower,False,/Users/nagato/workspace/AdsMind/research/results/random_baseline_n20/summary.csv
13,Ag(100),[OH],-2.8251514434814453,-2.8251419067382812,-9.5367431640625e-06,tie,-2.8251419067382812,-9.5367431640625e-06,tie,False,/Users/nagato/workspace/AdsMind/research/results/random_baseline_n20/summary.csv
14,CoPt(111),[OH],-3.6227664947509766,-3.6166324615478516,-0.006134033203125,tie,-3.5911407470703125,-0.03162574768066406,random_lower,False,/Users/nagato/workspace/AdsMind/research/results/random_baseline_n20/summary.csv
15,Cu6Ga2(100),[CH2]CO,-3.001087188720703,-3.257709503173828,0.256622314453125,adsmind_lower,-3.257709503173828,0.256622314453125,adsmind_lower,False,/Users/nagato/workspace/AdsMind/research/results/random_baseline_n20/summary.csv
16,Au2Hf(102),[CH2]CO,-6.736865997314453,-4.662910461425781,-2.073955535888672,random_lower,-4.272052764892578,-2.464813232421875,random_lower,False,/Users/nagato/workspace/AdsMind/research/results/random_baseline_n20/summary.csv
17,Rh2Ti2(111),CC=O,-3.171344757080078,-3.241016387939453,0.069671630859375,adsmind_lower,-3.241016387939453,0.069671630859375,adsmind_lower,False,/Users/nagato/workspace/AdsMind/research/results/random_baseline_n20/summary.csv
18,Al3Zr(101),CC=O,-3.2130470275878906,-3.1291351318359375,-0.08391189575195312,random_lower,-2.7240142822265625,-0.4890327453613281,random_lower,False,/Users/nagato/workspace/AdsMind/research/results/random_baseline_n20/summary.csv
19,Hf2Zn6(110),CC=O,-3.5673561096191406,-4.044700622558594,0.4773445129394531,adsmind_lower,-4.0125274658203125,0.4451713562011719,adsmind_lower,False,/Users/nagato/workspace/AdsMind/research/results/random_baseline_n20/summary.csv
20,Bi2Ti6(211),CN(C)N=O,-13.422286987304688,-11.652706146240234,-1.7695808410644531,random_lower,-11.652278900146484,-1.7700080871582031,random_lower,False,/Users/nagato/workspace/AdsMind/research/results/random_baseline_n20/summary.csv
