case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,full,-3.630131483078003,0.0,4,0,0.0,True,3,0,32852
02,full,-4.769039154052734,0.0,5,0,0.0,True,4,0,38505
09,full,-1.9912567138671875,0.0,3,0,0.0,True,0,0,26258
14,full,-3.5796432495117188,0.0,5,0,0.0,True,3,0,38624
19,full,-4.0125274658203125,0.0,4,0,0.0,True,3,0,39932
01,no_slip,-3.630131483078003,0.0,5,0,0.0,True,4,0,34868
02,no_slip,-4.769039154052734,0.0,5,0,0.0,True,5,0,33480
09,no_slip,-1.9912567138671875,0.0,3,0,0.0,True,0,0,25814
14,no_slip,-3.5911407470703125,-0.01149749755859375,5,0,0.0,True,3,0,33771
19,no_slip,-4.148807525634766,-0.13628005981445312,5,0,0.0,True,5,0,37053
01,no_forbid,-3.623600721359253,0.00653076171875,3,0,0.0,True,2,0,29249
02,no_forbid,-4.769039154052734,0.0,5,0,0.0,True,5,0,38489
09,no_forbid,-1.9912567138671875,0.0,3,0,0.0,True,0,0,26008
14,no_forbid,-3.5911407470703125,-0.01149749755859375,5,0,0.0,True,3,0,35868
19,no_forbid,-4.148807525634766,-0.13628005981445312,5,0,0.0,True,5,0,42052
01,no_termination,-3.630131483078003,0.0,5,0,0.0,True,4,0,35690
02,no_termination,-4.769039154052734,0.0,5,0,0.0,True,4,0,36787
09,no_termination,-1.9912567138671875,0.0,3,0,0.0,True,0,0,42723
14,no_termination,-3.5911407470703125,-0.01149749755859375,5,0,0.0,True,3,0,33339
19,no_termination,-4.0125274658203125,0.0,5,0,0.0,True,4,0,36800
01,single_shot,-3.557255506515503,0.0728759765625,1,0,0.0,True,1,0,5609
02,single_shot,-4.342861175537109,0.426177978515625,1,0,0.0,True,1,0,5682
09,single_shot,-1.8037338256835938,0.18752288818359375,1,0,0.0,True,0,0,5464
14,single_shot,-3.4533309936523438,0.126312255859375,1,0,0.0,True,1,0,6050
19,single_shot,-4.0125274658203125,0.0,1,0,0.0,True,1,0,6086
