backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,01,full,-3.630131483078003,0.0,4,0,0.0,True,3,0,32852
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,02,full,-4.769039154052734,0.0,5,0,0.0,True,4,0,38505
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,03,full,-3.351963758468628,0.0,2,0,0.0,True,1,0,20732
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,04,full,-2.2848472595214844,0.0,5,0,0.0,True,4,1,40331
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,05,full,-2.961643934249878,0.0,3,0,0.0,True,1,0,30970
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,06,full,-1.8745841979980469,0.0,5,0,0.0,True,1,2,35285
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,07,full,-7.051090955734253,0.0,4,0,0.0,True,4,0,40702
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,08,full,-6.869441986083984,0.0,5,0,0.0,True,3,2,41084
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,09,full,-1.9912567138671875,0.0,3,0,0.0,True,0,0,26258
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,10,full,-2.7176666259765625,0.0,4,0,0.0,True,3,0,37375
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,11,full,-2.4184722900390625,0.0,3,0,0.0,True,2,0,29346
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,12,full,-2.3513641357421875,0.0,3,0,0.0,True,2,0,27885
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,13,full,-2.8251419067382812,0.0,4,0,0.0,True,3,0,39378
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,14,full,-3.5796432495117188,0.0,5,0,0.0,True,3,0,38624
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,15,full,-3.257678985595703,0.0,4,0,0.0,True,2,0,36680
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,16,full,-4.662910461425781,0.0,5,0,0.0,True,2,0,39492
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,17,full,-3.240985870361328,0.0,5,0,0.0,True,5,1,39582
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,18,full,-2.7240142822265625,0.0,4,0,0.0,True,3,0,37109
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,19,full,-4.0125274658203125,0.0,4,0,0.0,True,3,0,39932
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,20,full,-11.652706146240234,0.0,5,0,0.0,True,5,2,41581
