backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,01,no_validator,-3.627323865890503,0.0028076171875,4,0,0.0,True,3,0,39335
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,02,no_validator,-4.769039154052734,0.0,5,0,0.0,True,4,0,38937
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,03,no_validator,-3.351963758468628,0.0,5,0,0.0,True,2,0,37007
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,04,no_validator,-2.2549095153808594,0.029937744140625,5,0,0.0,True,4,0,41176
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,05,no_validator,-2.9616286754608154,1.52587890625e-05,5,1,0.2,True,2,0,33873
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,06,no_validator,-2.164623260498047,-0.2900390625,5,0,0.0,True,1,2,34692
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,07,no_validator,-7.051090955734253,0.0,5,1,0.2,True,4,0,37611
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,08,no_validator,-6.856868743896484,0.0125732421875,5,0,0.0,True,3,3,37719
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,09,no_validator,-1.9912872314453125,-3.0517578125e-05,3,0,0.0,True,0,0,25914
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,10,no_validator,-2.7176666259765625,0.0,4,0,0.0,True,3,0,38308
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,11,no_validator,-2.4184722900390625,0.0,3,0,0.0,True,2,0,28281
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,12,no_validator,-2.3513641357421875,0.0,3,0,0.0,True,2,0,27985
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,13,no_validator,-2.8251419067382812,0.0,4,0,0.0,True,3,0,39816
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,14,no_validator,-3.5911407470703125,-0.01149749755859375,5,0,0.0,True,4,0,36187
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,15,no_validator,-3.257709503173828,-3.0517578125e-05,4,0,0.0,True,2,0,37924
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,16,no_validator,-4.272052764892578,0.3908576965332031,5,0,0.0,True,3,0,41108
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,17,no_validator,-3.240985870361328,0.0,5,0,0.0,True,5,1,39791
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,18,no_validator,-3.2147865295410156,-0.4907722473144531,4,0,0.0,True,2,0,37396
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,19,no_validator,-4.0125274658203125,0.0,5,0,0.0,True,4,0,38808
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,20,no_validator,-11.652278900146484,0.00042724609375,5,0,0.0,True,5,1,41878
