backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,01,no_validator,-3.630131483078003,-0.0028076171875,5,0,0.0,True,4,0,29494
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,02,no_validator,-4.769039154052734,0.0,5,0,0.0,True,4,0,29288
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,03,no_validator,-3.351963758468628,0.0,3,0,0.0,True,1,0,21056
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,04,no_validator,-2.2549095153808594,0.0,4,0,0.0,True,3,0,30940
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,05,no_validator,-2.961643934249878,0.0,4,0,0.0,True,1,0,27367
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,06,no_validator,-1.8745841979980469,0.2900390625,5,0,0.0,True,1,2,29221
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,07,no_validator,-7.051090955734253,-0.0203857421875,4,0,0.0,True,4,0,28661
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,08,no_validator,-7.190670013427734,-6.103515625e-05,5,0,0.0,True,3,1,30212
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,09,no_validator,-1.9912567138671875,0.0,3,0,0.0,True,0,0,19572
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,10,no_validator,-2.7095260620117188,0.0,2,0,0.0,True,2,0,15775
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,11,no_validator,-2.4184722900390625,-0.037162780761718306,3,0,0.0,True,2,0,22056
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,12,no_validator,-2.3513641357421875,-0.27004241943359375,3,0,0.0,True,2,0,21307
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,13,no_validator,-2.8251419067382812,0.0,3,0,0.0,True,2,0,21567
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,14,no_validator,-3.5911407470703125,0.0,5,0,0.0,True,3,0,25445
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,15,no_validator,-2.9638442993164062,0.2938652038574219,3,0,0.0,True,1,0,20130
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,16,no_validator,-4.662910461425781,-0.3908576965332031,5,0,0.0,True,2,1,26282
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,17,no_validator,-3.241016387939453,0.0,5,0,0.0,True,4,0,28459
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,18,no_validator,-2.8375282287597656,-0.11351394653320312,4,0,0.0,True,2,0,27583
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,19,no_validator,-4.0126190185546875,-9.1552734375e-05,4,0,0.0,True,4,0,30503
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,20,no_validator,-11.653438568115234,-0.00115966796875,5,0,0.0,True,5,1,31431
