backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,01,full,-3.623539686203003,0.0,4,0,0.0,True,3,0,31444
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,01,no_slip,-3.630192518234253,-0.00665283203125,5,0,0.0,True,4,0,42783
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,01,no_forbid,-3.623600721359253,-6.103515625e-05,2,0,0.0,True,1,0,11626
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,01,no_termination,-3.627323865890503,-0.0037841796875,5,0,0.0,True,4,0,47757
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,01,one_shot,-3.619694471359253,0.00384521484375,1,0,0.0,True,1,0,8332
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,02,full,-4.135707855224609,0.0,1,0,0.0,True,1,0,5108
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,02,no_slip,-4.344356536865234,-0.208648681640625,2,0,0.0,True,2,0,22860
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,02,no_forbid,-4.769039154052734,-0.633331298828125,3,0,0.0,True,3,0,28055
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,02,no_termination,-4.764400482177734,-0.628692626953125,5,0,0.0,True,4,0,56982
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,02,one_shot,-4.342861175537109,-0.2071533203125,1,0,0.0,True,1,0,9336
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,03,full,-3.351963758468628,0.0,5,0,0.0,True,3,0,35502
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,03,no_slip,-3.351963758468628,0.0,5,0,0.0,True,3,0,32570
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,03,no_forbid,-3.351963758468628,0.0,5,0,0.0,True,3,0,35005
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,03,no_termination,-3.351963758468628,0.0,5,0,0.0,True,3,0,33266
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,03,one_shot,-3.320255994796753,0.031707763671875,1,0,0.0,True,1,0,5852
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,04,full,-2.2549095153808594,0.0,5,0,0.0,True,3,2,39382
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,04,no_slip,-2.0389671325683594,0.2159423828125,5,0,0.0,True,4,3,35759
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,04,no_forbid,-1.8452110290527344,0.409698486328125,1,0,0.0,True,1,0,6256
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,04,no_termination,-2.2549095153808594,0.0,5,0,0.0,True,3,2,37742
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,04,one_shot,-1.8452110290527344,0.409698486328125,1,0,0.0,True,1,0,8923
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,05,full,-2.9616286754608154,0.0,5,0,0.0,True,3,0,33755
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,05,no_slip,-2.961643934249878,-1.52587890625e-05,5,0,0.0,True,3,0,33696
