backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,01,no_slip,-3.630192518234253,-0.00665283203125,5,0,0.0,True,4,0,42783
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,02,no_slip,-4.344356536865234,-0.208648681640625,2,0,0.0,True,2,0,22860
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,03,no_slip,-3.351963758468628,0.0,5,0,0.0,True,3,0,32570
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,04,no_slip,-2.0389671325683594,0.2159423828125,5,0,0.0,True,4,3,35759
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,05,no_slip,-2.961643934249878,-1.52587890625e-05,5,0,0.0,True,3,0,33696
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,06,no_slip,-1.7678642272949219,0.106719970703125,5,0,0.0,True,3,2,33768
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,07,no_slip,-7.051090955734253,0.0,5,0,0.0,True,5,0,32905
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,08,no_slip,-6.616634368896484,-0.2022705078125,5,0,0.0,True,3,3,34198
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,09,no_slip,-1.9772491455078125,0.014007568359375,1,0,0.0,True,0,0,8486
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,10,no_slip,-2.7176666259765625,0.0,4,0,0.0,True,3,0,35171
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,11,no_slip,-2.4184722900390625,0.0,3,0,0.0,True,2,0,27265
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,12,no_slip,-2.3513641357421875,0.0,3,0,0.0,True,2,0,27252
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,13,no_slip,-2.8251419067382812,0.0,3,0,0.0,True,2,0,28066
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,14,no_slip,-3.5911407470703125,0.0,5,0,0.0,True,4,0,48411
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,15,no_slip,-3.257709503173828,0.0,5,0,0.0,True,3,0,33988
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,16,no_slip,-4.662910461425781,0.0,5,0,0.0,True,2,1,33914
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,17,no_slip,-3.145648956298828,-0.2800788879394531,5,0,0.0,True,5,1,35266
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,18,no_slip,-2.7787628173828125,0.350372314453125,5,0,0.0,True,4,0,33685
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,19,no_slip,-4.0125274658203125,-0.38043212890625,4,0,0.0,True,3,0,34728
grok,grok4_mace_mp0_small,grok-4,MACE-MP-0 small,mace,mace_mp0,small,20,no_slip,-11.653316497802734,-0.00067138671875,5,0,0.0,True,5,0,34936
