backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,01,no_validator,-3.627323865890503,-0.0037841796875,4,0,0.0,True,3,0,30089
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,02,no_validator,-4.342861175537109,-0.2071533203125,2,0,0.0,True,2,0,16314
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,03,no_validator,-3.351963758468628,0.0,3,0,0.0,True,1,0,21937
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,04,no_validator,-1.8452110290527344,0.409698486328125,2,0,0.0,True,1,1,16548
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,05,no_validator,-2.961643934249878,-1.525878906294409e-05,3,0,0.0,True,2,0,21965
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,06,no_validator,-2.1646385192871094,-0.2900543212890625,5,0,0.0,True,1,2,26533
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,07,no_validator,-7.051090955734253,0.0,4,0,0.0,True,3,0,28635
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,08,no_validator,-7.190670013427734,-0.77630615234375,5,0,0.0,True,3,2,29278
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,09,no_validator,-1.9912567138671875,0.0,3,0,0.0,True,0,0,21107
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,10,no_validator,-2.7176666259765625,0.0,3,0,0.0,True,2,0,22475
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,11,no_validator,-2.4184722900390625,0.0,2,0,0.0,True,1,0,16765
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,12,no_validator,-2.0931472778320312,0.25821685791015625,2,0,0.0,True,1,0,16090
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,13,no_validator,-2.8251495361328125,-7.62939453125e-06,3,0,0.0,True,2,0,22718
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,14,no_validator,-3.5911407470703125,0.0,3,0,0.0,True,2,0,21426
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,15,no_validator,-2.9636917114257812,0.2940177917480469,3,0,0.0,True,1,0,21982
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,16,no_validator,-4.662910461425781,0.0,5,0,0.0,True,2,1,29268
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,17,no_validator,-3.241016387939453,-0.3754463195800781,3,0,0.0,True,3,0,23342
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,18,no_validator,-2.8375282287597656,0.2916069030761719,4,0,0.0,True,2,0,28665
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,19,no_validator,-4.0126190185546875,-0.380523681640625,3,0,0.0,True,2,0,23865
grok,grok4_mace_mp0_small,x-ai/grok-4.3,MACE-MP-0 small,mace,mace_mp0,small,20,no_validator,-11.652278900146484,0.0003662109375,2,0,0.0,True,2,0,17135
