case_id,surface,adsorbate,adsmind_best_energy,adsmind_iterations,adsmind_success,adsmind_slip_count,adsmind_dissociation,adsorbagent_best_energy,adsorbagent_success,adsorbagent_configs_tested,adsorbagent_valid_configs,adsorbagent_llm_tokens,energy_diff,winner,notes
01,Mo3Pd,[H],-3.627323865890503,4,True,3,0,-3.6234781742095947,True,1,1,4222,-0.003845691680908203,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
02,Mo3Pd,[N]=[NH],-4.769039154052734,5,True,4,0,-4.764554977416992,True,2,2,4971,-0.0044841766357421875,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
03,Pd3Cu,[H],-3.351963758468628,2,True,1,0,-3.1168863773345947,True,1,1,4270,-0.2350773811340332,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
04,Pd3Cu,[N]=[NH],-2.2549095153808594,4,True,3,0,-1.5525188446044922,True,3,3,4396,-0.7023906707763672,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
05,Cu3Ag,[H],-2.961643934249878,4,True,1,0,-2.8518259525299072,True,2,2,4208,-0.1098179817199707,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
06,Cu3Ag,[N]=[NH],-2.164623260498047,5,True,3,1,-1.5293254852294922,True,2,2,4282,-0.6352977752685547,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
07,Ru3Mo,[H],-7.030705213546753,5,True,4,0,-6.671879053115845,True,1,1,4246,-0.3588261604309082,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
08,Ru3Mo,[N]=[NH],-7.190608978271484,5,True,3,1,-5.292572021484375,True,1,1,4575,-1.8980369567871094,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
09,Pt,[OH],-1.9912567138671875,3,True,0,0,-1.9891910552978516,True,2,2,4303,-0.0020656585693359375,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
10,Pt,[OH],-2.7095260620117188,2,True,2,0,-2.708230972290039,True,2,2,4401,-0.0012950897216796875,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
11,Pd,[OH],-2.381309509277344,1,True,1,0,-2.3963565826416016,True,2,2,4413,0.015047073364257368,adsorbagent,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
12,Au,[OH],-2.0813217163085938,1,True,1,0,-1.6133289337158203,True,2,2,4224,-0.46799278259277344,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
13,Ag,[OH],-2.8251419067382812,3,True,2,0,-2.4099369049072266,True,2,2,4157,-0.4152050018310547,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
14,CoPt,[OH],-3.5911407470703125,5,True,3,0,-3.4744815826416016,True,2,2,4499,-0.11665916442871094,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
15,Cu6Ga2,[CH2]CO,-3.257709503173828,4,True,2,0,-1.5233955383300781,True,3,2,4354,-1.73431396484375,adsmind,"{""desorbed"": 0, ""dissociated"": 1, ""read_error"": 0, ""surface_changed"": 0}"
16,Au2Hf,[CH2]CO,-4.272052764892578,5,True,3,0,-3.282684326171875,True,1,1,5060,-0.9893684387207031,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
17,Rh2Ti2,CC=O,-3.241016387939453,5,True,4,0,-3.1537322998046875,True,4,4,4831,-0.08728408813476562,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
18,Al3Zr,CC=O,-2.7240142822265625,3,True,2,0,-2.9522857666015625,True,3,3,4595,0.228271484375,adsorbagent,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
19,Hf2Zn6,CC=O,-4.0125274658203125,5,True,4,0,-3.0767059326171875,True,1,1,5315,-0.935821533203125,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
20,Bi2Ti6,CN(C)N=O,-11.652278900146484,5,True,5,2,-5.4582366943359375,True,1,1,5012,-6.194042205810547,adsmind,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
