backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,config_name,ads_smiles,bulk_symbol,bulk_id,miller,shift,top,status,skip_reason,traj_count,valid_traj_count,best_total_energy,best_adsorption_energy_eV,best_config,adsorbagent_configs_tested,critic_loop_count,llm_token_count,llm_prompt_tokens,llm_completion_tokens,llm_successful_requests,llm_total_cost_usd,site_type,site_atoms,ads_bind_atoms,orient,cutoff_multiplier
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,01,01_Mo3Pd_H,*H,Mo3Pd,mp-1186014,"(1,1,1)",0.167,True,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",29,29,-870.8732299804688,-3.879215955734253,config_21,29,2,6976,5112,1864,8,0.0,hollow,Mo;Mo;Pd,H,upright above threefold hollow,1.1500000000000001
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,02,02_Mo3Pd_NNH,*N*NH,Mo3Pd,mp-1186014,"(1,1,1)",0.167,True,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-889.1243896484375,-5.097377777099609,config_0,2,1,4737,3226,1511,5,0.0,bridge,Mo;Pd,N_terminal,tilted end-on,1.1500000000000001
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,03,03_CuPd3_H,*H,CuPd3,mp-1184119,"(1,1,1)",0.063,True,skipped,no_traj_files,0,0,,,,,,,,,,,,,,,
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,04,04_CuPd3_NNH,*N*NH,CuPd3,mp-1184119,"(1,1,1)",0.063,True,success,"{""desorbed"": 0, ""dissociated"": 7, ""read_error"": 0, ""surface_changed"": 0}",34,27,-320.2846984863281,-2.9148216247558594,config_31,34,1,4764,3217,1547,5,0.0,ontop,Pd,terminal N,"end-on, slightly tilted",1.1500000000000001
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,05,05_Cu3Ag_H,*H,Cu3Ag,mp-1184011,"(1,1,1)",0.063,True,skipped,no_traj_files,0,0,,,,,,,,,,,,,,,
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,06,06_Cu3Ag_NNH,*N*NH,Cu3Ag,mp-1184011,"(1,1,1)",0.063,True,success,"{""desorbed"": 0, ""dissociated"": 2, ""read_error"": 0, ""surface_changed"": 0}",23,21,-241.90931701660156,-2.243450164794922,config_18,23,1,4972,3280,1692,5,0.0,ontop,Cu,terminal N,tilted end-on,1.1500000000000001
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,07,07_Ru3Mo_H,*H,Ru3Mo,mp-975834,"(1,1,1)",0.167,True,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",17,17,-905.11669921875,-6.726322889328003,config_10,17,1,4517,3072,1445,5,0.0,hollow,Ru;Ru;Mo,H,atomic/upright-trivial,1.1500000000000001
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,08,08_Ru3Mo_NNH,*N*NH,Ru3Mo,mp-975834,"(1,1,1)",0.167,True,success,"{""desorbed"": 0, ""dissociated"": 6, ""read_error"": 0, ""surface_changed"": 0}",24,18,-922.5654296875,-7.142055511474609,config_9,24,1,4588,3127,1461,5,0.0,bridge,Mo;Ru,terminal N,"end-on, tilted bridge-bound through terminal N",1.1500000000000001
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,09,09_Pt111_OH,*OH,Pt,mp-126,"(1,1,1)",0.167,True,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",25,25,-324.1883850097656,-1.9971504211425781,config_22,25,1,4336,2989,1347,5,0.0,ontop,Pt,O,"end-on upright (slightly tilted possible), with O bound to surface and H pointing away from the surface",1.1500000000000001
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,10,10_Pt100_OH,*OH,Pt,mp-126,"(1,0,0)",0.25,True,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",22,22,-210.45965576171875,-2.7414588928222656,config_3,22,1,4457,3045,1412,5,0.0,ontop,Pt,O,"end-on O-down, slightly tilted",1.1500000000000001
