case_id,surface,adsorbate,adsmind_best_energy,adsmind_iterations,adsmind_success,adsmind_slip_count,adsmind_dissociation,adsorbagent_best_energy,adsorbagent_success,adsorbagent_configs_tested,adsorbagent_valid_configs,adsorbagent_llm_tokens,energy_diff,winner,notes
01,Mo3Pd,*H,-3.627323865890503,4,True,3,0,-3.879215955734253,True,29,29,6976,0.25189208984375,adsorbagent,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
02,Mo3Pd,*N*NH,-4.769039154052734,5,True,4,0,-5.097377777099609,True,2,2,4737,0.328338623046875,adsorbagent,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
04,CuPd3,*N*NH,-2.2549095153808594,4,True,3,0,-2.9148216247558594,True,34,27,4764,0.659912109375,adsorbagent,"{""desorbed"": 0, ""dissociated"": 7, ""read_error"": 0, ""surface_changed"": 0}"
05,Cu3Ag,*H,-2.961643934249878,4,True,1,0,,False,0,0,0,,tie,no_traj_files
09,Pt,*OH,-1.9912567138671875,3,True,0,0,-1.9971504211425781,True,25,25,4336,0.005893707275390625,adsorbagent,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
10,Pt,*OH,-2.7095260620117188,2,True,2,0,-2.7414588928222656,True,22,22,4457,0.031932830810546875,adsorbagent,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
12,Au,*OH,-2.0813217163085938,1,True,1,0,-2.245380401611328,True,23,23,4066,0.16405868530273438,adsorbagent,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
13,Ag,*OH,-2.8251419067382812,3,True,2,0,-2.856945037841797,True,25,25,4058,0.031803131103515625,adsorbagent,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
14,CoPt,*OH,-3.5911407470703125,5,True,3,0,-4.125019073486328,True,8,7,4290,0.5338783264160156,adsorbagent,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 1}"
15,Cu6Ga2,*CH2CH2OH,-3.257709503173828,4,True,2,0,,False,0,0,0,,tie,no_traj_files
16,Au2Hf,*CH2CH2OH,-4.272052764892578,5,True,3,0,-5.699554443359375,True,20,16,5147,1.4275016784667969,adsorbagent,"{""desorbed"": 0, ""dissociated"": 4, ""read_error"": 0, ""surface_changed"": 0}"
17,Rh2Ti2,*OCHCH3,-3.241016387939453,5,True,4,0,-4.476116180419922,True,31,31,4862,1.2350997924804688,adsorbagent,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
18,Al3Zr,*OCHCH3,-2.7240142822265625,3,True,2,0,,False,0,0,0,,tie,no_traj_files
19,Hf2Zn6,*OCHCH3,-4.0125274658203125,5,True,4,0,-4.707073211669922,True,18,18,4490,0.6945457458496094,adsorbagent,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}"
20,Bi2Ti6,*ONN(CH3)2,-11.652278900146484,5,True,5,2,-12.284919738769531,True,16,13,9566,0.6326408386230469,adsorbagent,"{""desorbed"": 0, ""dissociated"": 3, ""read_error"": 0, ""surface_changed"": 0}"
