case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,one_shot,-3.557255506515503,0.0728759765625,1,0,0.0,True,1,0,5609
02,one_shot,-4.342861175537109,0.426177978515625,1,0,0.0,True,1,0,5682
03,one_shot,-3.351963758468628,0.0,1,0,0.0,True,0,0,5741
04,one_shot,-1.8452110290527344,0.43963623046875,1,0,0.0,True,1,0,6284
05,one_shot,-2.961643934249878,0.0,1,0,0.0,True,0,0,6010
06,one_shot,,,1,0,0.0,False,0,1,5530
07,one_shot,-6.883122205734253,0.16796875,1,0,0.0,True,1,0,5839
08,one_shot,,,1,0,0.0,False,0,1,5736
09,one_shot,-1.8037338256835935,0.1875228881835937,1,0,0.0,True,0,0,5464
10,one_shot,-2.7095260620117188,0.0081405639648437,1,0,0.0,True,1,0,6245
11,one_shot,-2.4184722900390625,0.0,1,0,0.0,True,0,0,5937
12,one_shot,-2.0813217163085938,0.2700424194335937,1,0,0.0,True,1,0,5909
13,one_shot,-2.8251419067382812,0.0,1,0,0.0,True,0,0,6893
14,one_shot,-3.453330993652344,0.126312255859375,1,0,0.0,True,1,0,6050
15,one_shot,-2.767475128173828,0.490203857421875,1,0,0.0,True,1,0,6381
16,one_shot,-4.662910461425781,0.0,1,0,0.0,True,0,0,6590
17,one_shot,-2.692474365234375,0.5485115051269531,1,0,0.0,True,1,0,6591
18,one_shot,-2.5189666748046875,0.205047607421875,1,0,0.0,True,1,0,6557
19,one_shot,-4.0125274658203125,0.0,1,0,0.0,True,1,0,6086
20,one_shot,-11.652278900146484,0.00042724609375,1,0,0.0,True,1,0,6731
