backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,01,full,-3.6317179203033447,0.0,5,0,0.0,True,4,0,42814
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,02,full,-4.766019821166992,0.0,5,0,0.0,True,4,0,44171
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,03,full,-3.351963758468628,0.0,5,0,0.0,True,3,0,26258
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,04,full,-2.0603294372558594,0.0,5,0,0.0,True,4,3,44081
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,05,full,-2.961643934249878,0.0,5,0,0.0,True,3,0,40932
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,06,full,-2.1646385192871094,0.0,5,0,0.0,True,2,1,27931
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,07,full,-7.051090955734253,0.0,5,0,0.0,True,5,0,29421
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,08,full,-6.414363861083984,0.0,5,0,0.0,True,5,4,32740
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,09,full,-1.9739322662353516,0.0,3,0,0.0,True,1,0,28924
gemini,gemini25pro_mace_mp0_small,gemini-2.5-pro,MACE-MP-0 small,mace,mace_mp0,small,10,full,-2.7176666259765625,0.0,4,0,0.0,True,3,0,39939
