case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
01,full,-3.627323865890503,0.0,4,0,0.0,True,3,0,28857
02,full,-4.769039154052734,0.0,5,0,0.0,True,4,0,28966
03,full,-3.351963758468628,0.0,2,0,0.0,True,1,0,15492
04,full,-2.2549095153808594,0.0,4,0,0.0,True,3,0,30763
05,full,-2.961643934249878,0.0,4,0,0.0,True,1,0,27579
06,full,-2.164623260498047,0.0,5,0,0.0,True,3,1,29638
07,full,-7.030705213546753,0.0,5,0,0.0,True,4,0,34279
08,full,-7.190608978271484,0.0,5,0,0.0,True,3,1,30444
09,full,-1.9912567138671875,0.0,3,0,0.0,True,0,0,20047
10,full,-2.7095260620117188,0.0,2,0,0.0,True,2,0,15422
11,full,-2.381309509277344,0.0,1,0,0.0,True,1,0,9807
12,full,-2.0813217163085938,0.0,1,0,0.0,True,1,0,9801
13,full,-2.8251419067382812,0.0,3,0,0.0,True,2,0,21610
14,full,-3.5911407470703125,0.0,5,0,0.0,True,3,0,27934
15,full,-3.257709503173828,0.0,4,0,0.0,True,2,0,26512
16,full,-4.272052764892578,0.0,5,0,0.0,True,3,0,30334
17,full,-3.241016387939453,0.0,5,0,0.0,True,4,0,30240
18,full,-2.7240142822265625,0.0,3,0,0.0,True,2,0,21803
19,full,-4.0125274658203125,0.0,5,0,0.0,True,4,0,29540
20,full,-11.652278900146484,0.0,5,0,0.0,True,5,2,32322
