backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,01,one_shot,-3.557255506515503,0.070068359375,1,0,0.0,True,1,0,4278
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,02,one_shot,-4.342861175537109,0.426177978515625,1,0,0.0,True,1,0,4565
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,03,one_shot,-3.351963758468628,0.0,1,0,0.0,True,0,0,4523
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,04,one_shot,-2.2427330017089844,0.012176513671875,1,0,0.0,True,1,0,5135
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,05,one_shot,-2.842610120773315,0.1190338134765625,1,0,0.0,True,0,0,4586
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,06,one_shot,,,1,0,0.0,False,0,1,4597
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,07,one_shot,-6.511173963546753,0.51953125,1,0,0.0,True,1,0,4422
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,08,one_shot,,,1,0,0.0,False,0,1,4494
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,09,one_shot,-1.9912567138671875,0.0,1,0,0.0,True,0,0,4559
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,10,one_shot,-2.7176666259765625,-0.0081405639648437,1,0,0.0,True,0,0,4710
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,11,one_shot,-2.4184722900390625,-0.0371627807617187,1,0,0.0,True,0,0,4286
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,12,one_shot,-2.0813217163085938,0.0,1,0,0.0,True,1,0,4705
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,13,one_shot,-2.8078689575195312,0.01727294921875,1,0,0.0,True,1,0,4786
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,14,one_shot,-3.4312286376953125,0.159912109375,1,0,0.0,True,0,0,4205
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,15,one_shot,-2.9636917114257812,0.2940177917480469,1,0,0.0,True,0,0,4756
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,16,one_shot,-4.662910461425781,-0.3908576965332031,1,0,0.0,True,0,0,5002
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,17,one_shot,-2.692474365234375,0.5485420227050781,1,0,0.0,True,1,0,4858
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,18,one_shot,-2.5189666748046875,0.205047607421875,1,0,0.0,True,1,0,4907
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,19,one_shot,-4.0125274658203125,0.0,1,0,0.0,True,1,0,4601
gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,20,one_shot,-11.652278900146484,0.0,1,0,0.0,True,1,0,5229
