backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,01,no_termination,-3.6317179203033447,0.0,5,0,0.0,True,4,0,36283
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,02,no_termination,-4.765958786010742,0.0,5,0,0.0,True,4,0,37383
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,03,no_termination,-3.351963758468628,0.0,5,0,0.0,True,3,0,33266
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,04,no_termination,-2.2549095153808594,0.0,5,0,0.0,True,3,2,37742
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,05,no_termination,-2.961643934249878,-1.52587890625e-05,5,0,0.0,True,3,0,33163
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,06,no_termination,-1.8745841979980469,0.0,5,0,0.0,True,1,2,33278
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,07,no_termination,-7.030705213546753,0.0203857421875,4,0,0.0,True,4,0,28145
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,08,no_termination,-7.190608978271484,-0.7762451171875,4,0,0.0,True,3,2,30842
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,09,no_termination,-1.9739322662353516,0.0,3,0,0.0,True,1,0,44624
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,10,no_termination,-2.7176666259765625,0.0,4,0,0.0,True,3,0,55311
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,11,no_termination,-2.4184722900390625,0.0,3,0,0.0,True,2,0,24269
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,12,no_termination,-2.3513641357421875,0.0,3,0,0.0,True,2,0,46843
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,13,no_termination,-2.8251419067382812,0.0,4,0,0.0,True,3,0,58847
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,14,no_termination,-3.616632461547851,0.0,5,0,0.0,True,3,0,33323
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,15,no_termination,-3.257709503173828,0.0,5,1,0.2,True,2,0,36579
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,16,no_termination,-4.662910461425781,0.0,5,0,0.0,True,2,1,35408
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,17,no_termination,-3.064361572265625,-0.19879150390625,2,0,0.0,True,2,1,10332
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,18,no_termination,-3.1291351318359375,0.0,5,0,0.0,True,5,0,40412
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,19,no_termination,-4.027214050292969,0.017486572265625,5,0,0.0,True,5,1,38921
grok,openrouter_grok4_mace_mp0_small,x-ai/grok-4,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,20,no_termination,-11.652278900146484,0.0003662109375,5,0,0.0,True,5,0,38954
