benchmark_id,case_id,surface,adsorbate,adsmind_1shot_energy,adsmind_1shot_energy_best4,adsmind_1shot_energy_mean4,adsmind_1shot_best4,adsmind_1shot_mean4,adsmind_1shot_relax,adsmind_1shot_success,adsmind_full_energy,adsmind_full_energy_best4,adsmind_full_energy_mean4,adsmind_full_best4,adsmind_full_mean4,adsmind_full_relax,adsmind_full_success,random_n20_energy,random_n20_relax,random_n20_success,heuristic_energy,heuristic_relax,heuristic_success,adsorbagent_energy,adsorbagent_relax,adsorbagent_success,adsmind_1shot_openai_gpt54_mace_mp0_small_energy,adsmind_1shot_openai_gpt54_mace_mp0_small_relax,adsmind_1shot_openai_gpt54_mace_mp0_small_success,adsmind_1shot_anthropic_claude_sonnet46_mace_mp0_small_energy,adsmind_1shot_anthropic_claude_sonnet46_mace_mp0_small_relax,adsmind_1shot_anthropic_claude_sonnet46_mace_mp0_small_success,adsmind_1shot_google_vertexai_gemini25pro_mace_mp0_small_energy,adsmind_1shot_google_vertexai_gemini25pro_mace_mp0_small_relax,adsmind_1shot_google_vertexai_gemini25pro_mace_mp0_small_success,adsmind_1shot_xai_grok4_0709_mace_mp0_small_energy,adsmind_1shot_xai_grok4_0709_mace_mp0_small_relax,adsmind_1shot_xai_grok4_0709_mace_mp0_small_success,adsmind_1shot_success_any4,adsmind_1shot_success_all4,adsmind_full_openai_gpt54_mace_mp0_small_energy,adsmind_full_openai_gpt54_mace_mp0_small_relax,adsmind_full_openai_gpt54_mace_mp0_small_success,adsmind_full_anthropic_claude_sonnet46_mace_mp0_small_energy,adsmind_full_anthropic_claude_sonnet46_mace_mp0_small_relax,adsmind_full_anthropic_claude_sonnet46_mace_mp0_small_success,adsmind_full_google_vertexai_gemini25pro_mace_mp0_small_energy,adsmind_full_google_vertexai_gemini25pro_mace_mp0_small_relax,adsmind_full_google_vertexai_gemini25pro_mace_mp0_small_success,adsmind_full_xai_grok4_0709_mace_mp0_small_energy,adsmind_full_xai_grok4_0709_mace_mp0_small_relax,adsmind_full_xai_grok4_0709_mace_mp0_small_success,adsmind_full_success_any4,adsmind_full_success_all4
01,01,Mo3Pd,H,-3.594212055206299,-3.6311686038970943,-3.594212055206299,-3.6311686038970943,-3.594212055206299,1.0,1.0,-3.630222797393799,-3.6317179203033447,-3.630222797393799,-3.6317179203033447,-3.630222797393799,4.5,1.0,-3.631718397140503,20.0,1.0,-3.637272596359253,69,1.0,-3.879215955734253,29.0,1.0,-3.557255506515503,1,True,-3.557255506515503,1,True,-3.6311686038970943,1,True,-3.6311686038970943,1,True,True,True,-3.627323865890503,4,True,-3.630131483078003,4,True,-3.6317179203033447,5,True,-3.6317179203033447,5,True,True,True
02,02,Mo3Pd,NNH,-4.400544166564941,-4.765958786010742,-4.400544166564941,-4.765958786010742,-4.400544166564941,1.0,1.0,-4.767498970031738,-4.769039154052734,-4.767498970031738,-4.769039154052734,-4.767498970031738,4.75,1.0,-4.761686325073242,20.0,1.0,-4.776639938354492,69,1.0,-5.097377777099609,2.0,1.0,-4.342861175537109,1,True,-4.342861175537109,1,True,-4.765958786010742,1,True,-4.150495529174805,1,True,True,True,-4.769039154052734,5,True,-4.769039154052734,5,True,-4.765958786010742,4,True,-4.765958786010742,5,True,True,True
03,03,Pd3Cu,H,-3.344036817550659,-3.351963758468628,-3.344036817550659,-3.351963758468628,-3.344036817550659,1.0,1.0,-3.351963758468628,-3.351963758468628,-3.351963758468628,-3.351963758468628,-3.351963758468628,3.5,1.0,-3.323246717453003,20.0,1.0,-3.349552869796753,56,1.0,,,0.0,-3.351963758468628,1,True,-3.351963758468628,1,True,-3.351963758468628,1,True,-3.320255994796753,1,True,True,True,-3.351963758468628,2,True,-3.351963758468628,2,True,-3.351963758468628,5,True,-3.351963758468628,5,True,True,True
04,04,Pd3Cu,NNH,-1.850956916809082,-2.2427330017089844,-1.850956916809082,-2.2427330017089844,-1.850956916809082,1.0,1.0,-2.2137489318847656,-2.2848472595214844,-2.2137489318847656,-2.2848472595214844,-2.2137489318847656,4.75,1.0,-3.293546676635742,20.0,1.0,-3.470273971557617,56,1.0,-2.9148216247558594,34.0,1.0,-2.2427330017089844,1,True,-1.8452110290527344,1,True,-1.657941818237305,1,True,-1.657941818237305,1,True,True,True,-2.2549095153808594,4,True,-2.2848472595214844,5,True,-2.0603294372558594,5,True,-2.2549095153808594,5,True,True,True
05,05,Cu3Ag,H,-2.924522876739502,-2.961643934249878,-2.924522876739502,-2.961643934249878,-2.924522876739502,1.0,1.0,-2.9616401195526123,-2.961643934249878,-2.9616401195526123,-2.961643934249878,-2.9616401195526123,4.25,1.0,-2.965336561203003,20.0,1.0,-2.966923475265503,59,1.0,,,0.0,-2.842610120773315,1,True,-2.961643934249878,1,True,-2.9469187259674072,1,True,-2.9469187259674072,1,True,True,True,-2.961643934249878,4,True,-2.961643934249878,3,True,-2.961643934249878,5,True,-2.961628675460815,5,True,True,True
06,06,Cu3Ag,NNH,,,,,,1.0,0.0,-2.0196075439453125,-2.16463851928711,-2.0196075439453125,-2.16463851928711,-2.0196075439453125,5.0,1.0,-2.678739547729492,20.0,1.0,-2.167753219604492,59,1.0,-2.243450164794922,23.0,1.0,,1,False,,1,False,,1,False,,1,False,False,False,-2.164623260498047,5,True,-1.8745841979980469,5,True,-2.16463851928711,5,True,-1.8745841979980469,5,True,True,True
07,07,Ru3Mo,H,-6.790135145187378,-6.883122205734253,-6.790135145187378,-6.883122205734253,-6.790135145187378,1.0,1.0,-7.045994520187378,-7.051090955734253,-7.045994520187378,-7.051090955734253,-7.045994520187378,4.75,1.0,-7.041508436203003,20.0,1.0,-7.051396131515503,84,1.0,-6.726322889328003,17.0,1.0,-6.511173963546753,1,True,-6.883122205734253,1,True,-6.883122205734253,1,True,-6.883122205734253,1,True,True,True,-7.030705213546753,5,True,-7.051090955734253,4,True,-7.051090955734253,5,True,-7.051090955734253,5,True,True,True
08,08,Ru3Mo,NNH,-6.414363861083984,-6.414363861083984,-6.414363861083984,-6.414363861083984,-6.414363861083984,1.0,0.25,-6.722194671630859,-7.190608978271484,-6.722194671630859,-7.190608978271484,-6.722194671630859,4.75,1.0,-7.188383102416992,20.0,1.0,-9.209440231323242,84,1.0,-7.142055511474609,24.0,1.0,,1,False,,1,False,-6.414363861083984,1,True,,1,False,True,False,-7.190608978271484,5,True,-6.869441986083984,5,True,-6.414363861083984,5,True,-6.414363861083984,4,True,True,True
09,09,Pt,OH,-1.8925771713256836,-1.9912567138671875,-1.8925771713256836,-1.9912567138671875,-1.8925771713256836,1.0,1.0,-1.9825944900512695,-1.9912567138671875,-1.9825944900512695,-1.9912567138671875,-1.9825944900512695,3.0,1.0,-1.9895267486572263,20.0,1.0,-1.9934635162353516,46,1.0,-1.997150421142578,25.0,1.0,-1.9912567138671875,1,True,-1.8037338256835935,1,True,-1.8013858795166016,1,True,-1.9739322662353516,1,True,True,True,-1.9912567138671875,3,True,-1.9912567138671875,3,True,-1.9739322662353516,3,True,-1.9739322662353516,3,True,True,True
10,10,Pt,OH,-2.5654096603393555,-2.7176666259765625,-2.5654096603393555,-2.7176666259765625,-2.5654096603393555,1.0,1.0,-2.7156314849853516,-2.7176666259765625,-2.7156314849853516,-2.7176666259765625,-2.7156314849853516,3.5,1.0,-2.7149600982666016,20.0,1.0,-2.7206058502197266,25,1.0,-2.7414588928222656,22.0,1.0,-2.7176666259765625,1,True,-2.7095260620117188,1,True,-2.1220951080322266,1,True,-2.712350845336914,1,True,True,True,-2.7095260620117188,2,True,-2.7176666259765625,4,True,-2.7176666259765625,4,True,-2.7176666259765625,4,True,True,True
