backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,001,full,-4.284576416015625,0.0,5,0,0.0,True,3,1,40589
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,002,full,-4.346961975097656,0.0,5,0,0.0,True,5,4,42792
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,003,full,-3.288808822631836,0.0,5,0,0.0,True,5,1,41817
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,004,full,-7.159950256347656,0.0,4,0,0.0,True,4,0,36320
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,005,full,-10.075138092041016,0.0,5,0,0.0,True,3,0,40898
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,006,full,-3.417623519897461,0.0,5,0,0.0,True,4,1,36111
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,007,full,-19.925071716308594,0.0,5,1,0.2,True,0,0,35042
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,008,full,-8.466651916503906,0.0,5,0,0.0,True,4,0,39289
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,009,full,-4.292024612426758,0.0,4,0,0.0,True,4,0,47783
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,010,full,-3.34561538696289,0.0,5,0,0.0,True,5,2,41549
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,011,full,-4.418554306030273,0.0,5,0,0.0,True,1,0,34943
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,012,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,40545
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,013,full,-2.746053695678711,0.0,3,0,0.0,True,2,0,27818
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,014,full,-11.384456634521484,0.0,5,0,0.0,True,5,1,43664
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,015,full,-1.094757080078125,0.0,5,0,0.0,True,2,2,38117
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,016,full,-9.236335754394531,0.0,5,0,0.0,True,3,1,36194
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,017,full,-2.716468811035156,0.0,5,0,0.0,True,4,0,38443
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,018,full,-7.570980072021484,0.0,5,0,0.0,True,5,2,41463
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,019,full,-2.2634506225585938,0.0,5,0,0.0,True,3,0,42511
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,020,full,-7.707094192504883,0.0,3,0,0.0,True,2,0,29176
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,021,full,-5.017307281494141,0.0,5,0,0.0,True,3,0,38071
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,022,full,-3.60184097290039,0.0,5,0,0.0,True,4,0,39213
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,023,full,-3.4394569396972656,0.0,5,0,0.0,True,2,0,37883
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,024,full,-5.207887649536133,0.0,5,0,0.0,True,5,0,37773
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,025,full,-3.493175506591797,0.0,4,0,0.0,True,2,0,34167
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,026,full,-7.434549331665039,0.0,5,0,0.0,True,4,0,36048
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,027,full,-7.403881072998047,0.0,3,0,0.0,True,1,0,26293
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,028,full,-4.055267333984375,0.0,5,0,0.0,True,5,2,42495
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,029,full,-7.8810882568359375,0.0,3,0,0.0,True,3,1,30356
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,030,full,-5.087837219238281,0.0,5,0,0.0,True,3,0,40476
