backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,001,no_termination,-4.284210205078125,0.0003662109375,5,0,0.0,True,3,1,37801
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,002,no_termination,-7.047445297241211,-2.7004833221435547,5,0,0.0,True,4,3,40321
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,003,no_termination,-3.288808822631836,0.0,5,0,0.0,True,5,1,40483
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,004,no_termination,-7.176612854003906,-0.01666259765625,5,0,0.0,True,4,0,36340
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,005,no_termination,-10.075138092041016,0.0,5,0,0.0,True,3,0,40945
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,006,no_termination,-3.715871810913086,-0.298248291015625,5,0,0.0,True,3,1,34206
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,007,no_termination,-19.925071716308594,0.0,5,0,0.0,True,1,1,30988
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,008,no_termination,-7.490031242370605,0.9766206741333008,4,0,0.0,True,3,0,34598
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,009,no_termination,-4.276355743408203,0.0156688690185546,5,0,0.0,True,4,2,41185
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,010,no_termination,-3.3845176696777344,-0.0389022827148437,5,0,0.0,True,5,2,40267
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,011,no_termination,-4.381780624389648,0.036773681640625,4,0,0.0,True,1,0,29670
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,012,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,40783
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,013,no_termination,-2.746053695678711,0.0,5,0,0.0,True,4,1,36259
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,014,no_termination,-11.384395599365234,6.103515625e-05,5,0,0.0,True,5,1,41306
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,015,no_termination,-1.094757080078125,0.0,5,0,0.0,True,3,3,35636
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,016,no_termination,-10.361473083496094,-1.1251373291015625,5,0,0.0,True,2,1,35290
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,017,no_termination,-2.7164840698242188,-1.52587890625e-05,5,0,0.0,True,4,0,35776
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,018,no_termination,-7.854701995849609,-0.283721923828125,5,0,0.0,True,5,2,40297
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,019,no_termination,-2.152191162109375,0.1112594604492187,5,0,0.0,True,4,0,40901
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,020,no_termination,-7.707094192504883,0.0,5,0,0.0,True,4,0,37764
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,021,no_termination,-5.017307281494141,0.0,5,0,0.0,True,4,0,35697
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,022,no_termination,-3.60184097290039,0.0,5,0,0.0,True,4,0,38100
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,023,no_termination,-3.607513427734375,-0.1680564880371093,5,0,0.0,True,3,1,34771
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,024,no_termination,-5.222879409790039,-0.0149917602539062,5,0,0.0,True,4,0,36342
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,025,no_termination,-3.493175506591797,0.0,5,0,0.0,True,3,0,32330
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,026,no_termination,-7.434549331665039,0.0,5,0,0.0,True,4,0,34172
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,027,no_termination,-7.403881072998047,0.0,5,0,0.0,True,3,1,30824
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,028,no_termination,-3.95587158203125,0.099395751953125,5,0,0.0,True,5,2,39069
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,029,no_termination,-8.870079040527344,-0.9889907836914062,5,0,0.0,True,5,2,38933
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,030,no_termination,-5.087837219238281,0.0,5,0,0.0,True,3,0,37729
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,031,no_termination,-5.4748687744140625,-0.0179443359375,5,0,0.0,True,2,0,37468
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,032,no_termination,-7.1396026611328125,0.088409423828125,5,0,0.0,True,4,2,38739
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,033,no_termination,-4.546131134033203,0.0,5,0,0.0,True,4,1,39141
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,034,no_termination,-6.991722106933594,0.0,5,0,0.0,True,4,2,38082
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,035,no_termination,-6.2419586181640625,-0.004364013671875,5,0,0.0,True,4,0,42304
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,036,no_termination,-10.643351554870604,0.0,5,0,0.0,True,4,0,37541
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,037,no_termination,-5.496622085571289,0.2513504028320312,5,1,0.2,True,3,0,37908
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,038,no_termination,-3.319252014160156,0.0,5,0,0.0,True,4,1,38536
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,039,no_termination,-5.363246917724609,9.1552734375e-05,5,0,0.0,True,3,1,40249
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,040,no_termination,-9.356502532958984,0.3121337890625,5,0,0.0,True,4,1,38966
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,041,no_termination,-4.980229139328003,0.0,5,0,0.0,True,3,0,36051
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,042,no_termination,-3.283937454223633,-7.62939453125e-06,4,1,0.25,True,3,0,30827
