backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,001,one_shot,,,1,0,0.0,False,0,1,5951
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,002,one_shot,-4.346961975097656,0.0,1,0,0.0,True,1,0,7004
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,003,one_shot,-3.1458511352539062,0.142957687378,1,0,0.0,True,1,0,6237
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,004,one_shot,-6.488563537597656,0.67138671875,1,0,0.0,True,1,0,6861
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,005,one_shot,-9.262384414672852,0.812753677368,1,0,0.0,True,0,0,6451
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,006,one_shot,-3.376506805419922,0.0411167144775,1,0,0.0,True,0,0,5617
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,007,one_shot,-19.317611694335938,0.607460021973,1,0,0.0,True,0,0,6189
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,008,one_shot,-7.173670768737793,1.29298114777,1,0,0.0,True,0,0,6109
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,009,one_shot,-4.276355743408203,0.0156688690186,1,0,0.0,True,0,0,6996
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,010,one_shot,,,1,0,0.0,False,1,1,6832
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,011,one_shot,-4.418554306030273,0.0,1,0,0.0,True,0,0,5784
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,012,one_shot,-14.256022453308104,0.293518066406,1,0,0.0,True,1,0,6573
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,013,one_shot,-2.2730464935302734,0.473007202148,1,0,0.0,True,0,0,6259
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,014,one_shot,-10.13772201538086,1.24673461914,1,0,0.0,True,1,0,6526
claude,claude_sonnet46_mace_mp0_small,claude-sonnet-4-6,MACE-MP-0 small,mace,mace_mp0,small,015,one_shot,-1.094757080078125,0.0,1,0,0.0,True,0,0,6583
