backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,001,full,-4.284637451171875,0.0,5,0,0.0,True,3,1,29811
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,001,no_slip,-4.284698486328125,-6.103515625e-05,5,0,0.0,True,3,1,28493
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,001,no_forbid,-4.284576416015625,6.103515625e-05,5,0,0.0,True,2,1,29739
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,001,no_termination,-4.284576416015625,6.103515625e-05,5,0,0.0,True,3,1,28690
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,002,full,-4.346961975097656,0.0,5,0,0.0,True,3,3,31727
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,002,no_slip,-4.346961975097656,,5,0,0.0,True,5,4,28591
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,002,no_forbid,-4.346961975097656,,5,0,0.0,True,3,4,31890
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,002,no_termination,-4.346961975097656,,5,0,0.0,True,5,3,31550
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,003,full,-3.2887935638427734,0.0,5,0,0.0,True,5,0,30325
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,003,no_slip,-3.288808822631836,,5,0,0.0,True,5,0,28051
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,003,no_forbid,-3.277761459350586,,5,0,0.0,True,5,1,30364
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,003,no_termination,-3.288808822631836,,5,0,0.0,True,5,1,28678
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,004,full,-7.176612854003906,0.0,5,0,0.0,True,4,0,30061
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,004,no_slip,-7.176612854003906,,5,0,0.0,True,4,0,25209
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,004,no_forbid,-7.176612854003906,,5,0,0.0,True,4,0,28004
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,004,no_termination,-7.159950256347656,,5,0,0.0,True,5,0,26776
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,005,full,-10.075138092041016,0.0,5,0,0.0,True,3,0,27909
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,005,no_slip,-10.075138092041016,,5,0,0.0,True,2,0,26540
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,005,no_forbid,-10.075138092041016,,5,0,0.0,True,3,0,28194
