backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,001,no_termination,-4.284576416015625,6.103515625e-05,5,0,0.0,True,3,1,28690
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,002,no_termination,-4.346961975097656,,5,0,0.0,True,5,3,31550
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,003,no_termination,-3.288808822631836,,5,0,0.0,True,5,1,28678
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,004,no_termination,-7.159950256347656,,5,0,0.0,True,5,0,26776
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,005,no_termination,-10.075260162353516,,5,0,0.0,True,2,0,26634
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,006,no_termination,-3.715871810913086,0.0,5,0,0.0,True,3,1,26388
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,007,no_termination,-19.71739196777344,,5,0,0.0,True,3,2,26590
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,008,no_termination,-8.466484069824219,,5,0,0.0,True,4,0,27822
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,009,no_termination,-4.276355743408203,,5,0,0.0,True,4,2,30718
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,010,no_termination,-3.345592498779297,,5,0,0.0,True,5,2,29735
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,011,no_termination,-4.418554306030273,,5,0,0.0,True,3,1,25171
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,012,no_termination,-14.549540519714355,,5,0,0.0,True,5,0,30305
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,013,no_termination,-2.6935501098632812,0.0751171112060546,5,0,0.0,True,4,1,26945
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,014,no_termination,-11.384395599365234,6.103515625e-05,5,0,0.0,True,5,2,31758
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,015,no_termination,-1.094757080078125,,5,0,0.0,True,3,3,32786
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,016,no_termination,-10.361473083496094,,5,0,0.0,True,3,1,26915
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,017,no_termination,-2.7175064086914062,,5,0,0.0,True,4,0,28350
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,018,no_termination,-7.724544525146484,,5,0,0.0,True,5,1,32469
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,019,no_termination,-2.4863510131835938,,5,0,0.0,True,4,1,29811
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,020,no_termination,-7.707094192504883,,5,0,0.0,True,3,0,28610
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,021,no_termination,-4.938257217407227,,5,0,0.0,True,4,0,28496
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,022,no_termination,-3.6048831939697266,0.0,5,0,0.0,True,3,0,27508
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,023,no_termination,-3.607513427734375,,5,0,0.0,True,2,0,25841
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,024,no_termination,-5.222848892211914,3.0517578125e-05,5,0,0.0,True,4,0,27549
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,025,no_termination,-3.479452133178711,,5,0,0.0,True,3,0,27058
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,026,no_termination,-7.450052261352539,,5,0,0.0,True,4,0,26528
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,027,no_termination,-7.403881072998047,0.0,5,0,0.0,True,3,1,24813
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,028,no_termination,-4.029594421386719,,5,0,0.0,True,4,0,29019
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,029,no_termination,-8.870079040527344,,5,0,0.0,True,4,2,30346
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,030,no_termination,-5.087898254394531,,5,0,0.0,True,3,0,27861
gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,031,no_termination,-5.4723052978515625,,5,0,0.0,True,2,0,26102
