baseline,backend_key,backend,llm_model,force_field,calculator_backend,force_field_model,force_field_size,max_config_budget,random_ratio,case_id,config_name,ads_smiles,bulk_symbol,bulk_id,miller,shift,top,status,skip_reason,traj_count,valid_traj_count,best_total_energy,best_adsorption_energy_eV,best_config,adsorbagent_configs_tested,critic_loop_count,llm_token_count,llm_prompt_tokens,llm_completion_tokens,llm_successful_requests,llm_total_cost_usd,site_type,site_atoms,ads_bind_atoms,orient,cutoff_multiplier
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,001,001_Hf16Zn48_C_O_C,C(=O)C,Hf16Zn48,10,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-258.7230529785156,-3.8209991455078125,config_1,2,1,5043,3425,1618,5,0.0,bridge,Hf;Zn,O,tilted end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,002,002_Hf18Sc18Si36_NO,NO,Hf18Sc18Si36,16,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-548.0586547851562,-4.793024063110352,config_0,1,1,5298,3467,1831,5,0.0,bridge,Hf;Sc,N;O,tilted side-on,1.3000000000000003
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,003,003_Cd24Pd24_NO,NO,Cd24Pd24,31,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",3,3,-179.48406982421875,-2.584695816040039,config_2,3,1,3976,2885,1091,5,0.0,bridge,Pd;Cd,N,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,004,004_Pt16V48__N_O,[N]=O,Pt16V48,46,,,,skipped,no_traj_files,0,0,,,,0,1,4970,3367,1603,5,0.0,bridge,Pt;V,N;O,tilted side-on,1.3500000000000003
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,005,005_As48Hf48Ni48__NH2,[NH2],As48Hf48Ni48,70,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-1076.702392578125,-7.3218536376953125,config_0,1,1,4847,3257,1590,5,0.0,ontop,Hf,N,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,006,006_In10N10Ti30_N,N,In10N10Ti30,76,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-389.72723388671875,-3.3425979614257812,config_0,1,2,6653,5008,1645,8,0.0,hollow,Ti;Ti;Ti,N,centered multi-center upright,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,007,007_Mo18S72W18_O_N,O=N,Mo18S72W18,84,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-783.2451171875,-19.98230743408203,config_0,1,1,4634,3143,1491,5,0.0,ontop,Mo,N,end-on,1.2500000000000002
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,008,008_Ga12Pd36__NH,[NH],Ga12Pd36,87,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",2,2,-241.609130859375,-6.229106903076172,config_0,2,1,4429,3105,1324,5,0.0,ontop,Pd,N,end-on,1.1500000000000001
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,009,009_Ge24Zr40__CH_O,[CH]=O,Ge24Zr40,88,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-500.2032775878906,-4.367729187011719,config_0,1,1,4694,3210,1484,5,0.0,bridge,Zr;Zr,C;O,end-on tilted,1.2000000000000002
adsorbagent,gpt,gpt54_mace_mp0_small,gpt-5.4-2026-03-05,MACE-MP-0 small,mace,mace_mp0,small,5,0.2,010,010_Ag18Sr27__N_N,[N]=N,Ag18Sr27,94,,,,success,"{""desorbed"": 0, ""dissociated"": 0, ""read_error"": 0, ""surface_changed"": 0}",1,1,-118.1353988647461,-3.3949413299560547,config_0,1,1,4394,3093,1301,5,0.0,bridge,Sr;Ag,N;N,side-on,1.1500000000000001
