case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.284576416015625,0.0,5,0,0.0,True,3,1,40589
002,full,-4.346961975097656,0.0,5,0,0.0,True,5,4,42792
003,full,-3.288808822631836,0.0,5,0,0.0,True,5,1,41817
004,full,-7.159950256347656,0.0,4,0,0.0,True,4,0,36320
005,full,-10.075138092041016,0.0,5,0,0.0,True,3,0,40898
006,full,-3.417623519897461,0.0,5,0,0.0,True,4,1,36111
007,full,-19.925071716308594,0.0,5,1,0.2,True,0,0,35042
008,full,-8.466651916503906,0.0,5,0,0.0,True,4,0,39289
009,full,-4.292024612426758,0.0,4,0,0.0,True,4,0,47783
010,full,-3.34561538696289,0.0,5,0,0.0,True,5,2,41549
011,full,-4.418554306030273,0.0,5,0,0.0,True,1,0,34943
012,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,40545
013,full,-2.746053695678711,0.0,3,0,0.0,True,2,0,27818
014,full,-11.384456634521484,0.0,5,0,0.0,True,5,1,43664
015,full,-1.094757080078125,0.0,5,0,0.0,True,2,2,38117
016,full,-9.236335754394531,0.0,5,0,0.0,True,3,1,36194
017,full,-2.716468811035156,0.0,5,0,0.0,True,4,0,38443
018,full,-7.570980072021484,0.0,5,0,0.0,True,5,2,41463
019,full,-2.2634506225585938,0.0,5,0,0.0,True,3,0,42511
020,full,-7.707094192504883,0.0,3,0,0.0,True,2,0,29176
021,full,-5.017307281494141,0.0,5,0,0.0,True,3,0,38071
022,full,-3.60184097290039,0.0,5,0,0.0,True,4,0,39213
023,full,-3.4394569396972656,0.0,5,0,0.0,True,2,0,37883
024,full,-5.207887649536133,0.0,5,0,0.0,True,5,0,37773
025,full,-3.493175506591797,0.0,4,0,0.0,True,2,0,34167
026,full,-7.434549331665039,0.0,5,0,0.0,True,4,0,36048
027,full,-7.403881072998047,0.0,3,0,0.0,True,1,0,26293
028,full,-4.055267333984375,0.0,5,0,0.0,True,5,2,42495
029,full,-7.8810882568359375,0.0,3,0,0.0,True,3,1,30356
030,full,-5.087837219238281,0.0,5,0,0.0,True,3,0,40476
031,full,-5.4569244384765625,0.0,5,0,0.0,True,3,0,39136
032,full,-7.2280120849609375,0.0,5,0,0.0,True,4,1,38572
033,full,-4.546131134033203,0.0,3,0,0.0,True,2,1,30618
034,full,-6.991722106933594,0.0,5,0,0.0,True,3,3,41468
035,full,-6.2375946044921875,0.0,5,0,0.0,True,4,0,42401
036,full,-10.643351554870604,0.0,5,0,0.0,True,4,0,38593
037,full,-5.74797248840332,0.0,5,0,0.0,True,4,0,41562
038,full,-3.319252014160156,0.0,5,0,0.0,True,4,1,38568
039,full,-5.363338470458984,0.0,5,0,0.0,True,4,1,41535
040,full,-9.668636322021484,0.0,5,0,0.0,True,4,0,40912
041,full,-4.980229139328003,0.0,5,0,0.0,True,2,0,37991
042,full,-3.2839298248291016,0.0,2,0,0.0,True,2,0,19949
043,full,-7.268787384033203,0.0,3,0,0.0,True,3,1,31363
044,full,-3.2235107421875,0.0,5,0,0.0,True,3,1,40258
045,full,-1.351470947265625,0.0,5,1,0.2,True,4,3,42005
046,full,-4.241325378417969,0.0,4,0,0.0,True,2,0,36524
047,full,-2.113170623779297,0.0,5,0,0.0,True,2,0,33089
048,full,-11.654596328735352,0.0,4,0,0.0,True,4,0,39370
049,full,-8.627952575683594,0.0,5,0,0.0,True,5,0,38519
050,full,-3.5041396617889404,0.0,5,0,0.0,True,4,0,38147
051,full,-3.1345107555389404,0.0,5,0,0.0,True,4,0,38890
052,full,-0.1671810150146484,0.0,5,0,0.0,True,0,1,33825
053,full,-3.145526885986328,0.0,4,2,0.5,True,2,1,34112
054,full,-11.695304870605469,0.0,5,0,0.0,True,3,0,37664
055,full,-2.739093780517578,0.0,5,0,0.0,True,5,2,41220
056,full,-12.998695373535156,0.0,5,0,0.0,True,3,0,35682
057,full,-10.486995697021484,0.0,5,0,0.0,True,4,1,34868
058,full,-2.9037342071533203,0.0,5,0,0.0,True,4,0,38961
059,full,-2.848228454589844,0.0,5,0,0.0,True,3,0,37474
060,full,-8.329967498779297,0.0,5,0,0.0,True,3,0,34671
061,full,-10.732337951660156,0.0,5,0,0.0,True,1,0,35073
062,full,-7.339601516723633,0.0,5,0,0.0,True,5,0,38640
