case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_forbid,-4.284393310546875,0.00018310546875,5,0,0.0,True,3,1,38472
002,no_forbid,-4.346961975097656,0.0,5,0,0.0,True,4,4,40013
003,no_forbid,-3.288808822631836,0.0,5,0,0.0,True,5,0,38820
004,no_forbid,-7.176612854003906,-0.01666259765625,5,0,0.0,True,4,0,36082
005,no_forbid,-10.075138092041016,0.0,5,0,0.0,True,3,0,38758
006,no_forbid,-3.715871810913086,-0.298248291015625,4,0,0.0,True,2,0,34091
007,no_forbid,-19.950759887695312,-0.0256881713867187,5,0,0.0,True,2,0,32990
008,no_forbid,-7.490046501159668,0.9766054153442384,5,0,0.0,True,4,0,36671
009,no_forbid,-4.292024612426758,0.0,5,0,0.0,True,4,1,41072
010,no_forbid,-3.3845252990722656,-0.038909912109375,5,0,0.0,True,5,2,39920
011,no_forbid,-4.418554306030273,0.0,5,0,0.0,True,0,0,33259
012,no_forbid,-14.549540519714355,0.0,5,0,0.0,True,5,0,39697
013,no_forbid,-2.746053695678711,0.0,5,0,0.0,True,4,1,34877
014,no_forbid,-11.384395599365234,6.103515625e-05,5,0,0.0,True,5,1,40137
015,no_forbid,-1.094757080078125,0.0,5,0,0.0,True,2,2,40915
016,no_forbid,-9.077659606933594,0.1586761474609375,4,0,0.0,True,3,1,34983
017,no_forbid,-2.7175216674804688,-0.0010528564453125,5,0,0.0,True,4,0,36276
018,no_forbid,-7.854701995849609,-0.283721923828125,5,0,0.0,True,5,1,40786
019,no_forbid,-2.2752609252929688,-0.011810302734375,5,0,0.0,True,3,0,42911
020,no_forbid,-7.707094192504883,0.0,5,0,0.0,True,3,0,38006
021,no_forbid,-4.933322906494141,0.083984375,5,0,0.0,True,4,0,36918
022,no_forbid,-3.60184097290039,0.0,5,0,0.0,True,4,0,38263
023,no_forbid,-3.607452392578125,-0.1679954528808593,5,0,0.0,True,1,0,34639
024,no_forbid,-5.207887649536133,0.0,4,0,0.0,True,4,0,36275
025,no_forbid,-3.493633270263672,-0.000457763671875,5,0,0.0,True,3,0,32709
026,no_forbid,-7.450052261352539,-0.0155029296875,4,0,0.0,True,3,0,35022
027,no_forbid,-7.403881072998047,0.0,5,0,0.0,True,3,1,32783
028,no_forbid,-4.055267333984375,0.0,5,0,0.0,True,5,2,41870
029,no_forbid,-8.408592224121094,-0.5275039672851562,5,0,0.0,True,5,4,40593
030,no_forbid,-5.085487365722656,0.002349853515625,5,0,0.0,True,3,0,34724
031,no_forbid,-5.45648193359375,0.0004425048828125,5,0,0.0,True,3,0,36913
032,no_forbid,-7.2280120849609375,0.0,5,0,0.0,True,5,1,39290
033,no_forbid,-4.444711685180664,0.101419448852539,5,0,0.0,True,5,1,37428
034,no_forbid,-6.991722106933594,0.0,5,0,0.0,True,4,2,38622
035,no_forbid,-6.2419891357421875,-0.00439453125,5,0,0.0,True,4,0,39868
036,no_forbid,-10.643351554870604,0.0,5,0,0.0,True,4,0,37630
037,no_forbid,-5.74797248840332,0.0,5,0,0.0,True,4,1,40638
038,no_forbid,-3.385902404785156,-0.066650390625,5,0,0.0,True,4,1,38719
039,no_forbid,-5.363430023193359,-9.1552734375e-05,5,0,0.0,True,4,1,39535
040,no_forbid,-9.559200286865234,0.10943603515625,5,0,0.0,True,4,1,38314
041,no_forbid,-4.743168592453003,0.237060546875,3,0,0.0,True,2,0,27797
042,no_forbid,-3.283937454223633,-7.62939453125e-06,2,0,0.0,True,2,0,18818
043,no_forbid,-7.811891555786133,-0.5431041717529297,5,0,0.0,True,5,1,40548
044,no_forbid,-3.056640625,0.1668701171875,5,0,0.0,True,2,1,36497
045,no_forbid,-1.351470947265625,0.0,5,1,0.2,True,4,3,40605
046,no_forbid,-4.417289733886719,-0.17596435546875,5,0,0.0,True,3,0,36300
047,no_forbid,-2.149435043334961,-0.036264419555664,5,0,0.0,True,2,0,31502
048,no_forbid,-11.654718399047852,-0.0001220703125,4,0,0.0,True,4,0,39228
049,no_forbid,-8.628105163574219,-0.000152587890625,5,0,0.0,True,5,0,39029
050,no_forbid,-3.3380630016326904,0.16607666015625,3,0,0.0,True,3,0,28544
051,no_forbid,-3.134526014328003,-1.52587890625e-05,4,0,0.0,True,3,0,39679
052,no_forbid,-0.1671810150146484,0.0,5,0,0.0,True,0,1,32509
053,no_forbid,,,4,3,0.75,False,1,1,23679
054,no_forbid,-11.695274353027344,3.0517578125e-05,5,0,0.0,True,3,0,35107
055,no_forbid,-2.739093780517578,0.0,5,0,0.0,True,4,3,37503
056,no_forbid,-12.998695373535156,0.0,5,0,0.0,True,3,0,34987
057,no_forbid,-10.486995697021484,0.0,5,0,0.0,True,4,1,32765
058,no_forbid,-2.903726577758789,7.62939453125e-06,4,0,0.0,True,4,0,36597
059,no_forbid,-2.848228454589844,0.0,5,0,0.0,True,3,0,37530
060,no_forbid,-8.329967498779297,0.0,5,0,0.0,True,3,0,32847
061,no_forbid,-10.710975646972656,0.0213623046875,5,0,0.0,True,1,0,31642
062,no_forbid,-7.334962844848633,0.004638671875,5,0,0.0,True,5,1,38873
