case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,no_slip,-4.284423828125,0.000152587890625,5,0,0.0,True,3,1,35476
002,no_slip,-4.346961975097656,0.0,5,0,0.0,True,5,4,35067
003,no_slip,-3.41019058227539,-0.1213817596435546,5,0,0.0,True,5,0,34753
004,no_slip,-7.176612854003906,-0.01666259765625,5,0,0.0,True,4,0,32679
005,no_slip,-9.978092193603516,0.0970458984375,3,0,0.0,True,1,0,25565
006,no_slip,-3.715871810913086,-0.298248291015625,5,0,0.0,True,3,0,32427
007,no_slip,-19.925071716308594,0.0,5,1,0.2,True,1,0,31852
008,no_slip,-8.466606140136719,4.57763671875e-05,5,0,0.0,True,4,0,34286
009,no_slip,-5.213466644287109,-0.9214420318603516,5,0,0.0,True,5,1,36271
010,no_slip,-2.759845733642578,0.5857696533203125,4,0,0.0,True,4,2,37000
011,no_slip,-4.418554306030273,0.0,5,0,0.0,True,0,0,34385
012,no_slip,-14.256022453308104,0.29351806640625,1,0,0.0,True,1,0,3092
013,no_slip,-2.6935501098632812,0.0525035858154296,5,0,0.0,True,4,2,33791
014,no_slip,-11.384395599365234,6.103515625e-05,5,0,0.0,True,5,0,36973
015,no_slip,-1.094757080078125,0.0,5,0,0.0,True,2,2,34379
016,no_slip,-10.361473083496094,-1.1251373291015625,5,0,0.0,True,3,1,31099
017,no_slip,-2.7164840698242188,-1.52587890625e-05,1,0,0.0,True,1,0,3091
018,no_slip,-7.854701995849609,-0.283721923828125,5,0,0.0,True,5,1,36769
019,no_slip,-2.152191162109375,0.1112594604492187,5,0,0.0,True,4,0,37289
020,no_slip,-7.777910232543945,-0.0708160400390625,5,0,0.0,True,3,0,39799
021,no_slip,-4.700778961181641,0.3165283203125,1,0,0.0,True,1,0,6093
022,no_slip,-3.60184097290039,0.0,5,0,0.0,True,4,0,34254
023,no_slip,-3.607513427734375,-0.1680564880371093,5,0,0.0,True,2,0,33246
024,no_slip,-5.222894668579102,-0.0150070190429687,5,0,0.0,True,4,0,33922
025,no_slip,-3.493175506591797,0.0,1,0,0.0,True,0,0,5828
026,no_slip,-7.434549331665039,0.0,5,0,0.0,True,4,0,34148
027,no_slip,-7.403881072998047,0.0,5,0,0.0,True,3,1,29672
028,no_slip,-4.055267333984375,0.0,5,0,0.0,True,5,1,35069
029,no_slip,-8.408592224121094,-0.5275039672851562,5,0,0.0,True,4,2,36689
030,no_slip,-5.087837219238281,0.0,5,0,0.0,True,4,0,34070
031,no_slip,-5.4748687744140625,-0.0179443359375,5,0,0.0,True,3,0,34866
032,no_slip,-7.2280120849609375,0.0,5,0,0.0,True,4,0,33729
033,no_slip,-4.546131134033203,0.0,5,0,0.0,True,4,1,33466
034,no_slip,-6.991722106933594,0.0,5,0,0.0,True,4,4,36090
035,no_slip,-6.2332916259765625,0.004302978515625,5,0,0.0,True,4,0,36675
036,no_slip,-10.643351554870604,0.0,5,0,0.0,True,4,0,33901
037,no_slip,-5.74797248840332,0.0,5,0,0.0,True,4,0,35419
038,no_slip,-3.3852310180664062,-0.06597900390625,5,0,0.0,True,5,1,32398
039,no_slip,-5.363460540771484,-0.0001220703125,5,0,0.0,True,3,1,37088
040,no_slip,-9.671260833740234,-0.00262451171875,5,0,0.0,True,4,1,37601
041,no_slip,-4.743168592453003,0.237060546875,3,0,0.0,True,2,0,24387
042,no_slip,-3.283937454223633,-7.62939453125e-06,2,0,0.0,True,2,0,17553
043,no_slip,-7.811891555786133,-0.5431041717529297,5,0,0.0,True,5,1,37359
044,no_slip,-3.05670166015625,0.16680908203125,5,0,0.0,True,2,0,34059
045,no_slip,-1.570451736450195,-0.2189807891845703,5,0,0.0,True,2,1,36217
046,no_slip,-4.105583190917969,0.1357421875,5,0,0.0,True,2,0,32961
047,no_slip,-2.113170623779297,0.0,5,0,0.0,True,2,0,30623
048,no_slip,-6.983524322509766,4.671072006225586,2,0,0.0,True,2,0,12497
049,no_slip,-8.628105163574219,-0.000152587890625,4,0,0.0,True,4,0,30864
050,no_slip,-3.3380630016326904,0.16607666015625,4,0,0.0,True,3,0,29811
051,no_slip,-3.1345107555389404,0.0,5,0,0.0,True,4,0,34818
052,no_slip,-0.1586074829101562,0.0085735321044921,5,0,0.0,True,0,1,33499
053,no_slip,-3.1455345153808594,-7.62939453125e-06,3,1,0.3333333333333333,True,2,1,39314
054,no_slip,-11.695304870605469,0.0,5,0,0.0,True,3,0,33125
055,no_slip,-2.739093780517578,0.0,5,0,0.0,True,5,1,35451
056,no_slip,-12.998695373535156,0.0,5,0,0.0,True,3,0,33206
057,no_slip,-10.486995697021484,0.0,5,0,0.0,True,4,1,31330
058,no_slip,-2.9037342071533203,0.0,5,0,0.0,True,4,0,32168
059,no_slip,-2.8234786987304688,0.024749755859375,5,0,0.0,True,5,1,33418
060,no_slip,-8.329967498779297,0.0,5,0,0.0,True,4,0,32071
061,no_slip,-10.713722229003906,0.01861572265625,4,0,0.0,True,1,0,31100
062,no_slip,-7.339601516723633,0.0,5,0,0.0,True,5,2,34835
