backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,001,full,-3.56817626953125,0.0,5,0,0.0,True,4,3,29899
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,001,no_slip,-4.162750244140625,-0.594573974609375,5,0,0.0,True,3,2,25870
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,001,no_forbid,-3.356536865234375,0.211639404296875,5,0,0.0,True,3,3,29924
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,001,no_termination,-3.356536865234375,0.211639404296875,5,0,0.0,True,4,4,28065
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,002,full,-4.346961975097656,0.0,5,0,0.0,True,5,4,29749
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,002,no_slip,-4.346961975097656,0.0,5,0,0.0,True,5,4,27697
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,002,no_forbid,-4.346961975097656,0.0,5,0,0.0,True,5,4,45067
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,002,no_termination,-4.346961975097656,0.0,5,0,0.0,True,5,3,45378
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,003,full,-3.288808822631836,0.0,5,0,0.0,True,5,0,30269
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,003,no_slip,-3.260292053222656,0.0285167694091796,5,0,0.0,True,5,0,26570
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,003,no_forbid,-3.1459274291992188,0.1428813934326172,1,0,0.0,True,1,0,2743
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,003,no_termination,-3.260292053222656,0.0285167694091796,5,0,0.0,True,5,1,45909
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,004,full,-7.176612854003906,0.0,5,0,0.0,True,4,0,27102
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,004,no_slip,-7.176612854003906,0.0,5,0,0.0,True,4,0,26761
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,004,no_forbid,-7.176612854003906,0.0,5,0,0.0,True,4,0,42167
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,004,no_termination,-7.176612854003906,0.0,5,0,0.0,True,4,0,40605
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,005,full,-10.075260162353516,0.0,5,0,0.0,True,2,0,27726
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,005,no_slip,-10.066949844360352,0.008310317993164,5,0,0.0,True,3,0,26776
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,005,no_forbid,-10.076349258422852,-0.0010890960693359,5,0,0.0,True,3,0,27914
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,005,no_termination,-10.075260162353516,0.0,5,0,0.0,True,3,0,43662
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,006,full,-3.715871810913086,0.0,5,0,0.0,True,3,0,27130
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,006,no_slip,-3.715871810913086,0.0,5,0,0.0,True,3,1,26586
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,006,no_forbid,-3.715871810913086,0.0,5,0,0.0,True,3,1,28633
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,006,no_termination,-3.715871810913086,0.0,5,0,0.0,True,3,0,27053
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,007,full,-19.78919982910156,0.0,5,0,0.0,True,2,0,28071
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,007,no_slip,-19.925071716308594,-0.1358718872070312,5,0,0.0,True,1,0,25468
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,007,no_forbid,-19.718246459960938,0.070953369140625,5,1,0.2,True,1,0,38989
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,007,no_termination,-19.925071716308594,-0.1358718872070312,5,0,0.0,True,1,1,38742
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,008,full,-8.466377258300781,0.0,5,0,0.0,True,4,0,29102
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,008,no_slip,-8.466667175292969,-0.0002899169921875,5,0,0.0,True,4,0,26755
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,008,no_forbid,-8.466743469238281,-0.0003662109375,5,0,0.0,True,4,0,40667
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,008,no_termination,-8.466667175292969,-0.0002899169921875,5,0,0.0,True,4,0,40664
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,009,full,-4.292024612426758,0.0,5,0,0.0,True,5,0,29691
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,009,no_slip,-4.578418731689453,-0.2863941192626953,5,0,0.0,True,5,0,30650
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,009,no_forbid,-4.578388214111328,-0.2863636016845703,5,0,0.0,True,5,0,56195
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,009,no_termination,-4.578418731689453,-0.2863941192626953,5,0,0.0,True,4,1,47981
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,010,full,-3.3845176696777344,0.0,5,0,0.0,True,5,2,31739
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,010,no_slip,-3.3845252990722656,-7.62939453125e-06,5,0,0.0,True,5,2,28834
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,010,no_forbid,-3.3845252990722656,-7.62939453125e-06,5,0,0.0,True,5,2,31702
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,010,no_termination,-3.3845176696777344,0.0,5,0,0.0,True,5,2,47255
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,011,full,-4.418584823608398,0.0,5,0,0.0,True,0,0,25168
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,011,no_slip,-4.418554306030273,3.0517578125e-05,5,0,0.0,True,0,0,25295
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,011,no_forbid,-4.381780624389648,0.03680419921875,5,0,0.0,True,0,0,41132
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,011,no_termination,-4.418554306030273,3.0517578125e-05,5,0,0.0,True,0,0,38522
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,012,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,31074
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,012,no_slip,-14.256022453308104,0.29351806640625,5,0,0.0,True,5,0,28709
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,012,no_forbid,-13.564433097839355,0.985107421875,1,0,0.0,True,1,0,2911
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,012,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,44833
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,013,full,-2.746053695678711,0.0,5,0,0.0,True,4,0,28713
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,013,no_slip,-2.6935501098632812,0.0525035858154296,5,0,0.0,True,3,1,26136
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,013,no_forbid,-2.746053695678711,0.0,5,0,0.0,True,4,0,26322
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,013,no_termination,-2.746053695678711,0.0,5,0,0.0,True,4,0,25784
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,014,full,-10.13772201538086,0.0,5,0,0.0,True,5,1,30315
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,014,no_slip,-10.13772201538086,0.0,5,0,0.0,True,5,1,27605
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,014,no_forbid,-10.13772201538086,0.0,5,0,0.0,True,5,1,30423
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,014,no_termination,-10.13772201538086,0.0,5,0,0.0,True,5,1,31319
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,015,full,-1.094757080078125,0.0,5,3,0.6,True,1,1,36320
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,015,no_slip,-1.094757080078125,0.0,5,2,0.4,True,2,2,29932
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,015,no_forbid,-1.094757080078125,0.0,5,3,0.6,True,1,1,44674
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,015,no_termination,-1.094757080078125,0.0,5,0,0.0,True,3,3,46568
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,016,full,-10.361473083496094,0.0,5,0,0.0,True,2,1,27513
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,016,no_slip,-10.363121032714844,-0.00164794921875,5,0,0.0,True,2,1,26738
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,016,no_forbid,-10.361473083496094,0.0,5,0,0.0,True,3,1,43806
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,016,no_termination,-10.361473083496094,0.0,5,0,0.0,True,3,1,39505
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,017,full,-2.7165756225585938,0.0,5,0,0.0,True,4,0,28876
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,017,no_slip,-2.7164840698242188,9.1552734375e-05,5,0,0.0,True,4,0,26785
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,017,no_forbid,-2.7164840698242188,9.1552734375e-05,5,0,0.0,True,5,0,44288
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,017,no_termination,-2.7164993286132812,7.62939453125e-05,5,0,0.0,True,5,0,41462
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,018,full,-7.717494964599609,0.0,5,0,0.0,True,5,2,35146
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,018,no_slip,-7.724544525146484,-0.007049560546875,5,0,0.0,True,5,3,31522
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,018,no_forbid,-7.570980072021484,0.146514892578125,5,0,0.0,True,5,2,33695
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,018,no_termination,-8.044795989990234,-0.327301025390625,5,0,0.0,True,4,1,54138
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,019,full,-2.21280288696289,0.0,4,0,0.0,True,3,0,30788
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,019,no_slip,-2.21280288696289,0.0,5,0,0.0,True,4,0,28718
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,019,no_forbid,-2.21280288696289,0.0,5,0,0.0,True,4,1,45206
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,019,no_termination,-1.85589599609375,0.3569068908691406,5,0,0.0,True,4,2,48573
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,020,full,-7.707094192504883,0.0,5,0,0.0,True,3,0,30902
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,020,no_slip,-7.707094192504883,0.0,5,0,0.0,True,3,0,26587
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,020,no_forbid,-7.707033157348633,6.103515625e-05,5,0,0.0,True,3,0,42830
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,020,no_termination,-7.707033157348633,6.103515625e-05,5,0,0.0,True,3,0,43726
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,021,full,-4.950687408447266,0.0,5,0,0.0,True,5,0,29369
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,021,no_slip,-4.933353424072266,0.017333984375,5,0,0.0,True,4,0,26791
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,021,no_forbid,-4.950687408447266,0.0,5,0,0.0,True,5,0,30079
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,021,no_termination,-4.950687408447266,0.0,5,0,0.0,True,5,0,41866
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,022,full,-3.6048831939697266,0.0,5,0,0.0,True,4,0,28085
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,022,no_slip,-3.6048831939697266,0.0,5,0,0.0,True,4,0,27583
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,022,no_forbid,-3.5104713439941406,0.0944118499755859,5,0,0.0,True,4,0,27949
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,022,no_termination,-3.60184097290039,0.0030422210693359,5,0,0.0,True,4,0,27708
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,023,full,-3.43936538696289,0.0,5,0,0.0,True,2,2,26151
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,023,no_slip,-3.439350128173828,1.52587890625e-05,5,0,0.0,True,1,1,29166
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,023,no_forbid,-3.439350128173828,1.52587890625e-05,5,0,0.0,True,1,0,44635
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,023,no_termination,-3.439350128173828,1.52587890625e-05,5,0,0.0,True,3,0,47168
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,024,full,-5.222894668579102,0.0,5,0,0.0,True,4,0,29442
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,024,no_slip,-5.222894668579102,0.0,5,0,0.0,True,4,0,26558
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,024,no_forbid,-5.222879409790039,1.52587890625e-05,5,0,0.0,True,4,0,26631
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,024,no_termination,-5.222879409790039,1.52587890625e-05,5,0,0.0,True,4,0,27092
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,025,full,-3.493175506591797,0.0,5,0,0.0,True,3,0,26689
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,025,no_slip,-3.549367904663086,-0.056192398071289,5,0,0.0,True,3,0,25394
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,025,no_forbid,-3.549367904663086,-0.056192398071289,5,0,0.0,True,3,0,39998
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,025,no_termination,-3.549367904663086,-0.056192398071289,5,0,0.0,True,4,0,41559
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,026,full,-7.450052261352539,0.0,4,0,0.0,True,3,0,27530
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,026,no_slip,-7.434549331665039,0.0155029296875,5,0,0.0,True,4,0,25861
gemini,google_vertexai_gemini25pro_mace_mp0_small,gemini-2.5-pro,Google Vertex AI,MACE-MP-0 small,mace,mace_mp0,small,026,no_forbid,-7.38249397277832,0.0675582885742187,3,0,0.0,True,2,0,29116
