case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.284637451171875,0.0,5,0,0.0,True,3,1,29811
002,full,-4.346961975097656,0.0,5,0,0.0,True,3,3,31727
003,full,-3.2887935638427734,0.0,5,0,0.0,True,5,0,30325
004,full,-7.176612854003906,0.0,5,0,0.0,True,4,0,30061
005,full,-10.075138092041016,0.0,5,0,0.0,True,3,0,27909
006,full,-3.715871810913086,0.0,5,0,0.0,True,3,1,27419
007,full,-19.71690368652344,0.0,5,0,0.0,True,3,2,28725
008,full,-7.4804487228393555,0.0,3,0,0.0,True,2,0,22117
009,full,-4.292024612426758,0.0,3,0,0.0,True,2,1,23916
010,full,-3.3845252990722656,0.0,5,0,0.0,True,5,2,35336
011,full,-4.418554306030273,0.0,2,0,0.0,True,0,0,14986
012,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,31375
013,full,-2.768667221069336,0.0,5,0,0.0,True,3,1,28609
014,full,-11.384456634521484,0.0,5,0,0.0,True,5,1,32637
015,full,-1.094757080078125,0.0,4,0,0.0,True,2,2,29572
016,full,-10.361473083496094,0.0,5,0,0.0,True,3,1,28689
017,full,-2.7164840698242188,0.0,5,0,0.0,True,4,0,29892
018,full,-7.854701995849609,0.0,5,0,0.0,True,4,1,31986
019,full,-2.4862289428710938,0.0,5,0,0.0,True,4,1,30686
020,full,-7.707094192504883,0.0,3,0,0.0,True,2,0,23262
021,full,-4.700778961181641,0.0,5,0,0.0,True,5,0,30309
022,full,-3.6048831939697266,0.0,5,0,0.0,True,3,0,28204
023,full,-3.607467651367187,0.0,5,0,0.0,True,2,0,28028
024,full,-5.222879409790039,0.0,5,0,0.0,True,4,0,28237
025,full,-3.493144989013672,0.0,5,0,0.0,True,3,0,26314
026,full,-7.434549331665039,0.0,5,0,0.0,True,4,0,28364
027,full,-7.403881072998047,0.0,5,0,0.0,True,3,1,26076
028,full,-4.019645690917969,0.0,5,0,0.0,True,4,0,30199
029,full,-7.967422485351563,0.0,5,0,0.0,True,4,2,31721
030,full,-5.068367004394531,0.0,4,0,0.0,True,3,0,30096
031,full,-5.4748687744140625,0.0,5,0,0.0,True,3,0,27962
032,full,-7.2280120849609375,0.0,5,0,0.0,True,4,1,29931
033,full,-4.546131134033203,0.0,5,0,0.0,True,4,0,29522
034,full,-6.991722106933594,0.0,5,0,0.0,True,4,3,30227
035,full,-6.176261901855469,0.0,3,0,0.0,True,2,0,23069
036,full,-10.643351554870604,0.0,4,0,0.0,True,3,0,29407
037,full,-5.455301284790039,0.0,5,1,0.2,True,4,1,31421
038,full,-3.319252014160156,0.0,4,0,0.0,True,3,1,29604
039,full,-5.362604141235352,0.0,5,0,0.0,True,4,2,30670
040,full,-9.668575286865234,0.0,5,0,0.0,True,4,0,31903
041,full,-4.743168592453003,0.0,3,0,0.0,True,2,0,21445
042,full,-3.283937454223633,0.0,2,0,0.0,True,2,0,15249
043,full,-7.268848419189453,0.0,2,0,0.0,True,2,0,16794
044,full,-3.056640625,0.0,5,0,0.0,True,2,1,30799
045,full,-1.5510482788085938,0.0,4,1,0.25,True,1,0,28728
046,full,-4.417228698730469,0.0,5,0,0.0,True,3,0,30157
047,full,-2.113170623779297,0.0,5,0,0.0,True,3,0,28101
048,full,-11.658075332641602,0.0,4,0,0.0,True,4,0,31189
049,full,-8.249351501464844,0.0,5,0,0.0,True,5,0,30039
050,full,-3.5041396617889404,0.0,5,0,0.0,True,4,0,29573
051,full,-3.134526014328003,0.0,4,0,0.0,True,3,0,29210
052,full,-0.1671810150146484,0.0,5,0,0.0,True,1,2,26675
053,full,,,1,0,0.0,False,1,1,10139
054,full,-11.695274353027344,0.0,5,0,0.0,True,3,0,27127
055,full,-2.721467971801758,0.0,3,0,0.0,True,3,1,23490
056,full,-12.99872589111328,0.0,5,0,0.0,True,3,0,27991
057,full,-10.486995697021484,0.0,4,0,0.0,True,3,0,27226
058,full,-2.903726577758789,0.0,4,0,0.0,True,3,0,27303
059,full,-2.848228454589844,0.0,5,0,0.0,True,3,0,27603
060,full,-8.329936981201172,0.0,5,0,0.0,True,3,0,27257
061,full,-10.713539123535156,0.0,4,0,0.0,True,1,0,26388
062,full,-7.339723587036133,0.0,5,0,0.0,True,5,2,31057
