backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,001,no_slip,-4.162750244140625,-0.594573974609375,5,0,0.0,True,3,2,25870
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,002,no_slip,-4.346961975097656,0.0,5,0,0.0,True,5,4,27697
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,003,no_slip,-3.260292053222656,0.0285167694091796,5,0,0.0,True,5,0,26570
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,004,no_slip,-7.176612854003906,0.0,5,0,0.0,True,4,0,26761
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,005,no_slip,-10.066949844360352,0.008310317993164,5,0,0.0,True,3,0,26776
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,006,no_slip,-3.715871810913086,0.0,5,0,0.0,True,3,1,26586
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,007,no_slip,-19.925071716308594,-0.1358718872070312,5,0,0.0,True,1,0,25468
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,008,no_slip,-8.466667175292969,-0.0002899169921875,5,0,0.0,True,4,0,26755
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,009,no_slip,-4.578418731689453,-0.2863941192626953,5,0,0.0,True,5,0,30650
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,010,no_slip,-3.3845252990722656,-7.62939453125e-06,5,0,0.0,True,5,2,28834
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,011,no_slip,-4.418554306030273,3.0517578125e-05,5,0,0.0,True,0,0,25295
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,012,no_slip,-14.256022453308104,0.29351806640625,5,0,0.0,True,5,0,28709
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,013,no_slip,-2.6935501098632812,0.0525035858154296,5,0,0.0,True,3,1,26136
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,014,no_slip,-10.13772201538086,0.0,5,0,0.0,True,5,1,27605
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,015,no_slip,-1.094757080078125,0.0,5,2,0.4,True,2,2,29932
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,016,no_slip,-10.363121032714844,-0.00164794921875,5,0,0.0,True,2,1,26738
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,017,no_slip,-2.7164840698242188,9.1552734375e-05,5,0,0.0,True,4,0,26785
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,018,no_slip,-7.724544525146484,-0.007049560546875,5,0,0.0,True,5,3,31522
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,019,no_slip,-2.21280288696289,0.0,5,0,0.0,True,4,0,28718
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,020,no_slip,-7.707094192504883,0.0,5,0,0.0,True,3,0,26587
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,021,no_slip,-4.933353424072266,0.017333984375,5,0,0.0,True,4,0,26791
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,022,no_slip,-3.6048831939697266,0.0,5,0,0.0,True,4,0,27583
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,023,no_slip,-3.439350128173828,1.52587890625e-05,5,0,0.0,True,1,1,29166
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,024,no_slip,-5.222894668579102,0.0,5,0,0.0,True,4,0,26558
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,025,no_slip,-3.549367904663086,-0.056192398071289,5,0,0.0,True,3,0,25394
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,026,no_slip,-7.434549331665039,0.0155029296875,5,0,0.0,True,4,0,25861
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,027,no_slip,-7.403942108154297,-6.103515625e-05,5,0,0.0,True,3,1,24661
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,028,no_slip,-4.074314117431641,-0.1184425354003906,5,0,0.0,True,5,2,27259
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,029,no_slip,-7.8788909912109375,0.088531494140625,5,0,0.0,True,5,3,26903
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,030,no_slip,-5.087898254394531,-6.103515625e-05,5,0,0.0,True,3,0,24980
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,031,no_slip,-4.651206970214844,0.7999191284179688,5,0,0.0,True,4,0,26823
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,032,no_slip,-7.1137542724609375,0.1142578125,5,0,0.0,True,4,2,26802
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,033,no_slip,-4.444711685180664,0.1014347076416015,5,0,0.0,True,5,1,26105
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,034,no_slip,-7.120536804199219,-0.128814697265625,5,0,0.0,True,4,2,27889
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,035,no_slip,-6.1764984130859375,-0.0002365112304687,5,0,0.0,True,5,0,27414
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,036,no_slip,-10.643351554870604,-0.03643798828125,5,0,0.0,True,5,0,27183
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,037,no_slip,-5.74797248840332,0.0,5,0,0.0,True,4,1,28554
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,038,no_slip,-3.3857192993164062,-0.00048828125,5,0,0.0,True,4,1,25651
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,039,no_slip,-5.363460540771484,0.0,5,0,0.0,True,4,2,27147
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,040,no_slip,-9.671321868896484,-0.000732421875,5,0,0.0,True,5,1,28678
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,041,no_slip,-4.743168592453003,0.237060546875,4,0,0.0,True,2,0,24347
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,042,no_slip,-3.2839298248291016,7.62939453125e-06,5,2,0.4,True,3,0,25160
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,043,no_slip,-7.790651321411133,0.021240234375,5,0,0.0,True,5,1,29049
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,044,no_slip,-2.7374267578125,0.27703857421875,5,0,0.0,True,4,1,28159
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,045,no_slip,-1.570451736450195,-0.1558666229248047,5,1,0.2,True,3,2,27706
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,046,no_slip,-4.241477966308594,1.52587890625e-05,5,0,0.0,True,2,0,27117
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,047,no_slip,-2.149404525756836,-0.036233901977539,5,0,0.0,True,3,0,24740
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,048,no_slip,-11.654779434204102,-0.0001220703125,4,0,0.0,True,4,0,26543
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,049,no_slip,-7.730308532714844,0.897796630859375,5,0,0.0,True,5,1,28510
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,050,no_slip,-3.3380630016326904,0.0,3,0,0.0,True,3,0,19416
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,051,no_slip,-3.134342908859253,0.0,5,0,0.0,True,4,0,25533
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,052,no_slip,-0.1671810150146484,0.0,5,0,0.0,True,1,2,25147
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,053,no_slip,-3.1455345153808594,,4,2,0.5,True,2,1,25437
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,054,no_slip,-11.695274353027344,3.0517578125e-05,5,0,0.0,True,4,0,27149
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,055,no_slip,-2.722797393798828,0.0,5,0,0.0,True,4,3,30864
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,056,no_slip,-12.998695373535156,0.0,5,0,0.0,True,3,0,27330
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,057,no_slip,-10.486995697021484,0.0,5,0,0.0,True,4,1,25541
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,058,no_slip,-2.903726577758789,0.0,2,0,0.0,True,2,0,14322
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,059,no_slip,-2.848228454589844,0.0,5,0,0.0,True,4,0,25150
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,060,no_slip,-8.322032928466797,0.0,5,0,0.0,True,3,0,24285
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,061,no_slip,-10.732337951660156,0.0,5,0,0.0,True,1,0,26039
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,062,no_slip,-7.338869094848633,0.0,5,0,0.0,True,5,1,26286
