backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,001,no_termination,-3.356536865234375,0.211639404296875,5,0,0.0,True,4,4,28065
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,002,no_termination,-4.346961975097656,0.0,5,0,0.0,True,5,3,45378
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,003,no_termination,-3.260292053222656,0.0285167694091796,5,0,0.0,True,5,1,45909
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,004,no_termination,-7.176612854003906,0.0,5,0,0.0,True,4,0,40605
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,005,no_termination,-10.075260162353516,0.0,5,0,0.0,True,3,0,43662
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,006,no_termination,-3.715871810913086,0.0,5,0,0.0,True,3,0,27053
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,007,no_termination,-19.925071716308594,-0.1358718872070312,5,0,0.0,True,1,1,38742
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,008,no_termination,-8.466667175292969,-0.0002899169921875,5,0,0.0,True,4,0,40664
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,009,no_termination,-4.578418731689453,-0.2863941192626953,5,0,0.0,True,4,1,47981
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,010,no_termination,-3.3845176696777344,0.0,5,0,0.0,True,5,2,47255
gemini,openrouter_gemini25pro_mace_mp0_small,google/gemini-2.5-pro,OpenRouter,MACE-MP-0 small,mace,mace_mp0,small,011,no_termination,-4.418554306030273,3.0517578125e-05,5,0,0.0,True,0,0,38522
