benchmark_id,case_id,surface,adsorbate,adsmind_1shot_energy,adsmind_1shot_energy_best4,adsmind_1shot_energy_mean4,adsmind_1shot_best4,adsmind_1shot_mean4,adsmind_1shot_relax,adsmind_1shot_success,adsmind_full_energy,adsmind_full_energy_best4,adsmind_full_energy_mean4,adsmind_full_best4,adsmind_full_mean4,adsmind_full_relax,adsmind_full_success,random_n20_energy,random_n20_relax,random_n20_success,heuristic_energy,heuristic_relax,heuristic_success,adsorbagent_energy,adsorbagent_relax,adsorbagent_success,adsmind_1shot_gpt54_mace_mp0_small_energy,adsmind_1shot_gpt54_mace_mp0_small_relax,adsmind_1shot_gpt54_mace_mp0_small_success,adsmind_1shot_claude_sonnet46_mace_mp0_small_energy,adsmind_1shot_claude_sonnet46_mace_mp0_small_relax,adsmind_1shot_claude_sonnet46_mace_mp0_small_success,adsmind_1shot_gemini25pro_mace_mp0_small_energy,adsmind_1shot_gemini25pro_mace_mp0_small_relax,adsmind_1shot_gemini25pro_mace_mp0_small_success,adsmind_1shot_grok4_mace_mp0_small_energy,adsmind_1shot_grok4_mace_mp0_small_relax,adsmind_1shot_grok4_mace_mp0_small_success,adsmind_1shot_success_any4,adsmind_1shot_success_all4,adsmind_full_gpt54_mace_mp0_small_energy,adsmind_full_gpt54_mace_mp0_small_relax,adsmind_full_gpt54_mace_mp0_small_success,adsmind_full_claude_sonnet46_mace_mp0_small_energy,adsmind_full_claude_sonnet46_mace_mp0_small_relax,adsmind_full_claude_sonnet46_mace_mp0_small_success,adsmind_full_gemini25pro_mace_mp0_small_energy,adsmind_full_gemini25pro_mace_mp0_small_relax,adsmind_full_gemini25pro_mace_mp0_small_success,adsmind_full_grok4_mace_mp0_small_energy,adsmind_full_grok4_mace_mp0_small_relax,adsmind_full_grok4_mace_mp0_small_success,adsmind_full_success_any4,adsmind_full_success_all4
10,001,Hf16Zn48,C(=O)C,-4.357383728027344,-4.357383728027344,-4.357383728027344,-4.357383728027344,-4.357383728027344,1.0,0.25,-3.8734893798828125,-4.284637451171875,-3.8734893798828125,-4.284637451171875,-3.8734893798828125,5.0,1.0,-4.568439483642578,20.0,1.0,-5.101001739501953,41,1.0,,,,,1,False,,1,False,,1,False,-4.357383728027344,1,True,True,False,-4.284637451171875,5,True,-4.284576416015625,5,True,-3.56817626953125,5,True,-3.3565673828125,5,True,True,True
16,002,Hf18Sc18Si36,NO,-4.346961975097656,-4.346961975097656,-4.346961975097656,-4.346961975097656,-4.346961975097656,1.0,1.0,-4.3469624519348145,-4.346963882446289,-4.3469624519348145,-4.346963882446289,-4.3469624519348145,5.0,1.0,-6.261224746704102,20.0,1.0,-7.541254043579102,52,1.0,,,,-4.346961975097656,1,True,-4.346961975097656,1,True,-4.346961975097656,1,True,-4.346961975097656,1,True,True,True,-4.346961975097656,5,True,-4.346961975097656,5,True,-4.346961975097656,5,True,-4.346963882446289,5,True,True,True
31,003,Cd24Pd24,NO,-3.1406354904174805,-3.155797958374023,-3.1406354904174805,-3.155797958374023,-3.1406354904174805,1.0,1.0,-3.281672477722168,-3.288808822631836,-3.281672477722168,-3.288808822631836,-3.281672477722168,5.0,1.0,-3.277780532836914,20.0,1.0,-4.044595718383789,48,1.0,,,,-3.114904403686523,1,True,-3.1458511352539062,1,True,-3.1459884643554688,1,True,-3.155797958374023,1,True,True,True,-3.2887935638427734,5,True,-3.288808822631836,5,True,-3.288808822631836,5,True,-3.2602787017822266,5,True,True,True
46,004,Pt16V48,[N]=O,-6.221046447753906,-6.488563537597656,-6.221046447753906,-6.488563537597656,-6.221046447753906,1.0,1.0,-7.168281555175781,-7.176612854003906,-7.168281555175781,-7.176612854003906,-7.168281555175781,4.75,1.0,-6.819008827209473,20.0,1.0,-8.327248573303223,73,1.0,,,,-6.123451232910156,1,True,-6.488563537597656,1,True,-6.136024475097656,1,True,-6.136146545410156,1,True,True,True,-7.176612854003906,5,True,-7.159950256347656,4,True,-7.176612854003906,5,True,-7.159950256347656,5,True,True,True
70,005,As48Hf48Ni48,[NH2],-9.195095539093018,-9.262384414672852,-9.195095539093018,-9.262384414672852,-9.195095539093018,1.0,1.0,-10.0754714012146,-10.076349258422852,-10.0754714012146,-10.076349258422852,-10.0754714012146,5.0,1.0,-10.083572387695312,20.0,1.0,-10.084182739257812,90,1.0,,,,-9.262384414672852,1,True,-9.262384414672852,1,True,-9.262384414672852,1,True,-8.993228912353516,1,True,True,True,-10.075138092041016,5,True,-10.075138092041016,5,True,-10.075260162353516,5,True,-10.076349258422852,5,True,True,True
76,006,In10N10Ti30,N,-3.376506805419922,-3.376506805419922,-3.376506805419922,-3.376506805419922,-3.376506805419922,1.0,1.0,-3.6413097381591797,-3.715871810913086,-3.6413097381591797,-3.715871810913086,-3.6413097381591797,5.0,1.0,-3.4447708129882812,20.0,1.0,-3.7103958129882817,58,1.0,,,,-3.376506805419922,1,True,-3.376506805419922,1,True,-3.376506805419922,1,True,-3.376506805419922,1,True,True,True,-3.715871810913086,5,True,-3.417623519897461,5,True,-3.715871810913086,5,True,-3.715871810913086,5,True,True,True
84,007,Mo18S72W18,O=N,-19.619720458984375,-19.72642517089844,-19.619720458984375,-19.72642517089844,-19.619720458984375,1.0,1.0,-19.789939880371094,-19.925071716308594,-19.789939880371094,-19.925071716308594,-19.789939880371094,5.0,1.0,-20.106453895568848,20.0,1.0,-21.609444618225098,124,1.0,,,,-19.717514038085938,1,True,-19.317611694335938,1,True,-19.717330932617188,1,True,-19.72642517089844,1,True,True,True,-19.71690368652344,5,True,-19.925071716308594,5,True,-19.78919982910156,5,True,-19.72858428955078,5,True,True,True
87,008,Ga12Pd36,[NH],-7.495630502700806,-8.466667175292969,-7.495630502700806,-8.466667175292969,-7.495630502700806,1.0,1.0,-8.2199866771698,-8.466651916503906,-8.2199866771698,-8.466651916503906,-8.2199866771698,4.5,1.0,-8.441722393035889,20.0,1.0,-8.583644390106201,40,1.0,,,,-8.466667175292969,1,True,-7.173670768737793,1,True,-7.173670768737793,1,True,-7.168513298034668,1,True,True,True,-7.4804487228393555,3,True,-8.466651916503906,5,True,-8.466377258300781,5,True,-8.466468811035156,5,True,True,True
88,009,Ge24Zr40,[CH]=O,-4.359675407409668,-4.578388214111328,-4.359675407409668,-4.578388214111328,-4.359675407409668,1.0,1.0,-4.2917160987854,-4.292024612426758,-4.2917160987854,-4.292024612426758,-4.2917160987854,4.25,1.0,-4.258508682250977,20.0,1.0,-6.260858535766602,82,1.0,,,,-4.292024612426758,1,True,-4.276355743408203,1,True,-4.578388214111328,1,True,-4.291933059692383,1,True,True,True,-4.292024612426758,3,True,-4.292024612426758,4,True,-4.292024612426758,5,True,-4.290790557861328,5,True,True,True
94,010,Ag18Sr27,[N]=N,-2.939128875732422,-3.345600128173828,-2.939128875732422,-3.345600128173828,-2.939128875732422,1.0,0.75,-3.3747940063476562,-3.3845252990722656,-3.3747940063476562,-3.3845252990722656,-3.3747940063476562,5.0,1.0,-4.501424789428711,20.0,1.0,-5.208868026733398,51,1.0,,,,-3.345600128173828,1,True,,1,False,-2.735858917236328,1,True,-2.73592758178711,1,True,True,False,-3.3845252990722656,5,True,-3.34561538696289,5,True,-3.3845176696777344,5,True,-3.3845176696777344,5,True,True,True
