backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,001,no_forbid,-3.3565673828125,0.0,5,0,0.0,True,4,4,37110
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,002,no_forbid,-4.346961975097656,1.9073486328125e-06,5,0,0.0,True,5,4,49032
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,003,no_forbid,-3.2887935638427734,-0.0285148620605468,5,0,0.0,True,5,1,54101
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,004,no_forbid,-7.159950256347656,0.0,4,0,0.0,True,4,0,36922
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,005,no_forbid,-9.978092193603516,0.0982570648193359,4,0,0.0,True,2,0,46916
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,006,no_forbid,-3.715871810913086,0.0,5,0,0.0,True,3,1,34583
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,007,no_forbid,-19.925010681152344,-0.1964263916015625,5,0,0.0,True,1,0,46948
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,008,no_forbid,-8.466667175292969,-0.0001983642578125,5,0,0.0,True,4,0,48668
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,009,no_forbid,-4.578388214111328,-0.28759765625,5,0,0.0,True,4,1,57658
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,010,no_forbid,-2.735858917236328,0.6486587524414062,2,0,0.0,True,2,1,15059
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,011,no_forbid,-4.36711311340332,0.0514392852783203,5,0,0.0,True,0,0,51477
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,012,no_forbid,-14.549540519714355,0.0,2,0,0.0,True,2,0,14357
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,013,no_forbid,-2.746053695678711,0.02642822265625,5,0,0.0,True,4,0,35124
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,014,no_forbid,-10.13772201538086,0.0,5,0,0.0,True,5,1,40533
grok,xai_grok4_0709_mace_mp0_small,grok-4-0709,xAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,015,no_forbid,-1.094757080078125,0.0,5,0,0.0,True,3,3,69933
