canonical_dir,kind,dataset,backend,summary_file,summary_rows,expected_summary_rows,single_shot_summary_rows,observed_case_count,observed_variant_count,result_json_count,xyz_count,traj_count,artifact_ref_count,missing_artifact_ref_count,zero_artifact_ref_result_json_count,missing_artifact_ref_result_json_count,notes
auxiliary_raw/adsorbagent_mace_gpt4o,active_auxiliary,,adsorbagent,summary.json,,,,,,0,0,0,0,0,0,0,JSON/artifact auxiliary source; no row-wise CSV summary
auxiliary_raw/dft_viz_case01_gemini_full,active_auxiliary,CMU20-case01,gemini,,,,,,,1,6,2,18,0,0,0,JSON/artifact auxiliary source; no row-wise CSV summary
auxiliary_raw/dft_viz_case01_grok4_full,active_auxiliary,CMU20-case01,grok4,,,,,,,1,6,2,18,0,0,0,JSON/artifact auxiliary source; no row-wise CSV summary
cmu20_anthropic_sonnet46_ablation,ablation,CMU20,anthropic_sonnet46,ablation_summary.csv,100,100,,20,5,90,447,180,1434,0,0,0,
cmu20_gemini_ablation,ablation,CMU20,gemini,ablation_summary.csv,100,100,,20,5,90,332,130,1446,392,0,25,
cmu20_grok4_ablation,ablation,CMU20,grok4,ablation_summary.csv,100,100,,20,5,85,329,130,1388,340,0,20,
cmu20_heuristic_baseline,baseline_heuristic,CMU20,heuristic,summary.csv,20,20,,20,0,20,60,0,75,0,1,0,
cmu20_openai_gpt54_ablation,ablation,CMU20,openai_gpt54,ablation_summary.csv,100,100,,20,5,90,427,180,1394,0,0,0,
cmu20_random_baseline_n20,baseline_random,CMU20,random,summary.csv,20,20,,20,0,20,60,0,80,0,0,0,
controls/adsorbagent_single_config_gpt54_cmu20,active_control,CMU20,openai_gpt54,summary.csv,20,20,,20,0,0,0,14,0,0,0,0,"Active AA single-config control; CatalystAIgent-style raw files, not AdsMind result.json layout."
controls/mace_large_gpt54_cmu20_full,active_control,CMU20,openai_gpt54,ablation_summary.csv,20,20,,20,1,20,93,40,306,0,0,0,
controls/mace_large_gpt54_ocd_rep10_full,active_control,OCD-GMAE-rep50,openai_gpt54,ablation_summary.csv,10,10,,10,1,10,55,20,170,0,0,0,
controls/multiseed_gpt54_cmu20_seed43_full,active_control,CMU20,openai_gpt54,ablation_summary.csv,20,20,,20,1,20,100,40,320,0,0,0,
controls/multiseed_gpt54_cmu20_seed44_full,active_control,CMU20,openai_gpt54,ablation_summary.csv,20,20,,20,1,20,95,40,310,0,0,0,
controls/multiseed_gpt54_cmu20_seed45_full,active_control,CMU20,openai_gpt54,ablation_summary.csv,20,20,,20,1,20,100,40,320,0,0,0,
controls/multiseed_gpt54_cmu20_seed46_full,active_control,CMU20,openai_gpt54,ablation_summary.csv,20,20,,20,1,20,97,40,314,0,0,0,
controls/multiseed_gpt54_cmu20_seed47_full,active_control,CMU20,openai_gpt54,ablation_summary.csv,20,20,,20,1,20,94,40,308,0,0,0,
legacy_raw_sources/cmu20_anthropic_sonnet46_dryrun,legacy_one_shot_or_control,CMU20,anthropic_sonnet46,summary.csv,1,,,1,0,1,2,2,11,0,0,0,Legacy/provenance one-shot or control source; not the primary 5-variant ablation source.
legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot,legacy_one_shot_or_control,CMU20,anthropic_sonnet46,summary.csv,20,20,,20,0,20,40,40,200,0,0,0,Legacy/provenance one-shot or control source; not the primary 5-variant ablation source.
legacy_raw_sources/cmu20_gemini_one_shot,legacy_one_shot_or_control,CMU20,gemini,summary.csv,20,20,,20,0,20,0,0,200,200,0,20,Legacy/provenance one-shot or control source; not the primary 5-variant ablation source.
legacy_raw_sources/cmu20_gemini_one_shot_epfl_control,legacy_one_shot_or_control,CMU20,gemini,summary.csv,2,,,2,0,2,4,4,20,0,0,0,Legacy/provenance one-shot or control source; not the primary 5-variant ablation source.
legacy_raw_sources/cmu20_grok4_progressive_one_shot,legacy_one_shot_or_control,CMU20,grok4,summary.csv,20,20,,20,0,20,0,0,200,200,0,20,Legacy/provenance one-shot or control source; not the primary 5-variant ablation source.
