case_id,n_random,status,successful,failed,best_energy,mean_energy,std_energy,best_structure_file,wall_clock_sec
01,20,success,20,0,-3.631718397140503,-3.534703016281128,0.09481044182055391,research/results/canonical_raw/cmu20/random_baseline_n20/01/artifacts/01_random_top1_random_007_E-3.631718.xyz,269.1689127534628
02,20,success,20,0,-4.761686325073242,-3.795261764526367,0.7818024465185698,research/results/canonical_raw/cmu20/random_baseline_n20/02/artifacts/02_random_top1_random_001_E-4.761686.xyz,839.5798347443342
03,20,success,20,0,-3.323246717453003,-2.109027051925659,1.356525910672188,research/results/canonical_raw/cmu20/random_baseline_n20/03/artifacts/03_random_top1_random_002_E-3.323247.xyz,2504.516284223646
04,20,success,20,0,-3.293546676635742,-2.003384017944336,0.823714998360855,research/results/canonical_raw/cmu20/random_baseline_n20/04/artifacts/04_random_top1_random_001_E-3.293547.xyz,702.4864159822464
05,20,success,20,0,-2.965336561203003,-2.6326514720916747,0.31621665245785074,research/results/canonical_raw/cmu20/random_baseline_n20/05/artifacts/05_random_top1_random_002_E-2.965337.xyz,829.0966670885682
06,20,success,20,0,-2.678739547729492,-1.273184585571289,0.5654776447938299,research/results/canonical_raw/cmu20/random_baseline_n20/06/artifacts/06_random_top1_random_008_E-2.678740.xyz,5596.555731907487
07,20,success,20,0,-7.041508436203003,-6.772270154953003,0.473385974862579,research/results/canonical_raw/cmu20/random_baseline_n20/07/artifacts/07_random_top1_random_009_E-7.041508.xyz,9330.85959534347
08,20,success,20,0,-7.188383102416992,-5.916282272338867,0.8253199023707783,research/results/canonical_raw/cmu20/random_baseline_n20/08/artifacts/08_random_top1_random_018_E-7.188383.xyz,12495.640461813658
09,20,success,20,0,-1.9895267486572266,-1.817428970336914,0.39387735553501757,research/results/canonical_raw/cmu20/random_baseline_n20/09/artifacts/09_random_top1_random_000_E-1.989527.xyz,233.01170326024294
10,20,success,20,0,-2.7149600982666016,-2.4331661224365235,0.5742306732030376,research/results/canonical_raw/cmu20/random_baseline_n20/10/artifacts/10_random_top1_random_006_E-2.714960.xyz,285.75349800661206
11,20,success,20,0,-2.4397830963134766,-2.4087879180908205,0.021180925711143474,research/results/canonical_raw/cmu20/random_baseline_n20/11/artifacts/11_random_top1_random_002_E-2.439783.xyz,5054.1511422246695
12,20,success,20,0,-2.3599796295166016,-2.155804443359375,0.26148396059525125,research/results/canonical_raw/cmu20/random_baseline_n20/12/artifacts/12_random_top1_random_018_E-2.359980.xyz,395.3408663421869
13,20,success,20,0,-2.8251514434814453,-2.6235977172851563,0.21510513235306455,research/results/canonical_raw/cmu20/random_baseline_n20/13/artifacts/13_random_top1_random_001_E-2.825151.xyz,431.8768386207521
14,20,success,20,0,-3.6227664947509766,-3.2025012969970703,0.41351391645134317,research/results/canonical_raw/cmu20/random_baseline_n20/14/artifacts/14_random_top1_random_016_E-3.622766.xyz,403.16573225706816
15,20,success,20,0,-3.001087188720703,-1.6629158020019532,1.1059402728800518,research/results/canonical_raw/cmu20/random_baseline_n20/15/artifacts/15_random_top1_random_009_E-3.001087.xyz,1983.4167208895087
16,20,success,19,1,-6.736865997314453,-2.1488099349172494,1.999830879431858,research/results/canonical_raw/cmu20/random_baseline_n20/16/artifacts/16_random_top1_random_001_E-6.736866.xyz,161.5142482072115
17,20,success,20,0,-3.171344757080078,-2.465856170654297,0.7296627497965028,research/results/canonical_raw/cmu20/random_baseline_n20/17/artifacts/17_random_top1_random_004_E-3.171345.xyz,461.9796016141772
18,20,success,20,0,-3.2130470275878906,-2.2910804748535156,0.7450329691737182,research/results/canonical_raw/cmu20/random_baseline_n20/18/artifacts/18_random_top1_random_012_E-3.213047.xyz,255.93753097578883
19,20,success,20,0,-3.5673561096191406,-2.4420326232910154,0.8845925781040298,research/results/canonical_raw/cmu20/random_baseline_n20/19/artifacts/19_random_top1_random_011_E-3.567356.xyz,467.168649289757
20,20,success,19,1,-13.422286987304688,-7.2249603271484375,3.365330660193251,research/results/canonical_raw/cmu20/random_baseline_n20/20/artifacts/20_random_top1_random_001_E-13.422287.xyz,257.54713194817305
