case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
03,full,-3.351963758468628,0.0,2,0,0.0,True,1,0,20732
06,full,-1.8745841979980469,0.0,5,0,0.0,True,1,2,35285
07,full,-7.051090955734253,0.0,4,0,0.0,True,4,0,40702
08,full,-6.869441986083984,0.0,5,0,0.0,True,3,2,41084
11,full,-2.4184722900390625,0.0,3,0,0.0,True,2,0,29346
03,no_slip,-3.351963758468628,0.0,5,0,0.0,True,3,0,33902
06,no_slip,-2.164623260498047,-0.2900390625,5,0,0.0,True,2,2,32508
07,no_slip,-7.051090955734253,0.0,5,0,0.0,True,5,0,34675
08,no_slip,-7.190608978271484,-0.3211669921875,5,0,0.0,True,4,1,34915
11,no_slip,-2.4184722900390625,0.0,3,0,0.0,True,2,0,26147
03,no_forbid,-3.351963758468628,0.0,4,0,0.0,True,1,0,37362
06,no_forbid,-1.8745841979980469,0.0,5,0,0.0,True,1,2,33721
07,no_forbid,-7.051090955734253,0.0,3,0,0.0,True,3,0,29087
08,no_forbid,-6.856868743896484,0.0125732421875,5,0,0.0,True,3,2,37789
11,no_forbid,-2.4184722900390625,0.0,3,0,0.0,True,2,0,27556
03,no_termination,-3.351963758468628,0.0,5,0,0.0,True,2,0,35510
06,no_termination,-2.1646080017089844,-0.2900238037109375,5,0,0.0,True,3,2,37267
07,no_termination,-7.051090955734253,0.0,5,0,0.0,True,5,0,38334
08,no_termination,-7.190670013427734,-0.32122802734375,5,0,0.0,True,4,2,38841
11,no_termination,-2.4184722900390625,0.0,3,0,0.0,True,2,0,47661
03,single_shot,-3.351963758468628,0.0,1,0,0.0,True,0,0,5741
06,single_shot,,,1,0,0.0,False,0,1,5530
07,single_shot,-6.883122205734253,0.16796875,1,0,0.0,True,1,0,5839
08,single_shot,,,1,0,0.0,False,0,1,5736
11,single_shot,-2.4184722900390625,0.0,1,0,0.0,True,0,0,5937
