case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
03,full,-3.351963758468628,0.0,5,0,0.0,True,3,0,26258
06,full,-2.1646385192871094,0.0,5,0,0.0,True,2,1,27931
07,full,-7.051090955734253,0.0,5,0,0.0,True,5,0,29421
08,full,-6.414363861083984,0.0,5,0,0.0,True,5,4,32740
11,full,-2.3885955810546875,0.0,2,0,0.0,True,2,0,15006
03,no_slip,-3.351963758468628,0.0,5,0,0.0,True,3,0,25910
06,no_slip,-1.8745841979980469,0.2900543212890625,5,0,0.0,True,2,1,26655
07,no_slip,-7.051090955734253,0.0,5,0,0.0,True,5,0,25638
08,no_slip,-6.414363861083984,0.0,5,0,0.0,True,4,4,27704
11,no_slip,-2.4184722900390625,-0.029876708984375,3,0,0.0,True,2,0,20620
03,no_forbid,-3.351963758468628,0.0,5,0,0.0,True,2,0,26477
06,no_forbid,-1.8745841979980469,0.2900543212890625,5,0,0.0,True,2,1,29421
07,no_forbid,-7.051090955734253,0.0,5,0,0.0,True,5,0,26695
08,no_forbid,-6.414363861083984,0.0,5,0,0.0,True,4,4,33546
11,no_forbid,-2.4184722900390625,-0.029876708984375,3,0,0.0,True,2,0,21364
03,no_termination,-3.351963758468628,0.0,5,0,0.0,True,3,0,25742
06,no_termination,-1.8745841979980469,0.2900543212890625,5,0,0.0,True,2,1,28463
07,no_termination,-7.030705213546753,0.0203857421875,5,0,0.0,True,4,0,26236
08,no_termination,-6.869441986083984,-0.455078125,5,0,0.0,True,4,2,28456
11,no_termination,-2.4184722900390625,-0.029876708984375,3,0,0.0,True,2,0,38607
03,single_shot,-3.351963758468628,0.0,1,0,0.0,True,0,0,4258
06,single_shot,,,1,0,0.0,False,0,1,4879
07,single_shot,-6.883122205734253,0.16796875,1,0,0.0,True,1,0,4396
08,single_shot,-6.414363861083984,0.0,1,0,0.0,True,1,0,5672
11,single_shot,-2.3813095092773438,0.00728607177734375,1,0,0.0,True,1,0,4292
