case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
03,full,-3.351963758468628,0.0,5,0,0.0,True,3,0,35502
06,full,-1.8745841979980469,0.0,5,0,0.0,True,1,2,32893
07,full,-7.051090955734253,0.0,5,0,0.0,True,5,0,37815
08,full,-6.414363861083984,0.0,4,0,0.0,True,3,3,30243
11,full,-2.4184722900390625,0.0,3,0,0.0,True,2,0,29428
03,no_slip,-3.351963758468628,0.0,5,0,0.0,True,3,0,32570
06,no_slip,-1.7678642272949219,0.106719970703125,5,0,0.0,True,3,2,33768
07,no_slip,-7.051090955734253,0.0,5,0,0.0,True,5,0,32905
08,no_slip,-6.616634368896484,-0.2022705078125,5,0,0.0,True,3,3,34198
11,no_slip,-2.4184722900390625,0.0,3,0,0.0,True,2,0,27265
03,no_forbid,-3.351963758468628,0.0,5,0,0.0,True,3,0,35005
06,no_forbid,-1.9020652770996094,-0.0274810791015625,5,0,0.0,True,2,1,37436
07,no_forbid,-7.030705213546753,0.0203857421875,5,0,0.0,True,4,0,36405
08,no_forbid,-6.414363861083984,0.0,5,0,0.0,True,4,4,42458
11,no_forbid,-2.4184722900390625,0.0,3,0,0.0,True,2,0,28471
03,no_termination,-3.351963758468628,0.0,5,0,0.0,True,3,0,33266
06,no_termination,-1.8745841979980469,0.0,5,0,0.0,True,1,2,33278
07,no_termination,-7.030705213546753,0.0203857421875,4,0,0.0,True,4,0,28145
08,no_termination,-7.190608978271484,-0.7762451171875,4,0,0.0,True,3,2,30842
11,no_termination,-2.4184722900390625,0.0,3,0,0.0,True,2,0,24269
03,single_shot,-3.320255994796753,0.031707763671875,1,0,0.0,True,1,0,5852
06,single_shot,,,1,0,0.0,False,0,1,6188
07,single_shot,-6.883122205734253,0.16796875,1,0,0.0,True,1,0,5640
08,single_shot,,,1,0,0.0,False,0,1,5945
11,single_shot,-2.3885955810546875,0.029876708984375,1,0,0.0,True,1,0,6367
