case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
03,full,-3.351963758468628,0.0,2,0,0.0,True,1,0,15492
06,full,-2.164623260498047,0.0,5,0,0.0,True,3,1,29638
07,full,-7.030705213546753,0.0,5,0,0.0,True,4,0,34279
08,full,-7.190608978271484,0.0,5,0,0.0,True,3,1,30444
11,full,-2.3813095092773438,0.0,1,0,0.0,True,1,0,9807
03,no_slip,-3.351963758468628,0.0,4,0,0.0,True,2,0,24410
06,no_slip,-2.164623260498047,0.0,5,0,0.0,True,3,1,27708
07,no_slip,-7.051090955734253,-0.0203857421875,5,0,0.0,True,5,0,25702
08,no_slip,-7.190670013427734,-6.103515625e-05,5,0,0.0,True,5,1,29034
11,no_slip,-2.4184722900390625,-0.03716278076171875,3,0,0.0,True,2,0,20250
03,no_forbid,-3.351963758468628,0.0,5,0,0.0,True,2,0,27395
06,no_forbid,-1.8745841979980469,0.2900390625,5,0,0.0,True,1,2,29240
07,no_forbid,-7.051090955734253,-0.0203857421875,5,0,0.0,True,4,0,27991
08,no_forbid,-7.190670013427734,-6.103515625e-05,5,0,0.0,True,3,1,29874
11,no_forbid,-2.4184722900390625,-0.03716278076171875,3,0,0.0,True,2,0,21009
03,no_termination,-3.351963758468628,0.0,5,0,0.0,True,2,0,26720
06,no_termination,-1.9020652770996094,0.2625579833984375,5,0,0.0,True,2,2,29172
07,no_termination,-7.030705213546753,0.0,5,0,0.0,True,4,0,27927
08,no_termination,-7.190670013427734,-6.103515625e-05,5,1,0.2,True,3,1,29935
11,no_termination,-2.4184722900390625,-0.03716278076171875,3,0,0.0,True,2,0,37005
03,single_shot,-3.351963758468628,0.0,1,0,0.0,True,0,0,4523
06,single_shot,,,1,0,0.0,False,0,1,4597
07,single_shot,-6.511173963546753,0.51953125,1,0,0.0,True,1,0,4422
08,single_shot,,,1,0,0.0,False,0,1,4494
11,single_shot,-2.4184722900390625,-0.03716278076171875,1,0,0.0,True,0,0,4286
