case_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,status,best_energy_eV,iteration_count,max_attempts,perfect_count,dissociation_count,rearrangement_count,calc_failure_count,chemical_slip_count,final_site_type,converged_tag,wall_clock_sec,total_input_tokens,total_output_tokens,best_structure_file,generated_conformers_file,relaxation_trajectory_file
01,benchmark_slabs/01_Mo3Pd_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-3.557255506515503,1,1,1,0,0,0,1,bridge,False,55.384295001626015,4404,1725,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/01/artifacts/BEST_H_hollow_to_bridge_E-3.557.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/01/artifacts/relaxation.traj
02,benchmark_slabs/02_Mo3Pd_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,success,-4.342861175537109,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,105.00953699275851,4529,1542,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/02/artifacts/BEST_N_NH_ontop_to_hollow_FCC-No-Subsurf_E-4.343.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/02/artifacts/relaxation.traj
03,benchmark_slabs/03_Pd3Cu_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-3.351963758468628,1,1,1,0,0,0,0,hollow (FCC/No-Subsurf),False,38.47870801016688,4497,1753,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/03/artifacts/BEST_H_hollow_to_hollow_FCC-No-Subsurf_E-3.352.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/03/artifacts/relaxation.traj
04,benchmark_slabs/04_Pd3Cu_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,success,-1.8452110290527344,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,82.21796197071671,4679,1605,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/04/artifacts/BEST_N_NH_ontop_to_hollow_HCP-Subsurf-Atom_E-1.845.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/04/artifacts/relaxation.traj
05,benchmark_slabs/05_Cu3Ag_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-2.961643934249878,1,1,1,0,0,0,0,hollow (FCC/No-Subsurf),False,37.80395025387406,4398,1612,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/05/artifacts/BEST_H_hollow_to_hollow_FCC-No-Subsurf_E-2.962.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/05/artifacts/relaxation.traj
06,benchmark_slabs/06_Cu3Ag_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,failed,,1,1,0,1,0,0,0,,False,85.03028158843517,4511,1837,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/06/artifacts/BEST_N_NH_ontop_DISS_E-2.589.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/06/artifacts/relaxation.traj
07,benchmark_slabs/07_Ru3Mo_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-6.883122205734253,1,1,1,0,0,0,1,ontop,False,56.53653717413545,4598,1852,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/07/artifacts/BEST_H_hollow_to_ontop_E-6.883.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/07/artifacts/relaxation.traj
08,benchmark_slabs/08_Ru3Mo_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,failed,,1,1,0,1,0,0,0,,False,100.75443129986525,4628,1708,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/08/artifacts/BEST_N_NH_ontop_DISS_E-8.466.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/08/artifacts/relaxation.traj
09,benchmark_slabs/09_Pt_111.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(111),ORR,success,-1.8037338256835938,1,1,1,0,0,0,0,ontop,False,78.58912893384695,4209,1723,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/09/artifacts/BEST_OH_ontop_E-1.804.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/09/artifacts/relaxation.traj
10,benchmark_slabs/10_Pt_100.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(100),ORR,success,-2.7095260620117188,1,1,1,0,0,0,1,bridge,False,65.90419412404299,4403,1842,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/10/artifacts/BEST_OH_ontop_to_bridge_E-2.710.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_anthropic_sonnet46_one_shot/10/artifacts/relaxation.traj
