case_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,status,best_energy_eV,iteration_count,max_attempts,perfect_count,dissociation_count,rearrangement_count,calc_failure_count,chemical_slip_count,final_site_type,converged_tag,wall_clock_sec,total_input_tokens,total_output_tokens,best_structure_file,generated_conformers_file,relaxation_trajectory_file
01,benchmark_slabs/01_Mo3Pd_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-3.5663492679595947,1,1,1,0,0,0,1,bridge,False,71.52761250000913,3673,2747,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/01/artifacts/BEST_H_hollow_to_bridge_E-3.566.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/01/artifacts/relaxation.traj
02,benchmark_slabs/02_Mo3Pd_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,success,-4.333539962768555,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,111.6678154579713,3865,3122,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/02/artifacts/BEST_N_NH_ontop_to_hollow_FCC-No-Subsurf_E-4.334.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/02/artifacts/relaxation.traj
03,benchmark_slabs/03_Pd3Cu_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-3.3467447757720947,1,1,1,0,0,0,0,hollow (FCC/No-Subsurf),False,51.256394875003025,4033,3759,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/03/artifacts/BEST_H_hollow_to_hollow_FCC-No-Subsurf_E-3.347.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/03/artifacts/relaxation.traj
04,benchmark_slabs/04_Pd3Cu_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,success,-1.6579418182373047,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,64.92626833403483,3893,3385,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/04/artifacts/BEST_N_NH_ontop_to_hollow_FCC-No-Subsurf_E-1.658.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/04/artifacts/relaxation.traj
05,benchmark_slabs/05_Cu3Ag_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-2.9469187259674072,1,1,1,0,0,0,0,hollow (HCP/Subsurf-Atom),False,64.79109012504341,4271,3966,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/05/artifacts/BEST_H_hollow_to_hollow_HCP-Subsurf-Atom_E-2.947.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/05/artifacts/relaxation.traj
06,benchmark_slabs/06_Cu3Ag_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,success,-2.0482616424560547,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,76.75654629198834,4302,4824,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/06/artifacts/BEST_N_NH_hollow_to_hollow_HCP-Subsurf-Atom_E-2.048.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/06/artifacts/relaxation.traj
07,benchmark_slabs/07_Ru3Mo_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-6.922611474990845,1,1,1,0,0,0,1,ontop,False,102.56755791697651,3778,2755,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/07/artifacts/BEST_H_hollow_to_ontop_E-6.923.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/07/artifacts/relaxation.traj
08,benchmark_slabs/08_Ru3Mo_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,success,-6.396268844604492,1,1,1,0,0,0,1,bridge,False,120.18630858301185,4346,3963,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/08/artifacts/BEST_N_NH_bridge_E-6.396.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/08/artifacts/relaxation.traj
09,benchmark_slabs/09_Pt_111.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(111),ORR,success,-1.8013858795166016,1,1,1,0,0,0,0,ontop,False,52.25289687496843,3599,3185,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/09/artifacts/BEST_OH_ontop_E-1.801.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/09/artifacts/relaxation.traj
10,benchmark_slabs/10_Pt_100.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(100),ORR,success,-2.1220951080322266,1,1,1,0,0,0,0,ontop,False,69.58658966701478,3844,3176,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/10/artifacts/BEST_OH_ontop_E-2.122.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/10/artifacts/relaxation.traj
11,benchmark_slabs/11_Pd_111.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(111),ORR,success,-2.3786563873291016,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,59.14004833402578,3788,3660,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/11/artifacts/BEST_OH_ontop_to_hollow_FCC-No-Subsurf_E-2.379.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/11/artifacts/relaxation.traj
12,benchmark_slabs/12_Au_111.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(111),ORR,success,-1.6070194244384766,1,1,1,0,0,0,0,ontop,False,45.588824832986575,3872,3174,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/12/artifacts/BEST_OH_ontop_E-1.607.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/12/artifacts/relaxation.traj
13,benchmark_slabs/13_Ag_100.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(100),ORR,success,-2.376436233520508,1,1,1,0,0,0,0,bridge,False,47.522370624996256,3716,3277,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/13/artifacts/BEST_OH_bridge_E-2.376.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/13/artifacts/relaxation.traj
14,benchmark_slabs/14_CoPt_111.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,(111),ORR,success,-3.2451114654541016,1,1,1,0,0,0,1,bridge,False,70.91224466601852,4137,3963,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/14/artifacts/BEST_OH_hollow_to_bridge_E-3.245.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/14/artifacts/relaxation.traj
15,benchmark_slabs/15_Cu6Ga2_100.xyz,[CH2]CO,Find the lowest-energy adsorption configuration for the 2-hydroxyethyl radical on the provided surface.,intermetallic,CH2CH2OH,(100),COMPLEX,success,-2.888652801513672,1,1,1,0,0,0,0,ontop,False,98.15802437497769,3795,3748,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/15/artifacts/BEST_CH2CO_ontop_E-2.889.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/15/artifacts/relaxation.traj
16,benchmark_slabs/16_Au2Hf_102.xyz,[CH2]CO,Find the lowest-energy adsorption configuration for the 2-hydroxyethyl radical on the provided surface.,intermetallic,CH2CH2OH,(102),COMPLEX,success,-4.537578582763672,1,1,1,0,0,0,0,ontop,False,94.5322429999942,3978,3085,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/16/artifacts/BEST_CH2CO_ontop_E-4.538.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/16/artifacts/relaxation.traj
17,benchmark_slabs/17_Rh2Ti2_111.xyz,CC=O,Find the lowest-energy adsorption configuration for acetaldehyde on the provided surface.,intermetallic,OCHCH3,(111),COMPLEX,success,-2.7732162475585938,1,1,1,0,0,0,1,bridge,False,67.42070845898706,4199,3909,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/17/artifacts/BEST_CC_O_ontop_to_bridge_E-2.773.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/17/artifacts/relaxation.traj
18,benchmark_slabs/18_Al3Zr_101.xyz,CC=O,Find the lowest-energy adsorption configuration for acetaldehyde on the provided surface.,intermetallic,OCHCH3,(101),COMPLEX,success,-2.4180145263671875,1,1,1,0,0,0,1,bridge,False,75.67374329199083,4193,3253,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/18/artifacts/BEST_CC_O_bridge_E-2.418.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/18/artifacts/relaxation.traj
19,benchmark_slabs/19_Hf2Zn6_110.xyz,CC=O,Find the lowest-energy adsorption configuration for acetaldehyde on the provided surface.,intermetallic,OCHCH3,(110),COMPLEX,success,-4.029319763183594,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,126.84500958299031,4035,3162,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/19/artifacts/BEST_CC_O_ontop_to_hollow_HCP-Subsurf-Atom_E-4.029.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/19/artifacts/relaxation.traj
20,benchmark_slabs/20_Bi2Ti6_211.xyz,CN(C)N=O,Find the lowest-energy adsorption configuration for dimethylnitrosamine on the provided surface.,intermetallic,ONN(CH3)2,(211),COMPLEX,success,-10.604454040527344,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,153.2144384580315,4168,3824,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/20/artifacts/BEST_CN(C)N_O_ontop_to_hollow_HCP-Subsurf-Atom_E-10.604.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_gemini_one_shot/20/artifacts/relaxation.traj
