case_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,status,best_energy_eV,iteration_count,max_attempts,perfect_count,dissociation_count,rearrangement_count,calc_failure_count,chemical_slip_count,final_site_type,converged_tag,wall_clock_sec,total_input_tokens,total_output_tokens,best_structure_file,generated_conformers_file,relaxation_trajectory_file
01,benchmark_slabs/01_Mo3Pd_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-3.6311686038970947,1,1,1,0,0,0,0,hollow (HCP/Subsurf-Atom),False,94.14500774996122,4904,1515,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/01/artifacts/BEST_H_hollow_to_hollow_HCP-Subsurf-Atom_E-3.631.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/01/artifacts/relaxation.traj
02,benchmark_slabs/02_Mo3Pd_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,success,-4.150495529174805,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,157.7339484160184,4978,1529,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/02/artifacts/BEST_N_NH_ontop_to_hollow_HCP-Subsurf-Atom_E-4.150.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/02/artifacts/relaxation.traj
03,benchmark_slabs/03_Pd3Cu_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-3.3467142581939697,1,1,1,0,0,0,0,hollow (FCC/No-Subsurf),False,81.04980287502985,4826,951,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/03/artifacts/BEST_H_hollow_to_hollow_FCC-No-Subsurf_E-3.347.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/03/artifacts/relaxation.traj
04,benchmark_slabs/04_Pd3Cu_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,success,-1.6579418182373047,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,165.22415074997116,2841,360,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/04/artifacts/BEST_N_NH_ontop_to_hollow_FCC-No-Subsurf_E-1.658.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/04/artifacts/relaxation.traj
05,benchmark_slabs/05_Cu3Ag_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-2.9469187259674072,1,1,1,0,0,0,0,hollow (HCP/Subsurf-Atom),False,103.14587183302501,4762,1260,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/05/artifacts/BEST_H_hollow_to_hollow_HCP-Subsurf-Atom_E-2.947.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/05/artifacts/relaxation.traj
06,benchmark_slabs/06_Cu3Ag_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,success,-1.7266368865966797,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,129.69275241700234,4972,1191,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/06/artifacts/BEST_N_NH_ontop_to_hollow_FCC-No-Subsurf_E-1.727.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/06/artifacts/relaxation.traj
07,benchmark_slabs/07_Ru3Mo_111.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,(111),HER,success,-6.922611474990845,1,1,1,0,0,0,1,ontop,False,147.98690595902735,4782,1265,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/07/artifacts/BEST_H_hollow_to_ontop_E-6.923.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/07/artifacts/relaxation.traj
08,benchmark_slabs/08_Ru3Mo_111.xyz,[N]=[NH],Find the lowest-energy adsorption configuration for NNH on the provided surface.,intermetallic,NNH,(111),NRR,success,-7.355390548706055,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,323.24444445897825,5154,1564,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/08/artifacts/BEST_N_NH_ontop_to_hollow_HCP-Subsurf-Atom_E-7.355.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/08/artifacts/relaxation.traj
09,benchmark_slabs/09_Pt_111.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(111),ORR,success,-1.9739322662353516,1,1,1,0,0,0,0,bridge,False,116.16245966695715,4866,1645,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/09/artifacts/BEST_OH_bridge_E-1.974.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/09/artifacts/relaxation.traj
10,benchmark_slabs/10_Pt_100.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(100),ORR,success,-2.712350845336914,1,1,1,0,0,0,0,bridge,False,96.29148270800943,4954,1303,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/10/artifacts/BEST_OH_bridge_E-2.712.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/10/artifacts/relaxation.traj
11,benchmark_slabs/11_Pd_111.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,monometallic,OH,(111),ORR,success,-2.3883914947509766,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,126.59175912500359,4981,1659,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/11/artifacts/BEST_OH_bridge_to_hollow_HCP-Subsurf-Atom_E-2.388.xyz,,research/results/canonical_raw/legacy_raw_sources/cmu20_grok4_progressive_one_shot/11/artifacts/relaxation.traj
