case_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,status,best_energy_eV,iteration_count,max_attempts,perfect_count,dissociation_count,rearrangement_count,calc_failure_count,chemical_slip_count,final_site_type,converged_tag,wall_clock_sec,total_input_tokens,total_output_tokens,best_structure_file,generated_conformers_file,relaxation_trajectory_file
001,research/agent_eval/generated_slabs/ocd_gmae/001_ocd_596_Cr18Pt18_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-4.743168592453003,1,1,1,0,0,0,1,bridge,False,45.42165129631758,4462,1856,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/001/artifacts/BEST_H_hollow_to_bridge_E-4.743.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/001/artifacts/relaxation.traj
002,research/agent_eval/generated_slabs/ocd_gmae/002_ocd_479_Ni6Sc36Te12_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-6.576652526855469,1,1,1,0,0,0,1,bridge,False,108.28718800097704,4562,1977,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/002/artifacts/BEST_OH_ontop_to_bridge_E-6.577.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/002/artifacts/relaxation.traj
003,research/agent_eval/generated_slabs/ocd_gmae/003_ocd_735_Re27Ti27_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-6.983524322509766,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,68.66544538736343,4618,1693,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/003/artifacts/BEST_NH2_hollow_to_hollow_HCP-Subsurf-Atom_E-6.984.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/003/artifacts/relaxation.traj
004,research/agent_eval/generated_slabs/ocd_gmae/004_ocd_118_Ge36V60_N_N.xyz,[N]=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=N on the provided surface.,compound,[N]=N,,GENERALIZATION,success,-10.13772201538086,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,860.7478336319327,4799,1727,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/004/artifacts/BEST_N_N_ontop_to_hollow_HCP-Subsurf-Atom_E-10.138.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/004/artifacts/relaxation.traj
005,research/agent_eval/generated_slabs/ocd_gmae/005_ocd_530_Co32Y48_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,success,-10.208537101745605,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,96.87665760144591,4642,1958,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/005/artifacts/BEST_NH_hollow_to_hollow_HCP-Subsurf-Atom_E-10.209.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/005/artifacts/relaxation.traj
006,research/agent_eval/generated_slabs/ocd_gmae/006_ocd_338_Se72Ta36_N.xyz,N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES N on the provided surface.,compound,N,,GENERALIZATION,success,-7.403881072998047,1,1,1,0,0,0,0,ontop,False,1039.1641043536365,4314,1492,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/006/artifacts/BEST_N_ontop_E-7.404.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/006/artifacts/relaxation.traj
007,research/agent_eval/generated_slabs/ocd_gmae/007_ocd_909_Mo36N36_N_O.xyz,[N]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=O on the provided surface.,compound,[N]=O,,GENERALIZATION,success,-10.713539123535156,1,1,1,0,0,0,0,ontop,False,617.7658650837839,4359,1580,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/007/artifacts/BEST_N_O_ontop_E-10.714.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/007/artifacts/relaxation.traj
008,research/agent_eval/generated_slabs/ocd_gmae/008_ocd_16_Hf18Sc18Si36_NO.xyz,NO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES NO on the provided surface.,intermetallic,NO,,GENERALIZATION,success,-4.346961975097656,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,238.12649114057422,4836,1863,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/008/artifacts/BEST_NO_ontop_to_hollow_HCP-Subsurf-Atom_E-4.347.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/008/artifacts/relaxation.traj
009,research/agent_eval/generated_slabs/ocd_gmae/009_ocd_362_In18N18Ti36_O_N.xyz,O=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES O=N on the provided surface.,intermetallic,O=N,,GENERALIZATION,failed,,1,1,0,1,0,0,1,,False,578.7364989370108,4676,1658,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/009/artifacts/BEST_O_N_ontop_to_hollow_HCP-Subsurf-Atom_DISS_E-11.352.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/009/artifacts/relaxation.traj
010,research/agent_eval/generated_slabs/ocd_gmae/010_ocd_201_Cr36N48_CH_O.xyz,[CH]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH]=O on the provided surface.,compound,[CH]=O,,GENERALIZATION,success,-7.707094192504883,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,785.8886310942471,4481,1592,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/010/artifacts/BEST_CH_O_ontop_to_hollow_HCP-Subsurf-Atom_E-7.707.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/010/artifacts/relaxation.traj
011,research/agent_eval/generated_slabs/ocd_gmae/011_ocd_10_Hf16Zn48_C_O_C.xyz,C(=O)C,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C(=O)C on the provided surface.,intermetallic,C(=O)C,,GENERALIZATION,success,-3.356536865234375,1,1,1,0,0,0,1,ontop,False,123.07539415732026,4862,1885,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/011/artifacts/BEST_C(_O)C_ontop_E-3.357.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/011/artifacts/relaxation.traj
012,research/agent_eval/generated_slabs/ocd_gmae/012_ocd_114_Ag24In12Sc12_CO.xyz,CO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES CO on the provided surface.,intermetallic,CO,,GENERALIZATION,success,-2.2730464935302734,1,1,1,0,0,0,0,ontop,False,130.94374498724937,4578,1681,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/012/artifacts/BEST_CO_ontop_E-2.273.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/012/artifacts/relaxation.traj
013,research/agent_eval/generated_slabs/ocd_gmae/013_ocd_181_Cu32Se64W16_C_C_O.xyz,C(C)O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C(C)O on the provided surface.,intermetallic,C(C)O,,GENERALIZATION,success,-9.077415466308594,1,1,1,0,0,0,0,ontop,False,687.6963041014969,4595,1736,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/013/artifacts/BEST_C(C)O_ontop_E-9.077.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/013/artifacts/relaxation.traj
014,research/agent_eval/generated_slabs/ocd_gmae/014_ocd_275_Cd20Y20_C_O.xyz,C[O],Find the lowest-energy adsorption configuration for the adsorbate with SMILES C[O] on the provided surface.,intermetallic,C[O],,GENERALIZATION,success,-5.207887649536133,1,1,1,0,0,0,1,bridge,False,186.75048151239753,4381,1357,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/014/artifacts/BEST_CO_ontop_to_bridge_E-5.208.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/014/artifacts/relaxation.traj
015,research/agent_eval/generated_slabs/ocd_gmae/015_ocd_665_Ga16Mn32V16_CH2_O.xyz,[CH2][O],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH2][O] on the provided surface.,intermetallic,[CH2][O],,GENERALIZATION,success,-1.351470947265625,1,1,1,0,0,0,1,bridge,False,384.5794817470014,4957,2008,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/015/artifacts/BEST_CH2O_bridge_E-1.351.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/015/artifacts/relaxation.traj
016,research/agent_eval/generated_slabs/ocd_gmae/016_ocd_810_Pd32Sb64_C_CH2_O.xyz,C([CH2])O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C([CH2])O on the provided surface.,intermetallic,C([CH2])O,,GENERALIZATION,success,-12.913764953613281,1,1,1,0,0,0,0,ontop,False,371.53748908638954,4473,1953,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/016/artifacts/BEST_C(CH2)O_ontop_E-12.914.xyz,,research/results/canonical_raw/ocd24_anthropic_sonnet46_one_shot/016/artifacts/relaxation.traj
