case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.980229139328003,0.0,5,0,0.0,True,2,0,26490
002,full,-7.2280120849609375,0.0,5,0,0.0,True,4,1,30772
006,full,-7.403881072998047,0.0,5,1,0.2,True,2,1,27572
007,full,-10.732337951660156,0.0,5,0,0.0,True,1,0,25786
008,full,-4.346961975097656,0.0,5,0,0.0,True,5,3,30739
009,full,-7.9674224853515625,0.0,5,0,0.0,True,5,2,31525
010,full,-7.707094192504883,0.0,5,0,0.0,True,3,0,28798
011,full,-3.56817626953125,0.0,5,0,0.0,True,4,3,29899
014,full,-5.222894668579102,0.0,5,0,0.0,True,4,0,29442
017,full,-5.363460540771484,0.0,5,0,0.0,True,5,1,29533
018,full,-6.991722106933594,0.0,5,0,0.0,True,4,2,30823
020,full,-6.176261901855469,0.0,5,0,0.0,True,4,0,28707
021,full,-3.6048831939697266,0.0,5,0,0.0,True,4,0,28085
022,full,-3.3845252990722656,0.0,5,0,0.0,True,5,2,32428
001,no_slip,-4.980229139328003,0.0,5,0,0.0,True,3,0,24460
002,no_slip,-7.2280120849609375,0.0,5,0,0.0,True,5,1,26711
006,no_slip,-7.403942108154297,-6.103515625e-05,5,0,0.0,True,3,1,24661
007,no_slip,-10.732337951660156,0.0,5,0,0.0,True,1,0,26039
008,no_slip,-4.346961975097656,0.0,5,0,0.0,True,5,4,28673
009,no_slip,-7.9674224853515625,0.0,5,0,0.0,True,4,2,27898
010,no_slip,-7.707033157348633,6.103515625e-05,5,0,0.0,True,4,0,26384
011,no_slip,-4.162750244140625,-0.594573974609375,5,0,0.0,True,3,2,25870
014,no_slip,-5.222894668579102,0.0,5,0,0.0,True,4,0,26558
017,no_slip,-5.363460540771484,0.0,5,0,0.0,True,4,2,27147
018,no_slip,-7.120536804199219,-0.128814697265625,5,0,0.0,True,4,2,27889
020,no_slip,-6.2312164306640625,-0.05495452880859375,5,0,0.0,True,5,0,26804
021,no_slip,-3.6048831939697266,0.0,5,0,0.0,True,4,0,27583
022,no_slip,-3.3845176696777344,7.62939453125e-06,5,0,0.0,True,5,2,28963
001,no_forbid,-4.980229139328003,0.0,5,0,0.0,True,2,0,26721
002,no_forbid,-7.2280120849609375,0.0,5,0,0.0,True,4,1,30328
006,no_forbid,-7.403881072998047,0.0,5,0,0.0,True,3,1,26987
007,no_forbid,-10.732337951660156,0.0,5,0,0.0,True,1,0,24864
008,no_forbid,-4.346961975097656,0.0,5,0,0.0,True,5,4,29227
009,no_forbid,-7.8809051513671875,0.086517333984375,5,0,0.0,True,4,3,29044
010,no_forbid,-7.707033157348633,6.103515625e-05,5,0,0.0,True,3,0,27776
011,no_forbid,-3.356536865234375,0.211639404296875,5,0,0.0,True,3,3,29924
014,no_forbid,-5.222879409790039,1.52587890625e-05,5,0,0.0,True,4,0,26631
017,no_forbid,-5.363460540771484,0.0,5,0,0.0,True,4,1,28565
018,no_forbid,-6.991722106933594,0.0,5,0,0.0,True,3,2,31137
020,no_forbid,-6.176261901855469,0.0,5,0,0.0,True,4,0,27925
021,no_forbid,-3.5104713439941406,0.09441184997558594,5,0,0.0,True,4,0,27949
022,no_forbid,-3.3845176696777344,7.62939453125e-06,5,0,0.0,True,5,1,30808
001,no_termination,-4.743168592453003,0.237060546875,5,0,0.0,True,2,0,26635
002,no_termination,-7.2280120849609375,0.0,5,0,0.0,True,4,1,27868
006,no_termination,-7.403881072998047,0.0,5,1,0.2,True,2,1,25424
007,no_termination,-10.713600158691406,0.01873779296875,5,0,0.0,True,1,0,24393
008,no_termination,-4.346961975097656,0.0,5,0,0.0,True,5,4,29760
009,no_termination,-7.9674224853515625,0.0,5,0,0.0,True,4,3,28561
010,no_termination,-7.707033157348633,6.103515625e-05,5,0,0.0,True,3,0,27170
011,no_termination,-3.356536865234375,0.211639404296875,5,0,0.0,True,4,4,28065
014,no_termination,-5.222879409790039,1.52587890625e-05,5,0,0.0,True,4,0,27092
017,no_termination,-5.362604141235352,0.0008563995361328125,5,0,0.0,True,3,1,29257
018,no_termination,-6.991722106933594,0.0,5,0,0.0,True,4,2,28569
020,no_termination,-6.1764984130859375,-0.00023651123046875,5,0,0.0,True,5,0,27800
021,no_termination,-3.6018409729003906,0.0030422210693359375,5,0,0.0,True,4,0,27708
022,no_termination,-3.3845176696777344,7.62939453125e-06,5,0,0.0,True,5,2,30149
001,single_shot,-4.743199110031128,0.237030029296875,1,0,0.0,True,1,0,4594
002,single_shot,,,1,0,0.0,False,1,1,4679
006,single_shot,-7.403881072998047,0.0,1,0,0.0,True,0,0,4379
007,single_shot,-10.710975646972656,0.0213623046875,1,0,0.0,True,0,0,4162
008,single_shot,-4.346961975097656,0.0,1,0,0.0,True,1,0,4642
009,single_shot,,,1,0,0.0,False,1,1,4600
010,single_shot,-7.707094192504883,0.0,1,0,0.0,True,1,0,4932
011,single_shot,,,1,0,0.0,False,0,1,4421
014,single_shot,-5.20787239074707,0.01502227783203125,1,0,0.0,True,1,0,4814
017,single_shot,-5.362634658813477,0.0008258819580078125,1,0,0.0,True,1,0,4670
018,single_shot,-6.991722106933594,0.0,1,0,0.0,True,1,0,4533
020,single_shot,-6.176261901855469,0.0,1,0,0.0,True,1,0,4324
021,single_shot,-3.4414615631103516,0.163421630859375,1,0,0.0,True,1,0,4518
022,single_shot,,,1,0,0.0,False,1,1,4900
