case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.743199110031128,0.0,4,0,0.0,True,1,0,33713
002,full,-7.1137542724609375,0.0,5,0,0.0,True,4,2,37578
006,full,-7.403881072998047,0.0,5,1,0.2,True,2,1,33378
007,full,-10.710853576660156,0.0,5,0,0.0,True,1,0,33741
008,full,-1124687200.7336826,0.0,5,0,0.0,True,5,3,42879
009,full,-7.8799896240234375,0.0,3,0,0.0,True,3,2,28984
010,full,-7.707094192504883,0.0,4,0,0.0,True,2,0,36951
011,full,-3.3565673828125,0.0,5,0,0.0,True,4,4,38118
014,full,-5.222927093505859,0.0,5,0,0.0,True,4,0,37002
017,full,-5.362604141235352,0.0,5,0,0.0,True,4,2,36625
018,full,-6.991722106933594,0.0,5,0,0.0,True,4,3,37200
020,full,-6.2332000732421875,0.0,5,0,0.0,True,4,0,37636
021,full,-3.6048831939697266,0.0,5,0,0.0,True,3,0,35928
022,full,-3.384532928466797,0.0,5,0,0.0,True,5,2,41032
001,no_slip,-4.743199110031128,0.0,4,0,0.0,True,2,0,30783
002,no_slip,-7.2280120849609375,-0.1142578125,5,0,0.0,True,5,2,34846
006,no_slip,-7.403881072998047,0.0,5,0,0.0,True,3,1,32578
007,no_slip,-10.710853576660156,0.0,5,0,0.0,True,1,0,33858
008,no_slip,-4.346963882446289,1124687196.3867188,5,0,0.0,True,5,4,35517
009,no_slip,-8.395408630371094,-0.5154190063476562,5,0,0.0,True,4,2,36583
010,no_slip,-7.687732696533203,0.019361495971679688,5,0,0.0,True,2,0,35896
011,no_slip,-1.7982978820800781,1.5582695007324219,5,0,0.0,True,3,4,37302
014,no_slip,-5.207889556884766,0.01503753662109375,5,0,0.0,True,5,0,36099
017,no_slip,-5.362604141235352,0.0,5,0,0.0,True,4,1,33967
018,no_slip,-6.991722106933594,0.0,5,0,0.0,True,4,1,34371
020,no_slip,-6.2311859130859375,0.00201416015625,5,0,0.0,True,5,0,35630
021,no_slip,-3.6048831939697266,0.0,5,0,0.0,True,4,0,34569
022,no_slip,-3.384510040283203,2.288818359375e-05,5,0,0.0,True,5,2,37911
001,no_forbid,-4.959049940109253,-0.215850830078125,5,0,0.0,True,3,0,33216
002,no_forbid,-7.1137542724609375,0.0,5,0,0.0,True,4,2,36301
006,no_forbid,-7.403881072998047,0.0,5,0,0.0,True,3,1,33205
007,no_forbid,-10.732337951660156,-0.021484375,5,0,0.0,True,1,0,38288
008,no_forbid,-45282420.73368263,1079404780.0,5,0,0.0,True,5,3,42510
009,no_forbid,-7.9674224853515625,-0.087432861328125,5,0,0.0,True,4,3,37796
010,no_forbid,-7.707094192504883,0.0,3,0,0.0,True,2,0,28947
011,no_forbid,-3.3565673828125,0.0,5,0,0.0,True,4,4,37110
014,no_forbid,-5.207889556884766,0.01503753662109375,5,0,0.0,True,5,0,33798
017,no_forbid,-5.363460540771484,-0.0008563995361328125,5,0,0.0,True,4,1,38325
018,no_forbid,-6.991722106933594,0.0,5,0,0.0,True,3,3,35910
020,no_forbid,-6.2309417724609375,0.00225830078125,5,0,0.0,True,4,0,37594
021,no_forbid,-3.6018409729003906,0.0030422210693359375,5,0,0.0,True,4,0,36966
022,no_forbid,-3.3456077575683594,0.0389251708984375,5,0,0.0,True,5,1,39056
001,no_termination,-4.743168592453003,3.0517578125e-05,2,0,0.0,True,1,0,9412
002,no_termination,,,0,0,0,False,0,0,0
006,no_termination,,,0,0,0,False,0,0,0
007,no_termination,,,0,0,0,False,0,0,0
008,no_termination,,,0,0,0,False,0,0,0
009,no_termination,,,0,0,0,False,0,0,0
010,no_termination,,,0,0,0,False,0,0,0
011,no_termination,,,0,0,0,False,0,0,0
014,no_termination,,,0,0,0,False,0,0,0
017,no_termination,,,0,0,0,False,0,0,0
018,no_termination,,,0,0,0,False,0,0,0
020,no_termination,,,0,0,0,False,0,0,0
021,no_termination,,,0,0,0,False,0,0,0
022,no_termination,,,0,0,0,False,0,0,0
001,single_shot,,,0,0,0,False,0,0,0
002,single_shot,,,0,0,0,False,0,0,0
006,single_shot,,,0,0,0,False,0,0,0
007,single_shot,,,0,0,0,False,0,0,0
008,single_shot,,,0,0,0,False,0,0,0
009,single_shot,,,0,0,0,False,0,0,0
010,single_shot,,,0,0,0,False,0,0,0
011,single_shot,,,0,0,0,False,0,0,0
014,single_shot,,,0,0,0,False,0,0,0
017,single_shot,-5.362604141235352,0.0,1,0,0.0,True,1,0,2881
018,single_shot,,,0,0,0,False,0,0,0
020,single_shot,,,0,0,0,False,0,0,0
021,single_shot,,,0,0,0,False,0,0,0
022,single_shot,,,0,0,0,False,0,0,0
