case_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,status,best_energy_eV,iteration_count,max_attempts,perfect_count,dissociation_count,rearrangement_count,calc_failure_count,chemical_slip_count,final_site_type,converged_tag,wall_clock_sec,total_input_tokens,total_output_tokens,best_structure_file,generated_conformers_file,relaxation_trajectory_file
001,research/agent_eval/generated_slabs/ocd_gmae/001_ocd_596_Cr18Pt18_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-4.743199110031128,1,1,1,0,0,0,1,bridge,False,180.07259751483798,4799,1442,research/results/canonical_raw/ocd24_grok4_one_shot/001/artifacts/BEST_H_hollow_to_bridge_E-4.743.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/001/artifacts/relaxation.traj
002,research/agent_eval/generated_slabs/ocd_gmae/002_ocd_479_Ni6Sc36Te12_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-6.576652526855469,1,1,1,0,0,0,1,bridge,False,211.4526774957776,5004,1743,research/results/canonical_raw/ocd24_grok4_one_shot/002/artifacts/BEST_OH_ontop_to_bridge_E-6.577.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/002/artifacts/relaxation.traj
003,research/agent_eval/generated_slabs/ocd_gmae/003_ocd_735_Re27Ti27_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-10.633243560791016,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,717.5711414664984,5020,1663,research/results/canonical_raw/ocd24_grok4_one_shot/003/artifacts/BEST_NH2_bridge_to_hollow_FCC-No-Subsurf_E-10.633.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/003/artifacts/relaxation.traj
004,research/agent_eval/generated_slabs/ocd_gmae/004_ocd_118_Ge36V60_N_N.xyz,[N]=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=N on the provided surface.,compound,[N]=N,,GENERALIZATION,success,-10.13772201538086,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,1147.4430345408618,5195,1508,research/results/canonical_raw/ocd24_grok4_one_shot/004/artifacts/BEST_N_N_ontop_to_hollow_HCP-Subsurf-Atom_E-10.138.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/004/artifacts/relaxation.traj
005,research/agent_eval/generated_slabs/ocd_gmae/005_ocd_530_Co32Y48_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,success,-9.957316398620605,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,541.0141032747924,5148,1493,research/results/canonical_raw/ocd24_grok4_one_shot/005/artifacts/BEST_NH_bridge_to_hollow_FCC-No-Subsurf_E-9.957.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/005/artifacts/relaxation.traj
006,research/agent_eval/generated_slabs/ocd_gmae/006_ocd_338_Se72Ta36_N.xyz,N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES N on the provided surface.,compound,N,,GENERALIZATION,success,-7.403881072998047,1,1,1,0,0,0,0,ontop,False,762.7136307395995,4779,996,research/results/canonical_raw/ocd24_grok4_one_shot/006/artifacts/BEST_N_ontop_E-7.404.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/006/artifacts/relaxation.traj
007,research/agent_eval/generated_slabs/ocd_gmae/007_ocd_909_Mo36N36_N_O.xyz,[N]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=O on the provided surface.,compound,[N]=O,,GENERALIZATION,success,-10.710731506347656,1,1,1,0,0,0,0,ontop,False,869.1321599036455,4802,1238,research/results/canonical_raw/ocd24_grok4_one_shot/007/artifacts/BEST_N_O_ontop_E-10.711.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/007/artifacts/relaxation.traj
008,research/agent_eval/generated_slabs/ocd_gmae/008_ocd_16_Hf18Sc18Si36_NO.xyz,NO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES NO on the provided surface.,intermetallic,NO,,GENERALIZATION,failed,,1,1,0,1,0,0,1,,False,139.27194521948695,3849,940,research/results/canonical_raw/ocd24_grok4_one_shot/008/artifacts/BEST_NO_bridge_to_hollow_HCP-Subsurf-Atom_DISS_E-4.411.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/008/artifacts/relaxation.traj
009,research/agent_eval/generated_slabs/ocd_gmae/009_ocd_362_In18N18Ti36_O_N.xyz,O=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES O=N on the provided surface.,intermetallic,O=N,,GENERALIZATION,failed,,1,1,0,1,0,0,1,,False,741.7027121074498,5137,1760,research/results/canonical_raw/ocd24_grok4_one_shot/009/artifacts/BEST_O_N_ontop_to_hollow_HCP-Subsurf-Atom_DISS_E-11.352.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/009/artifacts/relaxation.traj
010,research/agent_eval/generated_slabs/ocd_gmae/010_ocd_201_Cr36N48_CH_O.xyz,[CH]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH]=O on the provided surface.,compound,[CH]=O,,GENERALIZATION,success,-7.707033157348633,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,743.0678892210126,5170,1445,research/results/canonical_raw/ocd24_grok4_one_shot/010/artifacts/BEST_CH_O_ontop_to_hollow_HCP-Subsurf-Atom_E-7.707.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/010/artifacts/relaxation.traj
011,research/agent_eval/generated_slabs/ocd_gmae/011_ocd_10_Hf16Zn48_C_O_C.xyz,C(=O)C,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C(=O)C on the provided surface.,intermetallic,C(=O)C,,GENERALIZATION,failed,,1,1,0,1,0,0,1,,False,285.9906531125307,5292,1867,research/results/canonical_raw/ocd24_grok4_one_shot/011/artifacts/BEST_C(_O)C_bridge_to_hollow_HCP-Subsurf-Atom_DISS_E-4.104.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/011/artifacts/relaxation.traj
012,research/agent_eval/generated_slabs/ocd_gmae/012_ocd_114_Ag24In12Sc12_CO.xyz,CO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES CO on the provided surface.,intermetallic,CO,,GENERALIZATION,success,-2.359823226928711,1,1,1,0,0,0,1,ontop,False,415.43425691500306,4948,1558,research/results/canonical_raw/ocd24_grok4_one_shot/012/artifacts/BEST_CO_ontop_E-2.360.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/012/artifacts/relaxation.traj
013,research/agent_eval/generated_slabs/ocd_gmae/013_ocd_181_Cu32Se64W16_C_C_O.xyz,C(C)O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C(C)O on the provided surface.,intermetallic,C(C)O,,GENERALIZATION,success,-9.077659606933594,1,1,1,0,0,0,0,ontop,False,554.4214098490775,4860,1250,research/results/canonical_raw/ocd24_grok4_one_shot/013/artifacts/BEST_C(C)O_ontop_E-9.078.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/013/artifacts/relaxation.traj
014,research/agent_eval/generated_slabs/ocd_gmae/014_ocd_275_Cd20Y20_C_O.xyz,C[O],Find the lowest-energy adsorption configuration for the adsorbate with SMILES C[O] on the provided surface.,intermetallic,C[O],,GENERALIZATION,success,-5.20787239074707,1,1,1,0,0,0,1,bridge,False,363.8085088133812,4919,1294,research/results/canonical_raw/ocd24_grok4_one_shot/014/artifacts/BEST_CO_ontop_to_bridge_E-5.208.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/014/artifacts/relaxation.traj
015,research/agent_eval/generated_slabs/ocd_gmae/015_ocd_665_Ga16Mn32V16_CH2_O.xyz,[CH2][O],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH2][O] on the provided surface.,intermetallic,[CH2][O],,GENERALIZATION,success,-1.351470947265625,1,1,1,0,0,0,1,bridge,False,103.76008385792375,5333,1848,research/results/canonical_raw/ocd24_grok4_one_shot/015/artifacts/BEST_CH2O_bridge_E-1.351.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/015/artifacts/relaxation.traj
016,research/agent_eval/generated_slabs/ocd_gmae/016_ocd_810_Pd32Sb64_C_CH2_O.xyz,C([CH2])O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C([CH2])O on the provided surface.,intermetallic,C([CH2])O,,GENERALIZATION,success,-12.998695373535156,1,1,1,0,0,0,1,ontop,False,144.76268280297518,4880,887,research/results/canonical_raw/ocd24_grok4_one_shot/016/artifacts/BEST_C(CH2)O_bridge_to_ontop_E-12.999.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/016/artifacts/relaxation.traj
017,research/agent_eval/generated_slabs/ocd_gmae/017_ocd_573_Fe16Si24Zr24_CH3.xyz,[CH3],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH3] on the provided surface.,intermetallic,[CH3],,GENERALIZATION,success,-5.362604141235352,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,79.39441942796111,5207,1677,research/results/canonical_raw/ocd24_grok4_one_shot/017/artifacts/BEST_CH3_ontop_to_hollow_HCP-Subsurf-Atom_E-5.363.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/017/artifacts/relaxation.traj
018,research/agent_eval/generated_slabs/ocd_gmae/018_ocd_502_Hf40Sb24Zn8_CH2_C.xyz,[CH2]C,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH2]C on the provided surface.,intermetallic,[CH2]C,,GENERALIZATION,success,-6.991722106933594,1,1,1,0,0,0,1,bridge,False,113.38415956497192,5182,1509,research/results/canonical_raw/ocd24_grok4_one_shot/018/artifacts/BEST_CH2C_ontop_to_bridge_E-6.992.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/018/artifacts/relaxation.traj
019,research/agent_eval/generated_slabs/ocd_gmae/019_ocd_768_Ga24Y24_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-3.3380630016326904,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,109.7750932611525,4879,1578,research/results/canonical_raw/ocd24_grok4_one_shot/019/artifacts/BEST_H_ontop_to_hollow_FCC-No-Subsurf_E-3.338.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/019/artifacts/relaxation.traj
020,research/agent_eval/generated_slabs/ocd_gmae/020_ocd_513_Pd24Zr24_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-6.2419586181640625,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,125.33711352571845,5134,1778,research/results/canonical_raw/ocd24_grok4_one_shot/020/artifacts/BEST_OH_hollow_to_hollow_FCC-No-Subsurf_E-6.242.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/020/artifacts/relaxation.traj
021,research/agent_eval/generated_slabs/ocd_gmae/021_ocd_242_Fe20Mn20P20_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-3.4414615631103516,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,81.09536389634013,5009,1418,research/results/canonical_raw/ocd24_grok4_one_shot/021/artifacts/BEST_NH2_ontop_to_hollow_HCP-Subsurf-Atom_E-3.441.xyz,,research/results/canonical_raw/ocd24_grok4_one_shot/021/artifacts/relaxation.traj
