case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.743168592453003,0.0,2,0,0.0,True,2,0,15342
002,full,-7.2280120849609375,0.0,5,0,0.0,True,4,1,31040
006,full,-7.403881072998047,0.0,5,0,0.0,True,3,1,26076
007,full,-10.713539123535156,0.0,4,0,0.0,True,1,0,26388
008,full,-4.346961975097656,0.0,5,0,0.0,True,5,4,32683
009,full,-8.870079040527344,0.0,5,0,0.0,True,5,2,32152
010,full,-7.707094192504883,0.0,3,0,0.0,True,1,0,22351
011,full,-4.284637451171875,0.0,5,0,0.0,True,3,1,29811
014,full,-5.222879409790039,0.0,5,0,0.0,True,4,0,28237
017,full,-5.362604141235352,0.0,5,0,0.0,True,4,2,30670
018,full,-6.991722106933594,0.0,5,0,0.0,True,4,3,30227
020,full,-6.2419586181640625,0.0,5,0,0.0,True,4,0,31404
021,full,-3.6048831939697266,0.0,5,0,0.0,True,3,0,28204
022,full,-3.3456077575683594,0.0,5,0,0.0,True,5,2,32307
001,no_slip,-4.741734266281128,0.001434326171875,4,0,0.0,True,1,0,25313
002,no_slip,-7.2280120849609375,0.0,5,0,0.0,True,4,1,27221
006,no_slip,-7.403881072998047,0.0,5,0,0.0,True,3,1,24368
007,no_slip,-10.710975646972656,0.0025634765625,4,0,0.0,True,1,0,25429
008,no_slip,-4.346961975097656,0.0,5,0,0.0,True,4,4,29382
009,no_slip,-6.6915435791015625,2.1785354614257812,5,0,0.0,True,5,2,30888
010,no_slip,-7.707033157348633,6.103515625e-05,5,0,0.0,True,3,0,26934
011,no_slip,-4.284698486328125,-6.103515625e-05,5,0,0.0,True,3,1,28493
014,no_slip,-5.207887649536133,0.01499176025390625,2,0,0.0,True,2,0,14865
017,no_slip,-5.363460540771484,-0.0008563995361328125,5,0,0.0,True,4,1,28947
018,no_slip,-6.991722106933594,0.0,5,0,0.0,True,4,2,28119
020,no_slip,-6.2310943603515625,0.0108642578125,3,0,0.0,True,2,0,21937
021,no_slip,-3.5104408264160156,0.09444236755371094,5,0,0.0,True,4,0,27179
022,no_slip,-3.3845176696777344,-0.038909912109375,5,0,0.0,True,5,2,30435
001,no_forbid,-4.743168592453003,0.0,3,0,0.0,True,1,0,20331
002,no_forbid,-7.2280120849609375,0.0,5,0,0.0,True,4,0,27935
006,no_forbid,-7.403881072998047,0.0,5,0,0.0,True,3,1,25097
007,no_forbid,-10.713539123535156,0.0,4,0,0.0,True,1,0,25920
008,no_forbid,-4.346961975097656,0.0,5,0,0.0,True,5,4,31557
009,no_forbid,-7.6201934814453125,1.2498855590820312,5,0,0.0,True,4,2,31959
010,no_forbid,-7.707094192504883,0.0,2,0,0.0,True,1,0,16038
011,no_forbid,-4.284576416015625,6.103515625e-05,5,0,0.0,True,2,1,29739
014,no_forbid,-5.222864151000977,1.52587890625e-05,5,0,0.0,True,4,0,27009
017,no_forbid,-5.363460540771484,-0.0008563995361328125,5,0,0.0,True,4,1,29260
018,no_forbid,-6.991722106933594,0.0,5,0,0.0,True,4,2,29134
020,no_forbid,-6.176261901855469,0.06569671630859375,3,0,0.0,True,2,0,22166
021,no_forbid,-3.5104408264160156,0.09444236755371094,5,0,0.0,True,4,0,29326
022,no_forbid,-3.345600128173828,7.62939453125e-06,5,0,0.0,True,5,2,31663
001,no_termination,-4.743168592453003,0.0,5,0,0.0,True,2,0,26181
002,no_termination,-7.2280120849609375,0.0,5,0,0.0,True,4,1,28942
006,no_termination,-7.403881072998047,0.0,5,0,0.0,True,3,1,24813
007,no_termination,-10.710975646972656,0.0025634765625,5,0,0.0,True,1,0,24781
008,no_termination,,,5,0,0.0,False,4,5,28931
009,no_termination,-8.408592224121094,0.46148681640625,5,0,0.0,True,5,1,31230
010,no_termination,-7.707094192504883,0.0,5,0,0.0,True,4,0,28445
011,no_termination,-4.284576416015625,6.103515625e-05,5,0,0.0,True,3,1,28690
014,no_termination,-5.222848892211914,3.0517578125e-05,5,0,0.0,True,4,0,27549
017,no_termination,-5.362604141235352,0.0,5,0,0.0,True,3,1,29471
018,no_termination,-6.991722106933594,0.0,5,0,0.0,True,3,2,28731
020,no_termination,-6.2310943603515625,0.0108642578125,5,0,0.0,True,4,0,28603
021,no_termination,-3.6048831939697266,0.0,5,0,0.0,True,3,0,27508
022,no_termination,-3.3456077575683594,0.0,5,0,0.0,True,5,2,30371
001,single_shot,-4.743168592453003,0.0,1,0,0.0,True,1,0,4315
002,single_shot,,,1,0,0.0,False,1,1,4767
006,single_shot,-7.403881072998047,0.0,1,0,0.0,True,0,0,4274
007,single_shot,-10.710975646972656,0.0025634765625,1,0,0.0,True,0,0,4318
008,single_shot,-4.346961975097656,0.0,1,0,0.0,True,1,0,4829
009,single_shot,,,1,0,0.0,False,1,1,4766
010,single_shot,-7.707094192504883,0.0,1,0,0.0,True,1,0,4544
011,single_shot,,,1,0,0.0,False,0,1,4609
014,single_shot,-5.207887649536133,0.01499176025390625,1,0,0.0,True,1,0,4363
017,single_shot,,,1,0,0.0,False,0,1,4705
018,single_shot,-6.991722106933594,0.0,1,0,0.0,True,1,0,4644
020,single_shot,-6.176261901855469,0.06569671630859375,1,0,0.0,True,1,0,4522
021,single_shot,-3.4414615631103516,0.163421630859375,1,0,0.0,True,1,0,4595
022,single_shot,,,1,0,0.0,False,1,1,4735
