case_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,status,best_energy_eV,iteration_count,max_attempts,perfect_count,dissociation_count,rearrangement_count,calc_failure_count,chemical_slip_count,final_site_type,converged_tag,wall_clock_sec,total_input_tokens,total_output_tokens,best_structure_file,generated_conformers_file,relaxation_trajectory_file
001,research/agent_eval/generated_slabs/ocd_gmae/001_ocd_596_Cr18Pt18_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-4.743168592453003,1,1,1,0,0,0,1,bridge,False,28.799715254455805,3494,893,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/001/artifacts/BEST_H_hollow_to_bridge_E-4.743.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/001/artifacts/relaxation.traj
002,research/agent_eval/generated_slabs/ocd_gmae/002_ocd_479_Ni6Sc36Te12_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,failed,,1,1,0,1,0,0,1,,False,175.35441632196307,3739,954,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/002/artifacts/BEST_OH_ontop_to_hollow_HCP-Subsurf-Atom_DISS_E-9.476.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/002/artifacts/relaxation.traj
003,research/agent_eval/generated_slabs/ocd_gmae/003_ocd_735_Re27Ti27_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-11.657953262329102,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,665.41942781955,3783,1271,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/003/artifacts/BEST_NH2_ontop_to_hollow_FCC-No-Subsurf_E-11.658.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/003/artifacts/relaxation.traj
004,research/agent_eval/generated_slabs/ocd_gmae/004_ocd_118_Ge36V60_N_N.xyz,[N]=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=N on the provided surface.,compound,[N]=N,,GENERALIZATION,success,-8.813106536865234,1,1,1,0,0,0,1,bridge,False,230.9724687486887,4028,1289,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/004/artifacts/BEST_N_N_bridge_E-8.813.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/004/artifacts/relaxation.traj
005,research/agent_eval/generated_slabs/ocd_gmae/005_ocd_530_Co32Y48_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,success,-10.011088371276855,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,62.28788003325462,3826,1313,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/005/artifacts/BEST_NH_hollow_to_hollow_FCC-No-Subsurf_E-10.011.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/005/artifacts/relaxation.traj
006,research/agent_eval/generated_slabs/ocd_gmae/006_ocd_338_Se72Ta36_N.xyz,N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES N on the provided surface.,compound,N,,GENERALIZATION,success,-7.403881072998047,1,1,1,0,0,0,0,ontop,False,758.8167161010206,3510,766,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/006/artifacts/BEST_N_ontop_E-7.404.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/006/artifacts/relaxation.traj
007,research/agent_eval/generated_slabs/ocd_gmae/007_ocd_909_Mo36N36_N_O.xyz,[N]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=O on the provided surface.,compound,[N]=O,,GENERALIZATION,success,-10.710731506347656,1,1,1,0,0,0,0,ontop,False,630.5335305780172,3573,842,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/007/artifacts/BEST_N_O_ontop_E-10.711.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/007/artifacts/relaxation.traj
008,research/agent_eval/generated_slabs/ocd_gmae/008_ocd_16_Hf18Sc18Si36_NO.xyz,NO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES NO on the provided surface.,intermetallic,NO,,GENERALIZATION,success,-4.346961975097656,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,270.31038708239794,3868,1089,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/008/artifacts/BEST_NO_ontop_to_hollow_HCP-Subsurf-Atom_E-4.347.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/008/artifacts/relaxation.traj
009,research/agent_eval/generated_slabs/ocd_gmae/009_ocd_362_In18N18Ti36_O_N.xyz,O=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES O=N on the provided surface.,intermetallic,O=N,,GENERALIZATION,failed,,1,1,0,1,0,0,1,,False,267.11931025236845,3860,1087,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/009/artifacts/BEST_O_N_ontop_to_hollow_HCP-Subsurf-Atom_DISS_E-11.352.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/009/artifacts/relaxation.traj
010,research/agent_eval/generated_slabs/ocd_gmae/010_ocd_201_Cr36N48_CH_O.xyz,[CH]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH]=O on the provided surface.,compound,[CH]=O,,GENERALIZATION,success,-7.707033157348633,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,553.5618520304561,3729,1056,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/010/artifacts/BEST_CH_O_ontop_to_hollow_HCP-Subsurf-Atom_E-7.707.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/010/artifacts/relaxation.traj
011,research/agent_eval/generated_slabs/ocd_gmae/011_ocd_10_Hf16Zn48_C_O_C.xyz,C(=O)C,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C(=O)C on the provided surface.,intermetallic,C(=O)C,,GENERALIZATION,failed,,1,1,0,1,0,0,0,,False,502.7893439158797,3785,1057,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/011/artifacts/BEST_C(_O)C_ontop_DISS_E-5.065.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/011/artifacts/relaxation.traj
012,research/agent_eval/generated_slabs/ocd_gmae/012_ocd_114_Ag24In12Sc12_CO.xyz,CO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES CO on the provided surface.,intermetallic,CO,,GENERALIZATION,success,-2.2730464935302734,1,1,1,0,0,0,0,ontop,False,287.2176570147276,3700,912,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/012/artifacts/BEST_CO_ontop_E-2.273.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/012/artifacts/relaxation.traj
013,research/agent_eval/generated_slabs/ocd_gmae/013_ocd_181_Cu32Se64W16_C_C_O.xyz,C(C)O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C(C)O on the provided surface.,intermetallic,C(C)O,,GENERALIZATION,success,-8.988121032714844,1,1,1,0,0,0,1,bridge,False,97.13383598253131,3782,1305,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/013/artifacts/BEST_C(C)O_ontop_to_bridge_E-8.988.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/013/artifacts/relaxation.traj
014,research/agent_eval/generated_slabs/ocd_gmae/014_ocd_275_Cd20Y20_C_O.xyz,C[O],Find the lowest-energy adsorption configuration for the adsorbate with SMILES C[O] on the provided surface.,intermetallic,C[O],,GENERALIZATION,success,-5.207887649536133,1,1,1,0,0,0,1,bridge,False,86.36221556738019,3615,984,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/014/artifacts/BEST_CO_ontop_to_bridge_E-5.208.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/014/artifacts/relaxation.traj
015,research/agent_eval/generated_slabs/ocd_gmae/015_ocd_665_Ga16Mn32V16_CH2_O.xyz,[CH2][O],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH2][O] on the provided surface.,intermetallic,[CH2][O],,GENERALIZATION,success,-1.5704212188720703,1,1,1,0,0,0,0,hollow (inferred),False,730.0347679071128,3708,1171,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/015/artifacts/BEST_CH2O_ontop_to_hollow_inferred_E-1.570.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/015/artifacts/relaxation.traj
016,research/agent_eval/generated_slabs/ocd_gmae/016_ocd_810_Pd32Sb64_C_CH2_O.xyz,C([CH2])O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C([CH2])O on the provided surface.,intermetallic,C([CH2])O,,GENERALIZATION,success,-12.920936584472656,1,1,1,0,0,0,0,ontop,False,672.2111578062177,3782,1037,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/016/artifacts/BEST_C(CH2)O_ontop_E-12.921.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/016/artifacts/relaxation.traj
017,research/agent_eval/generated_slabs/ocd_gmae/017_ocd_573_Fe16Si24Zr24_CH3.xyz,[CH3],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH3] on the provided surface.,intermetallic,[CH3],,GENERALIZATION,success,-5.362604141235352,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,99.33340415731072,3711,1174,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/017/artifacts/BEST_CH3_ontop_to_hollow_HCP-Subsurf-Atom_E-5.363.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/017/artifacts/relaxation.traj
018,research/agent_eval/generated_slabs/ocd_gmae/018_ocd_502_Hf40Sb24Zn8_CH2_C.xyz,[CH2]C,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH2]C on the provided surface.,intermetallic,[CH2]C,,GENERALIZATION,success,-6.991722106933594,1,1,1,0,0,0,1,bridge,False,259.7769935466349,3956,1080,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/018/artifacts/BEST_CH2C_ontop_to_bridge_E-6.992.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/018/artifacts/relaxation.traj
019,research/agent_eval/generated_slabs/ocd_gmae/019_ocd_768_Ga24Y24_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-3.5041396617889404,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,120.48286497220397,3582,1096,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/019/artifacts/BEST_H_hollow_to_hollow_FCC-No-Subsurf_E-3.504.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/019/artifacts/relaxation.traj
020,research/agent_eval/generated_slabs/ocd_gmae/020_ocd_513_Pd24Zr24_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-6.176261901855469,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,323.3728889003396,3718,1056,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/020/artifacts/BEST_OH_ontop_to_hollow_HCP-Subsurf-Atom_E-6.176.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/020/artifacts/relaxation.traj
021,research/agent_eval/generated_slabs/ocd_gmae/021_ocd_242_Fe20Mn20P20_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-3.4414615631103516,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,241.62119952589273,3758,1180,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/021/artifacts/BEST_NH2_ontop_to_hollow_HCP-Subsurf-Atom_E-3.441.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/021/artifacts/relaxation.traj
022,research/agent_eval/generated_slabs/ocd_gmae/022_ocd_94_Ag18Sr27_N_N.xyz,[N]=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=N on the provided surface.,intermetallic,[N]=N,,GENERALIZATION,success,-3.3845176696777344,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,104.706766448915,4073,1318,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/022/artifacts/BEST_N_N_bridge_to_hollow_FCC-No-Subsurf_E-3.385.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/022/artifacts/relaxation.traj
023,research/agent_eval/generated_slabs/ocd_gmae/023_ocd_108_Ru60Ta20_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,success,-14.256022453308105,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,157.79015503451228,3768,1374,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/023/artifacts/BEST_NH_hollow_to_hollow_FCC-No-Subsurf_E-14.256.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/023/artifacts/relaxation.traj
024,research/agent_eval/generated_slabs/ocd_gmae/024_ocd_76_In10N10Ti30_N.xyz,N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES N on the provided surface.,intermetallic,N,,GENERALIZATION,success,-3.376506805419922,1,1,1,0,0,0,0,ontop,False,350.1502807699144,3624,856,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/024/artifacts/BEST_N_ontop_E-3.377.xyz,,research/results/canonical_raw/ocd24_openai_gpt54_one_shot/024/artifacts/relaxation.traj
