case_id,slab_file,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,datasets/ocd62/001_ocd_10_Hf16Zn48_C_O_C.xyz,single_shot,-4.357383728027344,-1.0008163452148438,1,0,0.0,True,1,0,12599
002,datasets/ocd62/002_ocd_16_Hf18Sc18Si36_NO.xyz,,,,,,,,,0,
003,datasets/ocd62/003_ocd_31_Cd24Pd24_NO.xyz,,,,,,,,,0,
004,datasets/ocd62/004_ocd_46_Pt16V48_N_O.xyz,,,,,,,,,0,
005,datasets/ocd62/005_ocd_70_As48Hf48Ni48_NH2.xyz,,,,,,,,,0,
006,datasets/ocd62/006_ocd_76_In10N10Ti30_N.xyz,single_shot,-3.376506805419922,0.33936500549316406,1,0,0.0,True,0,0,6536
007,datasets/ocd62/007_ocd_84_Mo18S72W18_O_N.xyz,,,,,,,,,0,
008,datasets/ocd62/008_ocd_87_Ga12Pd36_NH.xyz,,,,,,,,,0,
009,datasets/ocd62/009_ocd_88_Ge24Zr40_CH_O.xyz,,,,,,,,,0,
010,datasets/ocd62/010_ocd_94_Ag18Sr27_N_N.xyz,,,,,,,,,0,
011,datasets/ocd62/011_ocd_105_Se48Sn48_CO.xyz,,,,,,,,,0,
012,datasets/ocd62/012_ocd_108_Ru60Ta20_NH.xyz,,,,,,,,,0,
013,datasets/ocd62/013_ocd_114_Ag24In12Sc12_CO.xyz,single_shot,-2.359823226928711,0.41265869140625,1,0,0.0,True,1,0,6506
014,datasets/ocd62/014_ocd_118_Ge36V60_N_N.xyz,single_shot,-10.13772201538086,0.0,1,0,0.0,True,1,0,6703
015,datasets/ocd62/015_ocd_130_Ge16Mn48_C_O_C.xyz,,,,,,,,,1,
016,datasets/ocd62/016_ocd_181_Cu32Se64W16_C_C_O.xyz,,,,,,,,,0,
017,datasets/ocd62/017_ocd_183_Pb24Y8_N_O.xyz,,,,,,,,,0,
018,datasets/ocd62/018_ocd_192_Si8Ta16V24_N_N.xyz,,,,,,,,,0,
