case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.284637451171875,0.0,5,0,0.0,True,3,1,29811
001,no_slip,-4.284698486328125,-6.103515625e-05,5,0,0.0,True,3,1,28493
001,no_forbid,-4.284576416015625,6.103515625e-05,5,0,0.0,True,2,1,29739
001,no_termination,-4.284576416015625,6.103515625e-05,5,0,0.0,True,3,1,28690
002,full,-4.346961975097656,0.0,5,0,0.0,True,3,3,31727
002,no_slip,-4.346961975097656,,5,0,0.0,True,5,4,28591
002,no_forbid,-4.346961975097656,,5,0,0.0,True,3,4,31890
002,no_termination,-4.346961975097656,,5,0,0.0,True,5,3,31550
003,full,-3.2887935638427734,0.0,5,0,0.0,True,5,0,30325
003,no_slip,-3.288808822631836,,5,0,0.0,True,5,0,28051
003,no_forbid,-3.277761459350586,,5,0,0.0,True,5,1,30364
003,no_termination,-3.288808822631836,,5,0,0.0,True,5,1,28678
004,full,-7.176612854003906,0.0,5,0,0.0,True,4,0,30061
004,no_slip,-7.176612854003906,,5,0,0.0,True,4,0,25209
004,no_forbid,-7.176612854003906,,5,0,0.0,True,4,0,28004
004,no_termination,-7.159950256347656,,5,0,0.0,True,5,0,26776
005,full,-10.075138092041016,0.0,5,0,0.0,True,3,0,27909
005,no_slip,-10.075138092041016,,5,0,0.0,True,2,0,26540
005,no_forbid,-10.075138092041016,,5,0,0.0,True,3,0,28194
005,no_termination,-10.075260162353516,,5,0,0.0,True,2,0,26634
006,full,-3.715871810913086,0.0,5,0,0.0,True,3,1,27419
006,no_slip,-3.715871810913086,0.0,5,0,0.0,True,2,0,26347
006,no_forbid,-3.715871810913086,0.0,4,0,0.0,True,2,0,27771
006,no_termination,-3.715871810913086,0.0,5,0,0.0,True,3,1,26388
007,full,-19.716903686523438,0.0,5,0,0.0,True,3,2,28725
007,no_slip,-19.925071716308594,,5,0,0.0,True,2,2,26555
007,no_forbid,-19.789199829101562,,5,0,0.0,True,2,0,28687
007,no_termination,-19.717391967773438,,5,0,0.0,True,3,2,26590
008,full,-7.4804487228393555,0.0,3,0,0.0,True,2,0,22117
008,no_slip,-8.466697692871094,,5,0,0.0,True,4,0,27477
008,no_forbid,-7.477747917175293,,3,0,0.0,True,2,0,21577
008,no_termination,-8.466484069824219,,5,0,0.0,True,4,0,27822
009,full,-4.292024612426758,0.0,3,0,0.0,True,2,1,23916
009,no_slip,-4.292024612426758,,5,0,0.0,True,4,1,27624
009,no_forbid,-4.291963577270508,,5,0,0.0,True,4,1,31592
009,no_termination,-4.276355743408203,,5,0,0.0,True,4,2,30718
010,full,-3.3845252990722656,0.0,5,0,0.0,True,5,2,35336
010,no_slip,-3.3456077575683594,,5,0,0.0,True,5,2,27296
010,no_forbid,-3.3845176696777344,,5,0,0.0,True,5,2,31752
010,no_termination,-3.345592498779297,,5,0,0.0,True,5,2,29735
011,full,-4.418554306030273,0.0,2,0,0.0,True,0,0,14986
011,no_slip,-4.36711311340332,,4,0,0.0,True,2,1,24729
011,no_forbid,-4.36711311340332,,5,0,0.0,True,2,0,27343
011,no_termination,-4.418554306030273,,5,0,0.0,True,3,1,25171
012,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,31375
012,no_slip,-14.549540519714355,,4,0,0.0,True,4,0,26839
012,no_forbid,-14.549540519714355,,5,0,0.0,True,5,0,29767
012,no_termination,-14.549540519714355,,5,0,0.0,True,5,0,30305
013,full,-2.768667221069336,0.0,5,0,0.0,True,3,1,28609
013,no_slip,-2.6933975219726562,0.07526969909667969,5,0,0.0,True,2,1,25385
013,no_forbid,-2.746053695678711,0.022613525390625,5,0,0.0,True,4,1,26881
013,no_termination,-2.6935501098632812,0.07511711120605469,5,0,0.0,True,4,1,26945
014,full,-11.384456634521484,0.0,5,0,0.0,True,5,1,32637
014,no_slip,-11.384395599365234,6.103515625e-05,5,0,0.0,True,4,0,29214
014,no_forbid,-10.396541595458984,0.9879150390625,3,0,0.0,True,3,0,23684
014,no_termination,-11.384395599365234,6.103515625e-05,5,0,0.0,True,5,2,31758
015,full,-1.094757080078125,0.0,4,0,0.0,True,2,2,29572
015,no_slip,-1.094757080078125,,4,0,0.0,True,2,2,26618
015,no_forbid,-1.005523681640625,,3,0,0.0,True,2,2,22937
015,no_termination,-1.094757080078125,,5,0,0.0,True,3,3,32786
016,full,-10.361473083496094,0.0,5,0,0.0,True,3,1,28689
016,no_slip,-10.241889953613281,,5,0,0.0,True,2,0,26729
016,no_forbid,-10.363121032714844,,5,0,0.0,True,3,1,27824
016,no_termination,-10.361473083496094,,5,0,0.0,True,3,1,26915
017,full,-2.7164840698242188,0.0,5,0,0.0,True,4,0,29892
017,no_slip,-2.7164840698242188,,2,0,0.0,True,2,0,15550
017,no_forbid,-2.7164840698242188,,5,0,0.0,True,4,0,29913
017,no_termination,-2.7175064086914062,,5,0,0.0,True,4,0,28350
018,full,-7.854701995849609,0.0,5,0,0.0,True,4,1,31986
018,no_slip,-7.854701995849609,,5,0,0.0,True,4,0,29577
018,no_forbid,-7.563686370849609,,5,0,0.0,True,4,1,31925
018,no_termination,-7.724544525146484,,5,0,0.0,True,5,1,32469
019,full,-2.4862289428710938,0.0,5,0,0.0,True,4,1,30686
019,no_slip,-2.5004806518554688,,5,0,0.0,True,3,1,27471
019,no_forbid,-2.5005111694335938,,5,0,0.0,True,2,0,29324
019,no_termination,-2.4863510131835938,,5,0,0.0,True,4,1,29811
020,full,-7.707094192504883,0.0,3,0,0.0,True,2,0,23262
020,no_slip,-7.707094192504883,,5,0,0.0,True,3,0,26852
020,no_forbid,-7.707094192504883,,2,0,0.0,True,1,0,16436
020,no_termination,-7.707094192504883,,5,0,0.0,True,3,0,28610
021,full,-4.700778961181641,0.0,5,0,0.0,True,5,0,30309
021,no_slip,-5.017307281494141,,5,0,0.0,True,4,0,25902
021,no_forbid,-4.937219619750977,,5,0,0.0,True,5,0,28957
021,no_termination,-4.938257217407227,,5,0,0.0,True,4,0,28496
022,full,-3.6048831939697266,0.0,5,0,0.0,True,3,0,28204
022,no_slip,-3.5104408264160156,0.09444236755371094,5,0,0.0,True,4,0,27179
022,no_forbid,-3.5104408264160156,0.09444236755371094,5,0,0.0,True,4,0,29326
022,no_termination,-3.6048831939697266,0.0,5,0,0.0,True,3,0,27508
023,full,-3.6074676513671875,0.0,5,0,0.0,True,2,0,28028
023,no_slip,-3.607513427734375,,5,0,0.0,True,1,0,27087
023,no_forbid,-3.6072845458984375,,5,0,0.0,True,2,0,28372
023,no_termination,-3.607513427734375,,5,0,0.0,True,2,0,25841
024,full,-5.222879409790039,0.0,5,0,0.0,True,4,0,28237
024,no_slip,-5.207887649536133,0.01499176025390625,2,0,0.0,True,2,0,14865
024,no_forbid,-5.222864151000977,1.52587890625e-05,5,0,0.0,True,4,0,27009
024,no_termination,-5.222848892211914,3.0517578125e-05,5,0,0.0,True,4,0,27549
025,full,-3.493144989013672,0.0,5,0,0.0,True,3,0,26314
025,no_slip,-3.493206024169922,,5,0,0.0,True,2,0,25530
025,no_forbid,-3.549367904663086,,5,0,0.0,True,3,0,25862
