case_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,status,best_energy_eV,iteration_count,max_attempts,perfect_count,dissociation_count,rearrangement_count,calc_failure_count,chemical_slip_count,final_site_type,converged_tag,wall_clock_sec,total_input_tokens,total_output_tokens,best_structure_file,generated_conformers_file,relaxation_trajectory_file
001,datasets/ocd62_overlap12/001_ocd_16_Hf18Sc18Si36_NO.xyz,NO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES NO on the provided surface.,intermetallic,NO,,GENERALIZATION,success,-4.346961975097656,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,149.54063515737653,4095,2920,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/001/artifacts/BEST_NO_ontop_to_hollow_HCP-Subsurf-Atom_E-4.347.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/001/artifacts/relaxation.traj
002,datasets/ocd62_overlap12/002_ocd_94_Ag18Sr27_N_N.xyz,[N]=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=N on the provided surface.,intermetallic,[N]=N,,GENERALIZATION,success,-2.735858917236328,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,93.68013216555119,3903,3603,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/002/artifacts/BEST_N_N_ontop_to_hollow_FCC-No-Subsurf_E-2.736.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/002/artifacts/relaxation.traj
003,datasets/ocd62_overlap12/003_ocd_108_Ru60Ta20_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,success,-14.256022453308105,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,57.44263757765293,3997,3158,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/003/artifacts/BEST_NH_hollow_to_hollow_FCC-No-Subsurf_E-14.256.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/003/artifacts/relaxation.traj
004,datasets/ocd62_overlap12/004_ocd_181_Cu32Se64W16_C_C_O.xyz,C(C)O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C(C)O on the provided surface.,intermetallic,C(C)O,,GENERALIZATION,success,-9.077598571777344,1,1,1,0,0,0,0,ontop,False,898.744466688484,3993,3149,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/004/artifacts/BEST_C(C)O_ontop_E-9.078.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/004/artifacts/relaxation.traj
005,datasets/ocd62_overlap12/005_ocd_201_Cr36N48_CH_O.xyz,[CH]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH]=O on the provided surface.,compound,[CH]=O,,GENERALIZATION,success,-7.707094192504883,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,474.1797124296427,4052,4158,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/005/artifacts/BEST_CH_O_ontop_to_hollow_HCP-Subsurf-Atom_E-7.707.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/005/artifacts/relaxation.traj
006,datasets/ocd62_overlap12/006_ocd_362_In18N18Ti36_O_N.xyz,O=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES O=N on the provided surface.,intermetallic,O=N,,GENERALIZATION,failed,,1,1,0,1,0,0,1,,False,440.94568617269397,4064,3331,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/006/artifacts/BEST_O_N_ontop_to_hollow_HCP-Subsurf-Atom_DISS_E-11.352.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/006/artifacts/relaxation.traj
007,datasets/ocd62_overlap12/007_ocd_479_Ni6Sc36Te12_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,failed,,1,1,0,1,0,0,1,,False,433.1483985930681,4006,3011,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/007/artifacts/BEST_OH_ontop_to_hollow_HCP-Subsurf-Atom_DISS_E-9.476.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/007/artifacts/relaxation.traj
008,datasets/ocd62_overlap12/008_ocd_513_Pd24Zr24_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-6.2310638427734375,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,91.82307287305593,4110,4208,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/008/artifacts/BEST_OH_hollow_to_hollow_HCP-Subsurf-Atom_E-6.231.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/008/artifacts/relaxation.traj
009,datasets/ocd62_overlap12/009_ocd_530_Co32Y48_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,success,-9.957316398620605,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,195.88335328549147,3985,3023,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/009/artifacts/BEST_NH_bridge_to_hollow_FCC-No-Subsurf_E-9.957.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/009/artifacts/relaxation.traj
010,datasets/ocd62_overlap12/010_ocd_596_Cr18Pt18_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-4.743199110031128,1,1,1,0,0,0,1,bridge,False,55.422717072069645,3688,3162,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/010/artifacts/BEST_H_hollow_to_bridge_E-4.743.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/010/artifacts/relaxation.traj
011,datasets/ocd62_overlap12/011_ocd_735_Re27Ti27_NH2.xyz,[NH2],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH2] on the provided surface.,intermetallic,[NH2],,GENERALIZATION,success,-6.983524322509766,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,76.9184655584395,4273,3727,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/011/artifacts/BEST_NH2_hollow_to_hollow_HCP-Subsurf-Atom_E-6.984.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/011/artifacts/relaxation.traj
012,datasets/ocd62_overlap12/012_ocd_768_Ga24Y24_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-3.5041396617889404,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,65.41308067366481,3856,3157,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/012/artifacts/BEST_H_hollow_to_hollow_FCC-No-Subsurf_E-3.504.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/gemini_ablation/single_shot/012/artifacts/relaxation.traj
