case_id,slab_file,smiles,user_request,surface_family,adsorbate_name,miller_index,reaction_class,status,best_energy_eV,iteration_count,max_attempts,perfect_count,dissociation_count,rearrangement_count,calc_failure_count,chemical_slip_count,final_site_type,converged_tag,wall_clock_sec,total_input_tokens,total_output_tokens,best_structure_file,generated_conformers_file,relaxation_trajectory_file
001,datasets/ocd62_overlap12/001_ocd_16_Hf18Sc18Si36_NO.xyz,NO,Find the lowest-energy adsorption configuration for the adsorbate with SMILES NO on the provided surface.,intermetallic,NO,,GENERALIZATION,success,-4.346961975097656,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,170.5965495929122,4943,1203,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/001/artifacts/BEST_NO_ontop_to_hollow_HCP-Subsurf-Atom_E-4.347.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/001/artifacts/relaxation.traj
002,datasets/ocd62_overlap12/002_ocd_94_Ag18Sr27_N_N.xyz,[N]=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [N]=N on the provided surface.,intermetallic,[N]=N,,GENERALIZATION,success,-2.7359275817871094,1,1,1,0,0,0,1,hollow (FCC/No-Subsurf),False,270.0728181861341,5065,1606,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/002/artifacts/BEST_N_N_ontop_to_hollow_FCC-No-Subsurf_E-2.736.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/002/artifacts/relaxation.traj
003,datasets/ocd62_overlap12/003_ocd_108_Ru60Ta20_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,success,-13.274882316589355,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,410.6108980253339,5222,1657,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/003/artifacts/BEST_NH_bridge_to_hollow_HCP-Subsurf-Atom_E-13.275.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/003/artifacts/relaxation.traj
004,datasets/ocd62_overlap12/004_ocd_181_Cu32Se64W16_C_C_O.xyz,C(C)O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES C(C)O on the provided surface.,intermetallic,C(C)O,,GENERALIZATION,success,-9.077415466308594,1,1,1,0,0,0,0,ontop,False,187.06984202191234,4842,1254,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/004/artifacts/BEST_C(C)O_ontop_E-9.077.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/004/artifacts/relaxation.traj
005,datasets/ocd62_overlap12/005_ocd_201_Cr36N48_CH_O.xyz,[CH]=O,Find the lowest-energy adsorption configuration for the adsorbate with SMILES [CH]=O on the provided surface.,compound,[CH]=O,,GENERALIZATION,success,-6.152454376220703,1,1,1,0,0,0,0,bridge,False,214.00778122618794,4790,1221,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/005/artifacts/BEST_CH_O_bridge_E-6.152.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/005/artifacts/relaxation.traj
006,datasets/ocd62_overlap12/006_ocd_362_In18N18Ti36_O_N.xyz,O=N,Find the lowest-energy adsorption configuration for the adsorbate with SMILES O=N on the provided surface.,intermetallic,O=N,,GENERALIZATION,failed,,1,1,0,1,0,0,1,,False,584.7595162428916,5083,1458,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/006/artifacts/BEST_O_N_ontop_to_hollow_HCP-Subsurf-Atom_DISS_E-11.352.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/006/artifacts/relaxation.traj
007,datasets/ocd62_overlap12/007_ocd_479_Ni6Sc36Te12_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-6.576652526855469,1,1,1,0,0,0,1,bridge,False,170.47604058682919,5018,1623,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/007/artifacts/BEST_OH_ontop_to_bridge_E-6.577.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/007/artifacts/relaxation.traj
008,datasets/ocd62_overlap12/008_ocd_513_Pd24Zr24_OH.xyz,[OH],Find the lowest-energy adsorption configuration for hydroxyl radical on the provided surface.,intermetallic,OH,,ORR,success,-6.0458221435546875,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,357.1714500375092,5106,1604,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/008/artifacts/BEST_OH_bridge_to_hollow_HCP-Subsurf-Atom_E-6.046.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/008/artifacts/relaxation.traj
009,datasets/ocd62_overlap12/009_ocd_530_Co32Y48_NH.xyz,[NH],Find the lowest-energy adsorption configuration for the adsorbate with SMILES [NH] on the provided surface.,intermetallic,[NH],,GENERALIZATION,success,-9.681510925292969,1,1,1,0,0,0,1,hollow (HCP/Subsurf-Atom),False,708.2866067476571,4922,1222,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/009/artifacts/BEST_NH_ontop_to_hollow_HCP-Subsurf-Atom_E-9.682.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/009/artifacts/relaxation.traj
010,datasets/ocd62_overlap12/010_ocd_596_Cr18Pt18_H.xyz,[H],Find the lowest-energy adsorption configuration for atomic hydrogen on the provided surface.,intermetallic,H,,HER,success,-4.743168592453003,1,1,1,0,0,0,1,bridge,False,74.3424395173788,4688,1327,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/010/artifacts/BEST_H_hollow_to_bridge_E-4.743.xyz,,research/results/canonical_raw/ocd62_overlap12/run1/grok4_ablation/single_shot/010/artifacts/relaxation.traj
