case_id,slab_file,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,datasets/ocd62_overlap12/001_ocd_16_Hf18Sc18Si36_NO.xyz,single_shot,-4.346961975097656,0.0,1,0,0.0,True,1,0,5884
002,datasets/ocd62_overlap12/002_ocd_94_Ag18Sr27_N_N.xyz,single_shot,-2.735790252685547,0.6487274169921875,1,0,0.0,True,1,0,5382
003,datasets/ocd62_overlap12/003_ocd_108_Ru60Ta20_NH.xyz,single_shot,-14.256022453308105,0.29351806640625,1,0,0.0,True,1,0,6279
004,datasets/ocd62_overlap12/004_ocd_181_Cu32Se64W16_C_C_O.xyz,single_shot,-9.077415466308594,0.2421722412109375,1,0,0.0,True,0,0,6331
005,datasets/ocd62_overlap12/005_ocd_201_Cr36N48_CH_O.xyz,single_shot,-7.707033157348633,6.103515625e-05,1,0,0.0,True,1,0,5532
006,datasets/ocd62_overlap12/006_ocd_362_In18N18Ti36_O_N.xyz,single_shot,,,1,0,0.0,False,1,1,5832
007,datasets/ocd62_overlap12/007_ocd_479_Ni6Sc36Te12_OH.xyz,single_shot,-6.576652526855469,0.6513595581054688,1,0,0.0,True,1,0,5698
008,datasets/ocd62_overlap12/008_ocd_513_Pd24Zr24_OH.xyz,single_shot,-6.1058197021484375,0.136138916015625,1,0,0.0,True,0,0,6137
009,datasets/ocd62_overlap12/009_ocd_530_Co32Y48_NH.xyz,single_shot,-10.208537101745605,0.434814453125,1,0,0.0,True,1,0,6600
010,datasets/ocd62_overlap12/010_ocd_596_Cr18Pt18_H.xyz,single_shot,-4.743168592453003,0.0,1,0,0.0,True,1,0,5986
011,datasets/ocd62_overlap12/011_ocd_735_Re27Ti27_NH2.xyz,single_shot,-6.983524322509766,4.671255111694336,1,0,0.0,True,1,0,6311
012,datasets/ocd62_overlap12/012_ocd_768_Ga24Y24_H.xyz,single_shot,-3.2566726207733154,0.247467041015625,1,0,0.0,True,1,0,6173
