case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.346961975097656,0.0,5,0,0.0,True,5,3,30739
001,no_slip,-4.346961975097656,0.0,5,0,0.0,True,5,4,28673
001,no_forbid,-4.346961975097656,0.0,5,0,0.0,True,5,4,29227
001,no_termination,-4.346961975097656,0.0,5,0,0.0,True,5,4,29760
002,full,-3.3845252990722656,0.0,5,0,0.0,True,5,2,32428
002,no_slip,-3.3845176696777344,7.62939453125e-06,5,0,0.0,True,5,2,28963
002,no_forbid,-3.3845176696777344,7.62939453125e-06,5,0,0.0,True,5,1,30808
002,no_termination,-3.3845176696777344,7.62939453125e-06,5,0,0.0,True,5,2,30149
003,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,30560
003,no_slip,-14.256022453308105,0.29351806640625,5,0,0.0,True,5,0,26446
003,no_forbid,-14.549540519714355,0.0,5,0,0.0,True,5,0,28999
003,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,29428
004,full,-10.361473083496094,0.0,5,0,0.0,True,2,1,28328
004,no_slip,-10.361473083496094,0.0,5,0,0.0,True,2,1,25554
004,no_forbid,-10.361473083496094,0.0,5,0,0.0,True,2,1,26010
004,no_termination,-10.361473083496094,0.0,5,0,0.0,True,2,1,28054
005,full,-7.707094192504883,0.0,5,0,0.0,True,3,0,28798
005,no_slip,-7.707033157348633,6.103515625e-05,5,0,0.0,True,4,0,26384
005,no_forbid,-7.707033157348633,6.103515625e-05,5,0,0.0,True,3,0,27776
005,no_termination,-7.707033157348633,6.103515625e-05,5,0,0.0,True,3,0,27170
006,full,-7.9674224853515625,0.0,5,0,0.0,True,5,2,31525
006,no_slip,-7.9674224853515625,0.0,5,0,0.0,True,4,2,27898
006,no_forbid,-7.8809051513671875,0.086517333984375,5,0,0.0,True,4,3,29044
006,no_termination,-7.9674224853515625,0.0,5,0,0.0,True,4,3,28561
007,full,-7.2280120849609375,0.0,5,0,0.0,True,4,1,30772
007,no_slip,-7.2280120849609375,0.0,5,0,0.0,True,5,1,26711
007,no_forbid,-7.2280120849609375,0.0,5,0,0.0,True,4,1,30328
007,no_termination,-7.2280120849609375,0.0,5,0,0.0,True,4,1,27868
008,full,-6.176261901855469,0.0,5,0,0.0,True,4,0,28707
008,no_slip,-6.2312164306640625,-0.05495452880859375,5,0,0.0,True,5,0,26804
008,no_forbid,-6.176261901855469,0.0,5,0,0.0,True,4,0,27925
008,no_termination,-6.1764984130859375,-0.00023651123046875,5,0,0.0,True,5,0,27800
009,full,-10.643351554870605,0.0,5,0,0.0,True,4,0,29800
009,no_slip,-10.643351554870605,0.0,5,0,0.0,True,5,0,28346
009,no_forbid,-10.643351554870605,0.0,5,0,0.0,True,5,0,28475
009,no_termination,-10.606913566589355,0.03643798828125,5,0,0.0,True,4,0,29631
010,full,-4.980229139328003,0.0,5,0,0.0,True,2,0,26490
010,no_slip,-4.980229139328003,0.0,5,0,0.0,True,3,0,24460
010,no_forbid,-4.980229139328003,0.0,5,0,0.0,True,2,0,26721
010,no_termination,-4.743168592453003,0.237060546875,5,0,0.0,True,2,0,26635
011,full,-11.654779434204102,0.0,4,0,0.0,True,4,0,30304
011,no_slip,-11.654779434204102,0.0,4,0,0.0,True,4,0,26242
011,no_forbid,-11.654779434204102,0.0,4,0,0.0,True,4,0,29803
011,no_termination,-11.654779434204102,0.0,5,1,0.2,True,4,0,30907
012,full,-3.5041396617889404,0.0,5,0,0.0,True,5,0,29603
012,no_slip,-3.5041396617889404,0.0,5,0,0.0,True,5,0,26393
012,no_forbid,-3.3380630016326904,0.16607666015625,3,0,0.0,True,3,0,21257
012,no_termination,-3.3380630016326904,0.16607666015625,5,0,0.0,True,4,0,26391
001,single_shot,-4.346961975097656,0,1,0,0.0,True,1,0,4642
002,single_shot,,,1,0,0.0,False,1,1,4900
003,single_shot,-13.564433097839355,0.985107421875,1,0,0.0,True,1,0,4691
004,single_shot,-9.077415466308594,1.28405761719,1,0,0.0,True,0,0,4304
005,single_shot,-7.707094192504883,0,1,0,0.0,True,1,0,4932
006,single_shot,,,1,0,0.0,False,1,1,4600
007,single_shot,,,1,0,0.0,False,1,1,4679
008,single_shot,-6.176261901855469,0,1,0,0.0,True,1,0,4324
009,single_shot,-10.643351554870605,0,1,0,0.0,True,1,0,4452
010,single_shot,-4.743199110031128,0.237030029297,1,0,0.0,True,1,0,4594
011,single_shot,-11.654779434204102,0,1,0,0.0,True,1,0,4729
012,single_shot,-3.3022658824920654,0.201873779297,1,0,0.0,True,0,0,4210
