case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.346963882446289,0.0,5,0,0.0,True,5,3,42879
001,no_slip,-4.346963882446289,0.0,5,0,0.0,True,5,4,35517
001,no_forbid,-4.346963882446289,0.0,5,0,0.0,True,5,3,42510
001,no_termination,-4.346961975097656,1.9073486328125e-06,5,0,0.0,True,4,3,36519
002,full,-3.384532928466797,0.0,5,0,0.0,True,5,2,41032
002,no_slip,-3.384510040283203,2.288818359375e-05,5,0,0.0,True,5,2,37911
002,no_forbid,-3.3456077575683594,0.0389251708984375,5,0,0.0,True,5,1,39056
002,no_termination,-3.3845176696777344,1.52587890625e-05,5,0,0.0,True,5,2,39668
003,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,39920
003,no_slip,-14.505778312683105,0.04376220703125,5,0,0.0,True,5,0,36757
003,no_forbid,-14.549540519714355,0.0,5,0,0.0,True,5,0,37531
003,no_termination,-14.549540519714355,0.0,5,0,0.0,True,5,0,38575
004,full,-10.361473083496094,0.0,5,0,0.0,True,2,1,34887
004,no_slip,-10.361473083496094,0.0,5,0,0.0,True,1,1,33310
004,no_forbid,-10.361473083496094,0.0,5,0,0.0,True,1,0,35016
004,no_termination,-10.361473083496094,0.0,5,0,0.0,True,1,1,34803
005,full,-7.707094192504883,0.0,4,0,0.0,True,2,0,36951
005,no_slip,-7.687732696533203,0.019361495971679688,5,0,0.0,True,2,0,35896
005,no_forbid,-7.707094192504883,0.0,3,0,0.0,True,2,0,28947
005,no_termination,-7.707033157348633,6.103515625e-05,5,0,0.0,True,2,0,35104
006,full,-7.8799896240234375,0.0,3,0,0.0,True,3,2,28984
006,no_slip,-8.395408630371094,-0.5154190063476562,5,0,0.0,True,4,2,36583
006,no_forbid,-7.9674224853515625,-0.087432861328125,5,0,0.0,True,4,3,37796
006,no_termination,-8.395408630371094,-0.5154190063476562,5,0,0.0,True,5,2,39147
007,full,-7.1137542724609375,0.0,5,0,0.0,True,4,2,37578
007,no_slip,-7.2280120849609375,-0.1142578125,5,0,0.0,True,5,2,34846
007,no_forbid,-7.1137542724609375,0.0,5,0,0.0,True,4,2,36301
007,no_termination,-7.1241912841796875,-0.01043701171875,5,0,0.0,True,4,2,37897
008,full,-6.2332000732421875,0.0,5,0,0.0,True,4,0,37636
008,no_slip,-6.2311859130859375,0.00201416015625,5,0,0.0,True,5,0,35630
008,no_forbid,-6.2309417724609375,0.00225830078125,5,0,0.0,True,4,0,37594
008,no_termination,-6.176322937011719,0.05687713623046875,5,0,0.0,True,4,0,36533
009,full,-10.118144035339355,0.0,4,0,0.0,True,4,0,40392
009,no_slip,-10.643351554870605,-0.52520751953125,5,0,0.0,True,5,0,35683
009,no_forbid,-10.643351554870605,-0.52520751953125,5,0,0.0,True,5,0,36653
009,no_termination,-10.606913566589355,-0.48876953125,5,0,0.0,True,4,0,37821
010,full,-4.743199110031128,0.0,4,0,0.0,True,1,0,33713
010,no_slip,-4.743199110031128,0.0,4,0,0.0,True,2,0,30783
010,no_forbid,-4.959049940109253,-0.215850830078125,5,0,0.0,True,3,0,33216
010,no_termination,-4.743168592453003,3.0517578125e-05,2,0,0.0,True,1,0,9412
011,full,-11.659296035766602,0.0,4,0,0.0,True,4,0,37628
011,no_slip,-11.654779434204102,0.0045166015625,4,0,0.0,True,4,0,33083
011,no_forbid,-11.654779434204102,0.0045166015625,5,1,0.2,True,4,0,38234
011,no_termination,-11.654779434204102,0.0045166015625,5,1,0.2,True,4,0,37108
012,full,-3.3380630016326904,0.0,3,0,0.0,True,3,0,28685
012,no_slip,-3.5041396617889404,-0.16607666015625,5,0,0.0,True,4,0,33747
012,no_forbid,-3.5041396617889404,-0.16607666015625,5,0,0.0,True,4,0,36328
012,no_termination,-3.5041396617889404,-0.16607666015625,5,0,0.0,True,5,0,35952
001,single_shot,-4.346963882446289,0,1,0,0.0,True,1,0,8108
002,single_shot,-2.735881805419922,0.648651123047,1,0,0.0,True,1,0,9745
003,single_shot,-14.256022453308105,0.293518066406,1,0,0.0,True,1,0,6342
004,single_shot,-9.077659606933594,1.28381347656,1,0,0.0,True,0,0,6110
005,single_shot,-7.707094192504883,0,1,0,0.0,True,1,0,9321
006,single_shot,,,0,0,0,False,0,0,0
007,single_shot,-6.576652526855469,0.537101745605,1,0,0.0,True,1,0,7404
008,single_shot,-6.0458221435546875,0.187377929688,1,0,0.0,True,1,0,9194
009,single_shot,-9.957316398620605,0.160827636719,1,0,0.0,True,1,0,6641
010,single_shot,-4.743168592453003,3.0517578125e-05,1,0,0.0,True,1,0,9399
011,single_shot,-10.633243560791016,1.02605247498,1,0,0.0,True,1,0,6683
012,single_shot,-3.3380630016326904,0,1,0,0.0,True,1,0,6457
