case_id,slab_file,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,datasets/ocd62_overlap12/001_ocd_16_Hf18Sc18Si36_NO.xyz,single_shot,-4.346961975097656,0.0,1,0,0.0,True,1,0,4829
002,datasets/ocd62_overlap12/002_ocd_94_Ag18Sr27_N_N.xyz,single_shot,,,1,0,0.0,False,1,1,4735
003,datasets/ocd62_overlap12/003_ocd_108_Ru60Ta20_NH.xyz,single_shot,-14.256022453308105,0.29351806640625,1,0,0.0,True,1,0,5142
004,datasets/ocd62_overlap12/004_ocd_181_Cu32Se64W16_C_C_O.xyz,single_shot,-8.988121032714844,1.37335205078125,1,0,0.0,True,1,0,5087
005,datasets/ocd62_overlap12/005_ocd_201_Cr36N48_CH_O.xyz,single_shot,-7.707094192504883,0.0,1,0,0.0,True,1,0,4544
006,datasets/ocd62_overlap12/006_ocd_362_In18N18Ti36_O_N.xyz,single_shot,,,1,0,0.0,False,1,1,4766
007,datasets/ocd62_overlap12/007_ocd_479_Ni6Sc36Te12_OH.xyz,single_shot,,,1,0,0.0,False,1,1,4767
008,datasets/ocd62_overlap12/008_ocd_513_Pd24Zr24_OH.xyz,single_shot,-6.176261901855469,0.06569671630859375,1,0,0.0,True,1,0,4522
009,datasets/ocd62_overlap12/009_ocd_530_Co32Y48_NH.xyz,single_shot,-10.011088371276855,0.63226318359375,1,0,0.0,True,1,0,5139
010,datasets/ocd62_overlap12/010_ocd_596_Cr18Pt18_H.xyz,single_shot,-4.743168592453003,0.0,1,0,0.0,True,1,0,4315
011,datasets/ocd62_overlap12/011_ocd_735_Re27Ti27_NH2.xyz,single_shot,-11.657953262329102,0.01165771484375,1,0,0.0,True,1,0,5054
012,datasets/ocd62_overlap12/012_ocd_768_Ga24Y24_H.xyz,single_shot,-3.5041396617889404,0.0,1,0,0.0,True,1,0,4678
