case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.980229139328003,0.0,5,0,0.0,True,2,0,37991
002,full,-3.5041396617889404,0.0,5,0,0.0,True,4,0,38147
003,full,-3.1345107555389404,0.0,5,0,0.0,True,4,0,38890
004,full,-7.2280120849609375,0.0,5,0,0.0,True,4,1,38572
005,full,-6.2375946044921875,0.0,5,0,0.0,True,4,0,42401
006,full,-5.4569244384765625,0.0,5,0,0.0,True,3,0,39136
007,full,-11.654596328735352,0.0,4,0,0.0,True,4,0,39370
008,full,-4.546131134033203,0.0,3,0,0.0,True,2,1,30618
009,full,-5.017307281494141,0.0,5,0,0.0,True,3,0,38071
010,full,-10.075138092041016,0.0,5,0,0.0,True,3,0,40898
011,full,-3.2839298248291016,0.0,2,0,0.0,True,2,0,19949
012,full,-9.668636322021484,0.0,5,0,0.0,True,4,0,40912
013,full,-3.3456153869628906,0.0,5,0,0.0,True,5,2,41549
014,full,-7.570980072021484,0.0,5,0,0.0,True,5,2,41463
015,full,-10.643351554870605,0.0,5,0,0.0,True,4,0,38593
016,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,40545
017,full,-8.466651916503906,0.0,5,0,0.0,True,4,0,39289
018,full,-2.113170623779297,0.0,5,0,0.0,True,2,0,33089
019,full,-3.493175506591797,0.0,4,0,0.0,True,2,0,34167
020,full,-2.7164688110351562,0.0,5,0,0.0,True,4,0,38443
021,full,-4.241325378417969,0.0,4,0,0.0,True,2,0,36524
022,full,-7.159950256347656,0.0,4,0,0.0,True,4,0,36320
023,full,-4.346961975097656,0.0,5,0,0.0,True,5,4,42792
024,full,-3.288808822631836,0.0,5,0,0.0,True,5,1,41817
025,full,-7.8810882568359375,0.0,3,0,0.0,True,3,1,30356
026,full,-19.925071716308594,0.0,5,1,0.2,True,0,0,35042
027,full,-7.707094192504883,0.0,3,0,0.0,True,2,0,29176
028,full,-7.268787384033203,0.0,3,0,0.0,True,3,1,31363
029,full,-2.739093780517578,0.0,5,0,0.0,True,5,2,41220
030,full,-4.292024612426758,0.0,4,0,0.0,True,4,0,47783
031,full,-7.339601516723633,0.0,5,0,0.0,True,5,0,38640
032,full,-1.094757080078125,0.0,5,0,0.0,True,2,2,38117
033,full,-3.2235107421875,0.0,5,0,0.0,True,3,1,40258
034,full,-3.4394569396972656,0.0,5,0,0.0,True,2,0,37883
035,full,-4.418554306030273,0.0,5,0,0.0,True,1,0,34943
036,full,-0.16718101501464844,0.0,5,0,0.0,True,0,1,33825
037,full,-9.236335754394531,0.0,5,0,0.0,True,3,1,36194
038,full,-3.3192520141601562,0.0,5,0,0.0,True,4,1,38568
039,full,-7.434549331665039,0.0,5,0,0.0,True,4,0,36048
040,full,-5.74797248840332,0.0,5,0,0.0,True,4,0,41562
