case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.980229139328003,0.0,5,0,0.0,True,2,0,27766
002,full,-3.3380630016326904,0.0,3,0,0.0,True,3,0,21288
003,full,-3.134342908859253,0.0,5,0,0.0,True,4,0,30395
004,full,-7.2280120849609375,0.0,5,0,0.0,True,4,1,28819
005,full,-6.176261901855469,0.0,5,0,0.0,True,5,0,29392
006,full,-5.4511260986328125,0.0,5,0,0.0,True,4,0,27061
007,full,-11.654657363891602,0.0,4,0,0.0,True,4,0,28954
008,full,-4.546146392822266,0.0,5,0,0.0,True,4,1,29893
009,full,-4.950687408447266,0.0,5,0,0.0,True,5,0,29369
010,full,-10.075260162353516,0.0,5,0,0.0,True,2,0,27726
011,full,-3.283937454223633,0.0,3,0,0.0,True,3,0,20500
012,full,-9.670589447021484,0.0,5,0,0.0,True,5,2,32049
013,full,-3.3845176696777344,0.0,5,0,0.0,True,5,2,31739
014,full,-7.717494964599609,0.0,5,0,0.0,True,5,2,35146
015,full,-10.606913566589355,0.0,5,0,0.0,True,4,0,30362
016,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,31074
017,full,-8.466377258300781,0.0,5,0,0.0,True,4,0,29102
018,full,-2.113170623779297,0.0,5,0,0.0,True,2,0,28236
019,full,-3.493175506591797,0.0,5,0,0.0,True,3,0,26689
020,full,-2.7165756225585938,0.0,5,0,0.0,True,4,0,28876
021,full,-4.241493225097656,0.0,5,0,0.0,True,3,0,28173
022,full,-7.176612854003906,0.0,5,0,0.0,True,4,0,27102
023,full,-4.346961975097656,0.0,5,0,0.0,True,5,4,29749
024,full,-3.288808822631836,0.0,5,0,0.0,True,5,0,30269
025,full,-7.9674224853515625,0.0,5,0,0.0,True,4,3,30780
026,full,-19.789199829101562,0.0,5,0,0.0,True,2,0,28071
027,full,-7.707094192504883,0.0,5,0,0.0,True,3,0,30902
028,full,-7.811891555786133,0.0,5,0,0.0,True,5,0,31060
029,full,-2.722797393798828,0.0,5,0,0.0,True,5,1,34305
030,full,-4.292024612426758,0.0,5,0,0.0,True,5,0,29691
031,full,-7.338869094848633,0.0,5,0,0.0,True,5,2,30450
032,full,-1.094757080078125,0.0,5,3,0.6,True,1,1,36320
033,full,-3.01446533203125,0.0,5,0,0.0,True,3,2,30841
034,full,-3.4393653869628906,0.0,5,0,0.0,True,2,2,26151
035,full,-4.418584823608398,0.0,5,0,0.0,True,0,0,25168
036,full,-0.16718101501464844,0.0,5,0,0.0,True,0,1,26463
037,full,-10.361473083496094,0.0,5,0,0.0,True,2,1,27513
038,full,-3.3852310180664062,0.0,5,0,0.0,True,4,1,29318
039,full,-7.450052261352539,0.0,4,0,0.0,True,3,0,27530
040,full,-5.74797248840332,0.0,5,0,0.0,True,4,0,31349
