case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
001,full,-4.743199110031128,0.0,3,0,0.0,True,1,0,26157
002,full,-3.5041396617889404,0.0,5,0,0.0,True,5,0,36920
003,full,-3.134526014328003,0.0,5,0,0.0,True,4,0,36769
004,full,-7.1137237548828125,0.0,5,0,0.0,True,4,2,38322
005,full,-6.2419891357421875,0.0,5,0,0.0,True,4,0,37250
006,full,-5.4748687744140625,0.0,5,0,0.0,True,2,0,36606
007,full,-11.657648086547852,0.0,4,0,0.0,True,4,0,38315
008,full,-4.546131134033203,0.0,5,0,0.0,True,4,1,37865
009,full,-5.017307281494141,0.0,5,0,0.0,True,4,0,39479
010,full,-10.076349258422852,0.0,5,0,0.0,True,3,0,36646
011,full,-3.283937454223633,0.0,4,1,0.25,True,3,0,35369
012,full,-9.356441497802734,0.0,5,0,0.0,True,4,1,37492
013,full,-3.3845176696777344,0.0,5,0,0.0,True,5,1,40927
014,full,-7.854732513427734,0.0,5,0,0.0,True,5,2,43061
015,full,-10.208537101745605,0.0,5,0,0.0,True,5,0,39933
016,full,-14.549540519714355,0.0,5,0,0.0,True,5,0,38797
017,full,-8.466468811035156,0.0,5,0,0.0,True,4,0,36116
018,full,-2.125509262084961,0.0,5,0,0.0,True,2,0,33552
019,full,-3.549367904663086,0.0,5,0,0.0,True,3,0,36429
020,full,-2.7166519165039062,0.0,5,0,0.0,True,4,0,37827
021,full,-4.248908996582031,0.0,5,0,0.0,True,3,0,35840
022,full,-7.159950256347656,0.0,5,0,0.0,True,5,0,38213
023,full,-4.346963882446289,0.0,5,0,0.0,True,5,4,37655
024,full,-3.2602787017822266,0.0,5,1,0.2,True,4,2,39089
025,full,-8.870079040527344,0.0,5,0,0.0,True,4,3,39586
026,full,-19.72858428955078,0.0,5,0,0.0,True,2,1,35163
027,full,-7.707094192504883,0.0,4,0,0.0,True,2,0,36664
028,full,-7.811830520629883,0.0,5,0,0.0,True,5,1,40380
029,full,-2.739093780517578,0.0,5,0,0.0,True,4,1,39323
030,full,-4.290790557861328,0.0,5,0,0.0,True,4,1,39983
031,full,-7.339235305786133,0.0,5,0,0.0,True,5,1,37207
032,full,-1.094757080078125,0.0,4,0,0.0,True,3,3,37435
033,full,-2.736175537109375,0.0,5,1,0.2,True,3,2,38757
034,full,-3.439350128173828,0.0,5,0,0.0,True,1,0,37245
035,full,-4.418552398681641,0.0,5,0,0.0,True,0,0,34101
036,full,-0.16717910766601562,0.0,5,0,0.0,True,0,1,33553
037,full,-10.360984802246094,0.0,5,0,0.0,True,2,2,35824
038,full,-3.3191909790039062,0.0,4,0,0.0,True,3,0,30511
039,full,,,0,0,0,False,0,0,0
040,full,,,0,0,0,False,0,0,0
041,full,,,0,0,0,False,0,0,0
042,full,,,0,0,0,False,0,0,0
043,full,,,0,0,0,False,0,0,0
044,full,,,0,0,0,False,0,0,0
045,full,,,0,0,0,False,0,0,0
046,full,,,0,0,0,False,0,0,0
047,full,,,0,0,0,False,0,0,0
048,full,,,0,0,0,False,0,0,0
049,full,,,0,0,0,False,0,0,0
050,full,,,0,0,0,False,0,0,0
